,Unnamed: 0,Speaker,Response,party,IntSpeakerTarget,MatchToTopic,PartyClassifier
0,0,GEORGE W. BUSH,"i have, i have. first question is what’s in the best interests of the united states? what’s in the best interests of our people? when it comes to foreign policy that will be my guiding question. is it in our nation’s interests? peace in the middle east is in our nation’s interests. having a hemisphere that is free for trade and peaceful is in our nation’s interests. strong relations in europe is in our nation’s interest. i’ve thought a lot about what it means to be the president. i also understand that an administration is not one person, but an administration is dedicated citizens who are called by the president to serve the country, to serve a cause greater than self, and so i’ve thought about an administration of people who represent all america, but people who understand my compassionate and conservative philosophy. i haven’t started naming names except for one person, and that’s mr. richard cheney who i thought did a great job the",1,3,False,0.4775916039943695
1,2,GORE,"yes, jim. i’ve thought a lot about that particular question, and i see our greatest national strength coming from what we stand for in the world. i see it as a question of values. it is a great tribute to our founders that 224 years later this nation is now looked to by the peoples on every other continent and the peoples from every part of this earth as a kind of model for what their future could be. and i don’t think that’s just the kind of exaggeration that we take pride in as americans. it’s really true, even the ones that sometimes shake their fists at us. as soon as they have a change that allows the people to speak freely, they’re wanting to develop some kind of blueprint that will help them be like us more, freedom, free markets, political freedom. so i think first and foremost our power ought to be wielded to in ways that form a more perfect union. the power of example is america’s",0,8,False,0.03599325567483902
2,4,GEORGE W. BUSH,"well, i think they ought to look at us as a country that understands freedom where it doesn’t matter who you are or how you’re raised or where you’re from, that you can succeed. i don’t think they’ll look at us with envy. it really depends upon how our nation conducts itself in foreign policy. if we’re an arrogant nation, they’ll resent us. if we’re a humble nation, but strong, they’ll welcome us. and it’s — our nation stands alone right now in the world in terms of power, and that’s why we have to be humble. and yet project strength in a way that promotes freedom. so i don’t think they ought to look at us in any way other than what we are. we’re a freedom-loving nation and if we’re an arrogant nation they’ll view us that way, but if we’re a humble nation they’ll respect us. ",1,3,False,0.8789504170417786
3,7,GEORGE W. BUSH,"yes, it does. take, for example, third world debt. i think we ought to be forgiving third world debt under certain conditions. i think, for example, if we’re convinced that a third world country that’s got a lot of debt would reform itself, that the money wouldn’t go into the hands of a few but would go to help people, i think it makes sense for us to use our wealth in that way, or to trade debt for valuable rain forest lands, makes that much sense, yes. we do have an obligation, but we can’t be all things to all people. we can help build coalitions but we can’t put our troops all around the world. we can lend money but we have to do it wisely. we shouldn’t be lending money to corrupt officials. so we got to be guarded in our generosity. ",1,3,False,0.007992681115865707
4,8,GORE,"the first priority has to be on ending the violence, dampening down the tensions that have arisen there. we need to call upon syria to release the three israeli soldiers who have been captured. we need to insist that arafat send out instructions to halt some of the provocative acts of violence that have been going on. i think that we also have to keep a weather eye toward saddam hussein because he is taking advantage of this situation to once again make threats, and he needs to understand that he’s not only dealing with israel, he is dealing — he’s dealing with us if he is making the kind of threats that he’s talking about there. the use of diplomacy in this situation has already, well, it goes hour-by-hour and day-by-day now. it’s a very tense situation there. but in the last 24 hours there has been some subsiding of the violence there. it’s too much to hope that this is going to continue, but",0,8,False,0.0007094762986525893
5,9,GORE,"i do hope that it will continue. our country has been very active with regular conversations with the leaders there. and we just have to take it day-to-day right now. but one thing i would say where diplomacy is concerned, israel should feel absolutely secure about one thing. our bonds with israel are larger than agreements or disagreements on some details of diplomatic initiatives. they are historic, they are strong, and they are enduring. and our ability to serve as an honest broker is something that we need to shepherd.",0,8,False,0.9855522513389587
6,10,GEORGE W. BUSH,"well, i think during the campaign, particularly now during this difficult period, we ought to be speaking with one voice, and i appreciate the way the administration has worked hard to calm the tensions. like the vice president, i call on chairman arafat to have his people pull back to make the peace. i think credibility is going to be very important in the future in the middle east. i want everybody to know should i be the president israel’s going to be our friend. i’m going to stand by israel. secondly, that i think it’s important to reach out to moderate arab nations, like jordan and egypt, saudi arabia and kuwait. it’s important to be friends with people when you don’t need each other so that when you do there’s a strong bond of friendship. and that’s going to be particularly important in dealing not only with situations such as now occurring in israel, but with saddam hussein. the coalition against saddam has fallen apart or it",1,3,False,0.0012946713250130415
7,11,GEORGE W. BUSH,"’s unraveling, let’s put it that way. the sanctions are being violated. we don’t know whether he’s developing weapons of mass destruction. he better not be or there’s going to be a consequence should i be the president. but it’s important to have credibility and credibility is formed by being strong with your friends and resolute in your determination. one of the reasons why i think it’s important for this nation to develop an anti-ballistic missile system that we can share with our allies in the middle east if need be to keep the peace to be able to say to the saddam husseinâ€™s of the world or the iranians, don’t dare threaten our friends. it’s also important to keep strong ties in the middle east, credible ties, because of the energy crisis we’re now in. after all, a lot of the energy is produced from the middle east, and so i appreciate what the administration is doing. i hope to get a sense of",1,3,False,0.08986776322126389
8,12,GEORGE W. BUSH,should i be fortunate to be the president how my administration will react to the middle east.,1,3,False,0.009605768136680126
9,13,GORE,"well, we stand with israel, but we have maintained the ability to serve as an honest broker. and one of the reasons that’s important is that israel cannot have direct dialogue with some of the people on the other side of conflicts, especially during times of tension, unless that dialogue comes through us. and if we throw away that ability to serve as an honest broker, then we have thrown — we will have thrown away a strategic asset that’s important not only to us but also to israel. ",0,8,False,0.3897254168987274
10,14,GEORGE W. BUSH,"i do. i do think this, though. when it comes to timetables it can’t be the united states timetable as to how discussions take place. it’s got to be a timetable that all parties can agree to, like the palestinians and israelis. secondly, any lasting peace is going to have to be a peace that’s good for both sides. and therefore, the term honest broker makes sense. this current administration’s worked hard to keep the parties at the table. i will try to do the same thing. but it won’t be on my timetable, it will be on the timetable that people are comfortable with in the middle east. ",1,3,False,0.9917972087860107
11,15,GORE,i haven’t heard a big difference in the last few exchanges. ,0,8,False,0.012914404273033142
12,16,GEORGE W. BUSH,"that’s hard to tell. i think that, you know, i would hope to be able to convince people i could handle the iraqi situation better. ",1,3,False,0.002575696213170886
13,17,GEORGE W. BUSH,"i would like to, of course, and i presume this administration would as well. we don’t know — there are no inspectors now in iraq, the coalition that was in place isn’t as strong as it used to be. he is a danger. we don’t want him fishing in troubled waters in the middle east. and it’s going to be hard, it’s going to be important to rebuild that coalition to keep the pressure on him. ",1,3,False,0.965523362159729
14,18,GEORGE W. BUSH,i do. ,1,3,False,0.8616955876350403
15,19,GORE,"well, when i got to be a part of the current administration, it was right after — i was one of the few members of my political party to support former president bush in the persian gulf war resolution, and at the end of that war, for whatever reason, it was not finished in a way that removed saddam hussein from power. i know there are all kinds of circumstances and explanations. but the fact is that that’s the situation that was left when i got there. and we have maintained the sanctions. now i want to go further. i want to give robust support to the groups that are trying to overthrow saddam hussein, and i know there are allegations that they’re too weak to do it, but that’s what they said about the forces that were opposing milosevic in serbia, and you know, the policy of enforcing sanctions against serbia has just resulted in a spectacular victory for democracy just in the past week, and it seems to me that having taken",0,8,False,0.00032508140429854393
16,20,GORE,"so long to see the sanctions work there, building upon the policy of containment that was successful over a much longer period of time against the former soviet union in the communist block, seems a little early to declare that we should give up on the sanctions. i know the governor’s not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, i’m told, except for three where they notified, and they’re trying to break out of the box, there’s no question about it. i don’t think they should be allowed to.",0,8,False,0.002178136259317398
