,Speaker,Response,party,IntSpeakerTarget,MatchToTopic,Topics,IntTopicTarget,MatchedWords
1,GEORGE W. BUSH,"other night. he’s a vice presidential nominee who represents — i think people got to see why i picked him. he’s man of solid judgment and he’s going to be a person to stand by my side. one of the things i’ve done in texas is i’ve been able to put together a good team of people. i’ve been able to set clear goals. the goals ought to be an education system that leaves no child behind, medicare for our seniors, a social security system that’s safe and secure, foreign policy that’s in our nation’s interest, and a strong military, and then bring people together to achieve those goals. that’s what a chief executive officer does. so i’ve thought long and hard about the honor of being the president of the united states.",1,3,True,Social Welfare,19,social security
3,GORE,"greatest power in the world. and that means, for example, standing up for human rights. it means addressing the problems of injustice and inequity, along the lines of race and ethnicity here at home, because in all these other places around the world where they’re having these terrible problems, when they feel hope, it is often because they see in us a reflection of their potential. so we’ve got to enforce our civil rights laws. we’ve got to deal with things like racial profiling. and we have to keep our military strong. we have the strongest military, and i’ll do whatever is necessary, if i’m president, to make sure that it stays that way. but our real power comes, i think, from our values.",0,8,True,Race,3,"civil rights, racial"
5,GORE,"i agree with that. i agree with that. i think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that i know about, anyway. that there is some resentment of u.s. power. so i think that the idea of humility is an important one. but i think that we also have to have a sense of mission in the world. we have to protect our capacity to push forward what america’s all about. that means not only military strength and our values, it also means keeping our economy strong. you know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here and say you guys have got to do something about these horrendous deficits because it’s causing tremendous problems for the rest of the world, and we were lectured to all the time.",0,8,True,Economy,28,economy
6,GORE,the fact that we have the strongest economy in history today is not good enough. we need to do more. but the fact that it is so strong enables us to project the power for good that america can represent.,0,8,True,Economy,28,economy
43,GORE,"i’d like to come back to the question of nation building, but let me address the question directly, first. fine. we did, actually, send troops into rwanda to help with the humanitarian relief measures. my wife tipper, who is here, actually went on a military plane with general sholicatchvieli on one of those flights. but i think in retrospect we were too late getting in there. we could have saved more lives if we had acted earlier. but i do not think that it was an example of a conflict where we should have put our troops in to try to separate the parties for this reason, jim. one of the criteria that i think is important in deciding when and if we should ever get involved around the world is whether or not our national security interest is involved, if we can really make the difference with military forces. if we tried everything else, if we have allies. in the balkans we have allies, nato, ready, willing and able",0,8,True,National Defense,14,"national security, military forces"
44,GORE,"to go and carry a big part of the burden. in africa we did not. now, we have tried — our country has tried to create an africa crisis response team there, and we’ve met some resistance. we have had some luck with nigeria, but in sierra leon, and now that nigeria has become a democracy, and we hope it stays that way, then maybe we can build on that. but because we had no allies and because it was very unclear that we could actually accomplish what we would want to accomplish about putting military forces there, i think it was the right thing not to jump in, as heartbreaking as it was, but i think we should have come in much quicker with the humanitarian mission.",0,8,True,National Defense,14,military forces
58,GORE,"history. the worldâ€™s coming together, as i said, they’re looking to us. and we have a fundamental choice to make. are we going to step up to the plate as a nation the way we did after world war ii, the way that generation of heroes said okay, the united states is going to be the leader. and the world benefitted tremendously from the courage that they showed in those post-war years. i think that in the aftermath of the cold war, it’s time for us to do something very similar, to step up to the plate, to provide the leadership on the environment, leadership to make sure the world economy keeps moving in the right direction. again, that means not running big deficits here and not squandering our surplus. it means having intelligent decisions that keep our prosperity going and shepherds that economic strength so that we can provide that leadership role.",0,8,True,"Economy, Federal Spending",59,"economy, surplus"
60,GEORGE W. BUSH,"mr. putin is going to have to make the decision as to whether or not he wants to adhere to rule of law and normal accounting practices so that if countries and/or entities invest capital, there’s a reasonable rate of return, a way to get the money out of the economy. but russia has to make the decision. we can work with them on security matters, for example, but it’s their call to make. so i’m not exactly sure where the vice president is coming from, but i think one way for us to end up being viewed as the ugly american is for us to go around the world saying, â€œwe do it this way, so should you.â€ now, we trust freedom. we know freedom is a powerful, powerful, powerful force, much bigger than the united states of america, as we saw recently in the balkans. but maybe i misunderstand where you’re coming from, mr. vice president, but i think the united states must be humble",1,3,True,Economy,28,economy
63,GORE,"yes, i would. the only thing an executive order can accomplish is to ban it in federal law enforcement agencies, but i would also support a law in the congress that would have the effect of doing the same thing. i just — i think that racial profiling is a serious problem. i remember when the stories first came out about the stops in new jersey by the highway patrol there. and i know it’s been going on a long time. in some ways this is just a new label for something that has been going on for years. but i have to confess that it was the first time that i really focused on it in a new way. and i was surprised at the extent of it. and i think we’ve now got so many examples around the country that we really have to find ways to end this. imagine what it — what it is like for someone to be singled out unfairly, unjustly, and feel the unfair force of law simply because of",0,8,True,Race,3,racial
64,GORE,"race or ethnicity. now, that runs counter to what the united states of america is all about at our core. and it’s not an easy problem to solve. but if i am entrusted with the presidency, it will be the first civil rights act of the 21st century.",0,8,True,Race,3,civil rights
65,GEORGE W. BUSH,"yeah, i can’t imagine what it would be like to be singled out because of race and stopped and harassed. that’s just flat wrong, and that’s not what america is all about. and so we ought to do everything we can to end racial profiling. one of my concerns, though, is i don’t want to federalize the local police forces. i want to — obviously in the egregious cases we need to enforce civil rights law, but we need to make sure that internal affairs divisions at the local level do their job and be given a chance to do their job. i believe in local control of governments, and obviously if they don’t there needs to be a consequence at the federal level. but it’s very important that we not overstep our bounds and i think most people — most police officers are good, dedicated, honorable citizens who are doing their job, putting their lives at risk who aren’t bigoted or aren’t prejudiced. i don’t think",1,3,True,Race,3,"racial, civil rights"
66,GEORGE W. BUSH,"they ought to be held guilty. but i do think we need to find out where racial profiling occurs and do something about it and say to the local folks, get it done. and if you can’t, there will be a federal consequence.",1,3,True,Race,3,racial
68,GORE,"i would agree. and i also agree that most police officers, of course, are doing a good job and hate this practice also. i talked to an african-american police officer in springfield, massachusetts not long ago who raised this question and said that in his opinion one of the biggest solutions is in the training. and not only the training in police procedures, but human relations. and i think that racial profiling is part of a larger issue of how we deal with race in america. and as for singling people out because of race, you know, james byrd was singled out because of his race in texas. and other americans have been singled out because of their race or ethnicity. and that’s why i think we can embody our values by passing a hate crimes law. i think these crimes are different. i think they’re different because they’re based on prejudice and hatred, which gives rise to crimes that have not just a single victim, but they’re intended",0,8,True,Race,3,"racial, hate crimes"
71,GEORGE W. BUSH,"no. we’ve got one in texas. and guess what? the three men who murdered james byrd, guess what’s going to happen to them? they’re going to be put to death. a jury found them guilty. it’s going to be hard to punish them any worse after they get put to death. and it’s the right cause. it’s the right decision. secondly, there is other forms of racial profiling that goes on in america. arab-americans are racially profiled in what is called secret evidence. people are stopped, and we have to do something about that. my friend, senator spencer abraham of michigan, is pushing a law to make sure that arab-americans are treated with respect. so racial profiling isn’t just an issue at local police forces. it’s an issue throughout our society. and as we become a diverse society, we’re going to have to deal with it more and more. i believe, though — i believe,",1,3,True,Race,3,"racial, racial"
73,GEORGE W. BUSH,"let me tell you where the biggest discrimination comes. in public education when we just move children through the schools. my friend, phyllis hunter, is here. she had one of the greatest lines of all lines. she said, reading is the new civil right. she’s right. and to make sure our society is as hopeful as it possibly can be, every single child in america must be educated. i mean every child. it starts with making sure every child learns to read. k-2 diagnostic testing so we know whether or not there’s a deficiency. curriculum that works and phonics needs to be an integral part of our reading curriculum. intensive reading laboratories, teacher retraining. i mean, there needs to be a wholesale effort against racial profiling, which is illiterate children. we can do better in our public schools. we can close an achievement gap, and it starts with making sure we have strong accountability, jim. one of the cornerstones of reform, and good reform,",1,3,True,"Race, Public Education",66,"discrimination, public education, racial"
75,GORE,"well, i think we need tough enforcement of the civil rights laws. i think we still need affirmative action. i would pass a hate crimes law, as i said, and i guess i had misunderstood the governor’s previous position. the byrd family may have a misunderstanding of it in texas also. but i would like to shift, if i could, to the big issue of education. ",0,8,True,Race,3,"civil rights, affirmative action, hate crimes"
76,GORE,"well, i had thought that there was a controversy at the end of the legislative session where the hate crimes law in texas was — failed, and that the byrd family, among others, asked you to support it, governor, and it died in committee for lack of support. am i wrong about that? ",0,8,True,Race,3,hate crimes
77,GEORGE W. BUSH,"well, you don’t realize we have a hate crimes statute? we do. ",1,3,True,Race,3,hate crimes
79,GEORGE W. BUSH,"no — well, what the vice president must not understand is we’ve got a hate crimes bill in texas. and secondly, the people that murdered mr. byrd got the ultimate punishment. the death penalty. ",1,3,True,Race,3,hate crimes
80,GEORGE W. BUSH,"in this case when you murder somebody it’s hate, jim. the crime is hate. and they got the ultimate punishment. i’m not exactly sure how you enhance the penalty any more than the death penalty. we happen to have a statute on the books that’s a hate crimes statute in texas. ",1,3,True,Race,3,hate crimes
82,GORE,"i don’t want to jump in. i may have been misled by all the news reports about this matter, because the law that was proposed in texas that had the support of the byrd family and a whole lot of people in texas did, in fact, die in committee. there may be some other statute that was already on the books, but certainly the advocates of the hate crimes law felt that a tough new law was needed. and it’s important, jim, not only — not just because of texas, but because this mirrors the national controversy. there is pending now in the congress a national hate crimes law because of james byrd, because of matthew shepard, who was crucified on a split rail fence by bigots, and because of others. and that law has died in committee also because of the same kind of opposition. ",0,8,True,Race,3,"hate crimes, hate crimes"
89,GORE,"well, there’s a law pending called the employment non-discrimination act. i strongly support it. what it says is that gays and lesbians can’t be fired from their job because they’re gay or lesbian. and it would be a federal law preventing that. now, i wonder if the — it’s been blocked by the opponents in the majority in the congress. i wonder if the governor would lend his support to that law. ",0,8,True,Race,3,discrimination
93,GORE,"jim, i hope that we can come back to the subject of education because the governor made an extensive statement on it and i have a very different view than the one he expressed. but that having been said, i believe that — well, first of all, let me say that the governor and i agree on some things where this subject is concerned. i will not do anything to affect the rights of hunters or sportsmen. i think that homeowners have to be respected and their right to have a gun if they wish to. the problem i see is that there are too many guns getting into the hands of children, and criminals, and people who, for whatever reason, some kind of history of stalking or domestic abuse really should not be able to get guns. i think these assault weapons are a problem. so i favor closing the gun show loophole. in fact, i cast the tie-breaking vote to close it, but then the majority in the house of representatives",0,8,True,Gun Control,13,"gun, guns, guns, assault weapons, gun"
94,GORE,"went the other way. that’s still pending. if we could get agreement on that, maybe they could pass that in the final days of this congress. i think we ought to restore the three-day waiting period under the brady law. i think we should toughen the enforcement of gun laws so that the ones that are already on the books can be enforced much more effectively. some of the restrictions that have been placed by the congress in the last couple of years. i think — in the last few years i think have been unfortunate. i think that we ought to make all schools gun free. have a gun-free zone around every school in this country. i think that measures like these are important. child safety trigger locks on a mandatory basis, and others.",0,8,True,Gun Control,13,"gun, gun, gun"
95,GEORGE W. BUSH,"well, it starts with enforcing law. when you say loud and clear to somebody if you’re going to carry a gun illegally, we’re going to arrest you. if you’re going to sell a gun illegally, you need to be arrested. if you commit a crime with a gun, there needs to be absolute certainty in the law. and that means that the local law enforcement officials need help at the federal level. programs like project exile where the federal government intensifies arresting people who illegally use guns. and we haven’t done a very good job of that at the federal level recently. and i’m going to make it a priority. secondly, i don’t think we ought to be selling guns to people who shouldn’t have them. that’s why i support instant background checks at gun shows. one of the reasons we have an instant background check is so that we instantly know whether or not somebody should have a gun or not. in texas i tried to do",1,3,True,Gun Control,13,"gun, gun, gun, guns, guns, gun, gun"
