,Topic,Count,Keywords,Year,Debate,MatchEff
0,Race,7,"civil rights, affirmative action, racial",1960,Kennedy-Nixon,0.48484848484848486
1,Immigration,0,,1960,Kennedy-Nixon,0.48484848484848486
2,Gun Control,4,gun,1960,Kennedy-Nixon,0.48484848484848486
3,Climate Change,0,,1960,Kennedy-Nixon,0.48484848484848486
4,Federal Spending,11,"surplus, deficit, federal debt, federal spending",1960,Kennedy-Nixon,0.48484848484848486
5,abortion,0,,1960,Kennedy-Nixon,0.48484848484848486
6,National Defense,5,"national security, military equipment, military action, military power",1960,Kennedy-Nixon,0.48484848484848486
7,Oil Industry,20,"oil industry, depletion allowance, oil",1960,Kennedy-Nixon,0.48484848484848486
8,Economy,61,"unemployment, more jobs, economy, jobs, economic growth, full employment",1960,Kennedy-Nixon,0.48484848484848486
9,Public Education,5,"teacher salaries, school districts",1960,Kennedy-Nixon,0.48484848484848486
10,Health Care,4,"health insurance, health care, private insurance",1960,Kennedy-Nixon,0.48484848484848486
11,Social Welfare,27,"social security, minimum wage",1960,Kennedy-Nixon,0.48484848484848486
12,Taxes,1,tax cuts,1960,Kennedy-Nixon,0.48484848484848486
0,Race,11,"civil rights, black nations, black community, black people, black businessman, affirmative action, black businessmen, black entrepreneur",1976,Carter-Ford,0.5739130434782609
1,Immigration,0,,1976,Carter-Ford,0.5739130434782609
2,Gun Control,28,"handgun, gun control, guns, gun",1976,Carter-Ford,0.5739130434782609
3,Climate Change,8,"air pollution, energy policy",1976,Carter-Ford,0.5739130434782609
4,Federal Spending,17,"surplus, deficit, federal deficit, federal spending",1976,Carter-Ford,0.5739130434782609
5,abortion,6,"abortion, abortions",1976,Carter-Ford,0.5739130434782609
6,National Defense,20,"national security, military equipment, defense budget",1976,Carter-Ford,0.5739130434782609
7,Oil Industry,23,"oil, arab oil",1976,Carter-Ford,0.5739130434782609
8,Economy,131,"unemployment, more jobs, economy, jobs, businesses, inflation rate, economic growth, savings accounts",1976,Carter-Ford,0.5739130434782609
9,Public Education,0,,1976,Carter-Ford,0.5739130434782609
10,Health Care,9,health care,1976,Carter-Ford,0.5739130434782609
11,Social Welfare,2,social security,1976,Carter-Ford,0.5739130434782609
12,Taxes,2,"tax credit, income tax",1976,Carter-Ford,0.5739130434782609
0,Race,11,"black unemployment, racial, discrimination",1980,Carter-Reagan,0.66
1,Immigration,0,,1980,Carter-Reagan,0.66
2,Gun Control,0,,1980,Carter-Reagan,0.66
3,Climate Change,9,"air pollution, energy policy",1980,Carter-Reagan,0.66
4,Federal Spending,0,,1980,Carter-Reagan,0.66
5,abortion,0,,1980,Carter-Reagan,0.66
6,National Defense,9,"national security, defense spending, military power, military forces",1980,Carter-Reagan,0.66
7,Oil Industry,20,"oil, foreign oil",1980,Carter-Reagan,0.66
8,Economy,38,"unemployment, working families, economy, jobs, businesses, inflation rate",1980,Carter-Reagan,0.66
9,Public Education,0,,1980,Carter-Reagan,0.66
10,Health Care,5,health insurance,1980,Carter-Reagan,0.66
