,Speaker,Response
0,WALLACE,"the first of the 2020 presidential debates between president donald j. trump and former vice president joe biden. this debate is sponsored by the commission on presidential debates. the commission has designed the format: six, roughly 15 minute segments, with two minute answers and each candidate to the first question. then open discussion for the rest of each segment. both campaigns have agreed to these rules. for the record, i decided the topics, and the questions in each topic. i can assure you, none of the questions has been shared with the commission, or the two candidates. this debate is being conducted under health and safety protocols designed by the cleveland clinic, which is doing as a health security adviser to the commission for all four debates. as a precaution both campaigns have agreed that candidates will not shake hands at the beginning of tonight's debate. the audience here in the hall has pledged to remain silent: no cheers, no boo’s, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. no noise, except right now, as we welcome the republican nominee, president trump, and the democratic nominee, vice president biden.01:40 "
1,WALLACE,"gentlemen, a lot of people have been waiting for this night, so let's get going. our first subject is the supreme court. president trump you nominated amy coney barrett over the weekend to succeed the late, ruth bader ginsburg on the court. you say the constitution is clear about your obligation and the senate's to consider a nominee the court, vice president biden, you say that this is an effort by the president and republicans to jam through and an appointment and what you call an ‘abuse of power.’ my first question to both of you tonight: why are you right in the argument you make, and your opponent wrong and where do you think a justice barrett would take the court. president trump, in this first segment you go first. two minutes. 2:29 president donald "
2,TRUMP,"thank you very much, chris, i will tell you very simply. we won the election, elections have consequences. we have the senate, we have the white house, and we have a phenomenal nominee, respected by all top, top academic -- good in every way, good in every way. in fact, some of her biggest endorsers are very liberal people from notre dame and other places so i think she's going to be fantastic. we have plenty of time. even if we did it after the election itself, i have a lot of time after the election, as you know. so i think that she will be outstanding, she's going to be as good as anybody that has served on that court. we really feel that -- we have a professor at notre dame, highly respected by all, says she's the single greatest student he's ever had. he's been a professor for a long time in a great school. and we just, we won the election, and therefore we have the right to choose her and very few people knowingly would say otherwise -- and by the way the democrats, they wouldn't even think about that, doing it. if they had -- the only difference is they'd try and do it faster. there's no way they would give it up. they had merrick garland, but the problem is they didn't have the elections so they were stopped, and probably that would happen in reversal so definitely would happen reverse. so we won the election and we have the right to do it. 3:50 "
3,WALLACE,"president trump, thank you. same question to your vice president biden you have two minutes. 3:56 joe "
4,BIDEN,"first of all, thank you for doing this and looking forward to this, mr. president. i -- the american people have a right to have a say to who the supreme court nominee is, and that say occurs when they vote for united states senators and when they vote for the president of the united states. they're not going to get that chance now because we're in the middle of an election already -- the election has already started. tens of thousands of people have already voted. and so the thing that should happen is we should wait, we should wait and see what the outcome of this election is, because that's the only way the american people get to express their view, is by who they elect as president who they elect as vice president. now, what's at stake here is, the president’s made it clear, he wants to get rid of the affordable care act. he's been running on that. he ran on that and he’s been governing on that. he's in the supreme court right now trying to get rid of the affordable care act, which will strip 20 million people from having insurance, health insurance, now, if they -- if it goes into court and, and the justice and i have nothing -- i'm not opposed to the justice, she seems like a very fine person. but she's written before she went to the bench, which is her right, that she thinks that the affordable care act is not constitutional. the other thing is on the court -- if it’s struck down, what happens? women's rights are fundamentally changed. once again, a woman could be held -- make more money because she has a pre-existing condition of pregnancy. we're able to, they're able to charge women more for the same exact procedure a man gets, and that ended when we, in fact, passed the affordable care act. and there's 100 million people who have pre-existing conditions, and they'll be taken away as well. those pre-existing conditions, insurance companies are going to love this. and so it's just not appropriate to do this before this election. if he wins the election and the senate is democrat or republican, then he goes forward; if not, we should wait until february.6:01 "
5,TRUMP,"there aren’t 100 million people with pre-existing conditions. as far as the say is concerned, people already had their say. they -- okay, justice ginsburg said -- very powerfully, very strongly -- at some point, 10 years ago or so, she said a president and the senate is elected for a period of time, but a president's elected for four years. we’re not elected for three years -- i'm not elected for three years. so we have the senate, we have a president -- "
6,BIDEN,who’s elected at the next election.
7,TRUMP,"-- during that period of time, we have an opening. i'm not elected for three years; i'm elected for four years. -- "
8,BIDEN,the election’s already started.06:38 
9,TRUMP,-- joe. the hundred million people is totally wrong. i don't know where you got that number. the bigger problem that you have is that you're going to extinguish 180 million people with their private health care --
