,Speaker,Response
0,MR. REAGAN,"i don’t know what the differences might be, because i don’t know what mr. carter’s policies are. i do know what he has said about mine. and i’m only here to tell you that i believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security. now, i believe, also, that this meeting this mission, this responsibility for preserving the peace, which i believe is a responsibility peculiar to our country, and that we cannot shirk our responsibility as a leader of the free world because we’re the only ones that can do it. therefore, the burden of maintaining the peace falls on us. and to maintain that peace requires strength. america has never gotten in a war because we were too strong. we can get into a war by letting events get out of hand, as they have in the last three and a half years under the foreign policies of this administration of mr. carter’s, until we’re faced each time with a crisis. and good management in preserving the peace requires that we control the events and try to intercept before they become a crisis. i have seen four wars in my lifetime. i’m a father of sons; i have a grandson. i don’t ever want to see another generation of young americans bleed their lives into sandy beachheads in the pacific, or rice paddies and jungles in the in asia or the muddy battlefields of europe. "
1,MR. SMITH,"mr. stone, do you have a follow-up question for the governor? "
2,MR. STONE,"yes. governor, we’ve been hearing that the defense build-up that you would associate yourself with would cost tens of billions of dollars more than is now contemplated. assuming that the american people are ready to bear this cost, they nevertheless keep asking the following question: how do you reconcile huge increases in military outlays with your promise of substantial tax cuts and of balancing the budget, which in this fiscal year, the one that just ended, ran more than $60 billion in the red? "
3,MR. REAGAN,"mr. stone, i have submitted an economic plan that i have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford – along with the cuts that i have proposed in government. spending – we can afford the tax cuts i have proposed and probably mainly because mr. carter’s economic policy has built into the next five years, and on beyond that, a tax increase that will be taking $86 billion more out of the people’s pockets than was taken this year. and my tax cut does not come close to eliminating that $86 billion increase. i’m only reducing the amount of the increase. in other words, what i’m talking about is not putting government back to getting less money than government’s been getting, but simply cutting the increase in in spending. "
4,MR. SMITH,"the same question now goes to president carter. president carter, would you like to have the question repeated? "
5,MR. STONE,"yes, president carter, the question of war and peace, a central issue in this campaign. you’ve been criticized for, in the give and take, for responding late to aggressive soviet impulses, for an insufficient build-up of our armed forces, and a paralysis in dealing with afghanistan and iran. governor reagan, on the other hand, has been criticized for being all too quick to advocate the use of lots of muscle – military action – to deal with foreign crises such as i have mentioned. specifically, what are the differences between the two of you on the uses of american military power? "
6,MR. CARTER,"mr. stone, i’ve had to make thousands of decisions since i’ve been president, serving in the oval office. and with each one of those decisions that affect the future of my country, i have learned in the process. i think i’m a much wiser and more experienced man than i was when i debated four years ago against president ford. i’ve also learned that there are no simple answers to complicated questions. h. l. mencken said that for every problem there’s a simple answer. it would be neat and plausible and wrong. the fact is that this nation, in the eight years before i became president, had its own military strength decreased. seven out of eight years, the budget commitments for defense went down, 37% in all. since i’ve been in office, we’ve had a steady, carefully planned, methodical but, very effective increase in our commitment for defense. but what we’ve done is use that enormous power and prestige and military strength of the united states to preserve the peace. we’ve not only kept peace for our own country, but we’ve been able to extend the benefits of peace to others. in the middle east, we’ve worked for a peace treaty between israel and egypt, successfully, and have tied ourselves together with israel and egypt in a common defense capability. this is a very good step forward for our nation’s security, and we’ll continue to do as we have done in the past. i might also add that there are decisions that are made in the oval office by every president which are profound in nature. there are always trouble spots in the world, and how those troubled areas are addressed by a president alone in that oval office affects our nation directly, the involvement of the united states and also our american interests. that is a basic decision that has to be made so frequently, by every president who serves. that is what i have tried to do successfully by keeping our country at peace. "
7,MR. SMITH,"mr. stone, do you have a follow-up for? "
8,MR. STONE,"yes. i would like to be a little more specific on the use of military power and let’s talk about one area for a moment. under what circumstances would you use military forces to deal with, for example, a shut-off of the persian oil gulf [sic] if that should occur, or to counter russian expansion beyond afghanistan into either iran or pakistan? i ask this question in view of charges that we are woefully unprepared to project sustained – and i emphasize the word sustained – power in that part of the world. "
9,MR. CARTER,"mr. stone, in my state of the union address earlier this year, i pointed out that any threat to the stability or security of the persian gulf would be a threat to the security of our own country. in the past, we have not had an adequate military presence in that region. now we have two major carrier task forces. we have access to facilities in five different areas of that region. and we’ve made it clear that working with our allies and others, that we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world. but in doing this, we have made sure that we address this question peacefully, not injecting american military forces into combat, but letting the strength of our nation be felt in a beneficial way. this, i believe, has assured that our interests will be protected in the persian gulf region, as we have done in the middle east and throughout the world. "
10,MR. SMITH,"governor reagan, you have a minute to comment or rebut. "
11,MR. REAGAN,"well yes, i question the figure about the decline in defense spending under the two previous administrations in the preceding eight years to this administration. i would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace. i also would like to point out that republican presidents in those years, faced with a democratic majority in both houses of the congress, found that their requests for defense budgets were very often cut. now, gerald ford left a five-year projected plan for a military build-up to restore our defenses, and president carter’s administration reduced that by 38%, cut 60 ships out of the navy building program that had been proposed, and stopped the the b-l, delayed the cruise missile, stopped the production line for the minuteman missile, stopped the trident or delayed the trident submarine, and now is planning a mobile military force that can be delivered to various spots in the world which does make me question his assaults on whether i am the one who is quick to look for use of force. "
12,MR. SMITH,"president carter, you have the last word on this question. "
13,MR. CARTER,"well, there are various elements of defense. one is to control nuclear weapons, which i hope we’ll get to later on because that is the most important single issue in this campaign. another one is how to address troubled areas of the world. i think, habitually, governor reagan has advocated the injection of military forces into troubled areas, when i and my predecessors – both democrats and republicans – have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation. in addition to that, the build-up of military forces is good for our country because we’ve got to have military strength to preserve the peace. but i’ll always remember that the best weapons are the ones that are never fired in combat, and the best soldier is one who never has to lay his life down on the field of battle. strength is imperative for peace, but the two must go hand in hand. "
14,MR. SMITH,"thank you gentlemen. the next question is from harry ellis to president carter. mr. ellis, christian science monitor: mr. president, when you were elected in 1976, the consumer price index stood at 4.8%. it now stands at more than 12%. perhaps more significantly, the nation’s broader, underlying inflation rate has gone up from 7% to 9%. now, a part of that was due to external factors beyond u.s. control, notably the more than doubling. of oil prices by opec last year. because the united states remains vulnerable to such external shocks, can inflation in fact be controlled? if so, what measures would you pursue in a second term? "
15,MR. CARTER,"again it’s important to put the situation in perspective. in 1974, we had a so-called oil shock, wherein the price of opec oil was raised to an extraordinary degree. we had an even worse oil shock in 1979. in 1974, we had the worst recession, the deepest and most penetrating recession since the second world war. the recession that resulted this time was the briefest since the second world war. in addition, we’ve brought down inflation. earlier this year, in the first quarter, we did have a very severe inflation pressure brought about by the opec price increase. it averaged about 18% in the first quarter of this year. in the second quarter, we had dropped it down to about 13%. the most recent figures, the last three months, on the third quarter of this year, the inflation rate is 7% – still too high, but it illustrates very vividly that in addition to providing an enormous number of jobs – nine million new jobs in the last three and a half years – that the inflationary threat is still urgent on us. i notice that governor reagan recently mentioned the reagan-kemp-roth proposal. which his own running mate, george bush, described as voodoo economics, and said that it would result in a 30% inflation rate. and business week, which is not a democratic publication, said that this reagan-kemp-roth proposal – and i quote them, i think – was completely irresponsible and would result in inflationary pressures which would destroy this nation. so our proposals are very sound and very carefully considered to stimulate jobs, to improve the industrial complex of this country, to create tools for american workers, and at the same time would be anti-inflationary in nature. so to add nine million new jobs, to control inflation, and to plan for the future with an energy policy now intact as a foundation is our plan for the years ahead. "
16,MR. SMITH,"mr. ellis, do you have a follow-up question for mr. carter? "
17,MR. ELLIS,"yes. mr. president, you have mentioned the creation of nine million new jobs. at the same time, the unemployment rate still hangs high, as does the inflation rate. now, i wonder, can you tell us what additional policies you would pursue in a second administration in order to try to bring down that inflation rate? and would it be an act of leadership to tell the american people they are going to have to sacrifice to adopt a leaner lifestyle for some time to come? "
18,MR. CARTER,"yes. we have demanded that the american people sacrifice, and they have done very well. as a matter of fact, we’re importing today about one-third less oil from overseas than we did just a year ago. we’ve had a 25% reduction since the first year i was in office. at the same time, as i have said earlier, we have added about nine million net new jobs in that period of time – a record never before achieved. also, the new energy policy has been predicated on two factors: one is conservation, which requires sacrifice, and the other one, increase in production of american energy, which is going along very well – more coal this year than ever before in american history, more oil and gas wells drilled this year than ever before in history. the new economic revitalization program that we have in mind, which will be implemented next year, would result in tax credits which would let business invest in new tools and new factories to create even more new jobs – about one million in the next two years. and we also have planned a youth employment program which would encompass 600,000 jobs for young people. this has already passed the house, and it has an excellent prospect to pass the senate. "
19,MR. SMITH,"now, the same question goes to governor reagan. governor reagan, would you like to have the question repeated? "
20,MR. ELLIS,"governor reagan, during the past four years, the consumer price index has risen from 4.8% to currently over 12%. and perhaps more significantly, the nation’s broader, underlying rate of inflation has gone up from 7% to 9%. now, a part of that has been due to external factors beyond u.s. control, notably the more than doubling of opec oil prices last year, which leads me to ask you whether, since the united states remains vulnerable to such external shocks, can inflation in fact be controlled? if so, specifically what measures would you pursue`? "
21,MR. REAGAN,"mr. ellis, i think this idea that has been spawned here in our country that inflation somehow came upon us like a plague and therefore it’s uncontrollable and no one can do anything about it, is entirely spurious and it’s dangerous to say this to the people. when mr. carter became president, inflation was 4.8%, as you said. it had been cut in two by president gerald ford. it is now running at 12.7%. president carter also has spoken of the new jobs created. well, we always, with the normal growth in our country and increase in population, increase the number of jobs. but that can’t hide the fact that there are eight million men and women out of work in america today, and two million of those lost their jobs in just the last few months. mr. carter had also promised that he would not use unemployment as a tool to fight against inflation. and yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in january, at the beginning of the year, it was more than 18%. since then, he has blamed the people for inflation, opec, he has blamed the federal reserve system, he has blamed the lack of productivity of the american people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less. we don’t have inflation because the people are living too well. we have inflation because the government is living too well. and the last statement, just a few days ago, was a speech to the effect that we have inflation because government revenues have not kept pace with government spending. i see my time is running out here. i’ll have to get this out very fast. yes, you can lick inflation by increasing productivity and by decreasing the cost of government to the place that we have balanced budgets, and are no longer grinding out printing press money, flooding the market with it because the government is spending more than it takes in. and my economic plan calls for that. the president’s economic plan calls for increasing the taxes to the point that we finally take so much money away from the people that we can balance the budget in that way. but we will have a very poor nation and a very unsound economy if we follow that path. "
22,MR. SMITH,"a follow-up, mr. ellis? "
23,MR. ELLIS,"yes. you have centered on cutting government spending in what you have just said about your own policies. you have also said that you would increase defense spending. specifically, where would you cut government spending if you were to increase defense spending and also cut taxes, so that, presumably. federal revenues would shrink? "
24,MR. REAGAN,"well. most people, when they think about cutting government spending, they think in terms of eliminating necessary programs or wiping out something, some service that government is supposed to perform. i believe that there is enough extravagance and fat in government. as a matter of fact, one of the secretaries of hew under mr. carter testified that he thought there was $7 billion worth of fraud and waste in welfare and in the medical programs associated with it. we’ve had the central accounting. office estimate that there is probably tens of billions of dollars that is lost in fraud alone, and they have added that waste adds even more to that. we have a program for a gradual reduction of government spending based on these theories, and i have a task force now that has been working on where those cuts could be made. i’m confident that it can be done and that it will reduce inflation because i did it in california. and inflation went down below the national average in california when we returned the money to the people and reduced government spending. "
25,MR. SMITH,president carter. 
26,MR. CARTER,"governor reagan’s proposal, the reagan-kemp-roth proposal, is one of the most highly inflationary ideas that ever has been presented to the american public. he would actually have to cut government spending by at least $130 billion in order to balance the budget under this ridiculous proposal. i notice that his task force that is working for his future plans had some of their ideas revealed in the wall street journal this week. one of those ideas was to repeal the minimum wage, and several times this year, governor reagan has said that the major cause of unemployment is the minimum wage. this is a heartless kind of approach to the working families of our country, which is typical of many republican leaders of the past, but, i think, has been accentuated under governor reagan. in california – i’m surprised governor reagan brought this up – he had the three largest tax increases in the history of that state under his administration. he more than doubled state spending while he was governor – 122% increase – and had between a 20% and 30% increase in the number of employees "
27,MR. SMITH,"sorry to interrupt, mr. carter. "
28,MR. CARTER,"in california. thank you, sir. "
29,MR. SMITH,governor reagan has the last word on this question. 
30,MR. REAGAN,"yes. the figures that the president has just used about california is a distortion of the situation there, because while i was governor of california, our spending in california increased less per capita than the spending in georgia while mr. carter was governor of georgia in the same four years. the size of government increased only one-sixth in california of what it increased in proportion to the population in georgia. and the idea that my tax-cut proposal is inflationary: i would like to ask the president why is it inflationary to let the people keep more of their money and spend it the way that they like, and it isn’t inflationary to let him take that money and spend it the way he wants? "
31,MR. SMITH,"i wish that question need not be rhetorical, but it must be because we’ve run out of time on that. now, the third question to governor reagan from william hilliard. william hilliard, portland oregonian: yes. governor reagan, the decline of our cities has been hastened by the continual rise in crime, strained race relations, the fall in the quality of public education, persistence of abnormal poverty in a rich nation, and a decline in the services to the public. the signs seem to point toward a deterioration that could lead to the establishment of a permanent underclass in the cities. what, specifically, would you do in the next four years to reverse this trend? "
