,Speaker,Response
0,LEHRER,"good evening. on behalf of the commission on presidential debates i am pleased to welcome you to this first presidential debate of the 1988 campaign. i’m jim lehrer of the mcneil-lehrer news hour. my colleagues on the panel are john mashek of the atlanta journal-constitution; ann groer of the orlando sentinel; and peter jennings of abc news. for the next 90 minutes we will be questioning the candidates for president of the united states following a format designed and agreed to by representatives of the two candidates. the candidates are vice president george bush, the republican nominee; governor michael dukakis, the democratic nominee. (applause) "
1,LEHRER,"our questions this evening will be about equally divided between foreign and domestic policy matters. the first question by agreement between the two candidates goes to vice president bush. it is a domestic question. you have two minutes for an answer, sir. the polls say the number one domestic issue to a majority of voters is drugs. what is there about these times that drives or draws so many americans to use drugs? "
2,BUSH,"i think we’ve seen a deterioration of values. i think for a while as a nation we condoned those things we should have condemned. for a while, as i recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and i think that’s all wrong. so we’ve seen a deterioration in values, and one of the things that i think we should do about it in terms of cause is to instill values into the young people in our schools. we got away, we got into this feeling that value- free education was the thing. and i don’t believe that at all i do believe there are fundamental rights and wrongs as far as use. and, of course, as far as the how we make it better, yes, we can do better on interdiction. but we’ve got to do a lot better on education, and we have to do, be tougher on those who commit crimes. we’ve got to get after the users more. we have to change this whole culture. you know, i saw a movie – “crocodile dundee.” and i saw the cocaine scene treated with humor, as though this was a humorous little incident. and it’s bad. everybody ought to be in this thing. entertainment industry, people involved in the schools, education. and it isn’t a republican or a democrat or a liberal problem. but we have got to instill values in these young people. and i have put forward a many-point drug program that includes what i would do as president of the united states; in terms of doing better on interdiction; and in terms of better in the neighborhoods. but i think we’re all in this together, and my plea to the american people is values in the schools. "
3,LEHRER,"governor, you have one minute to respond. "
4,DUKAKIS,"i agree with mr. bush that values are important. but it’s important that our leaders demonstrate those values from the top. that means those of us who are elected to positions of political leadership have to reflect those values ourselves. here we are with a government that’s been dealing with a drug-running panamanian dictator. we’ve been dealing with him; he’s been dealing drugs to our kids. governors like me and others have been trying to deal with the consequences. i remember being in a high school in my own state as we were organizing something we call the governor’s alliance against drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, governor, i need help. we’re providing that young woman with help. but i want to be a president of the united states who makes sure that we never again do business with a drug-running panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers. values begin at the top, in the white house. those are the values i want to bring to the presidency and to the white house beginning in january of 1989. "
5,LEHRER,"governor, a follow-up question. you have two minutes to answer it. are you suggesting, sir, that president reagan is one of the causes of the drug problem in this country? "
6,DUKAKIS,"i’m saying that those of us who are elected to positions of political leadership, jim, have a special responsibility, not only to come up with programs, and i have outlined in detail the very important, very strong program of enforcement as well as drug education prevention. and mr. bush is right – the two go hand in hand. but if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don’t understand that that sends out a very, very bad message to our young people, it’s a little difficult for me to understand just how we can reach out to that youngster that i talked about and to young people like her all over the country, and say to them we want to help you. now, i’ve outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of january when we bring our democratic neighbors and allies together here in this hemisphere and go to work together. but we also have to take demand seriously. you know, we have five percent of the world’s population in this country. we’re consuming 50 percent of the world’s cocaine. doing better in the neighborhoods. but i think we’re all in this together, and my plea to the american people is values in the schools. "
7,LEHRER,"governor, you have one minute to respond. "
8,DUKAKIS,"i agree with mr. bush that values are important. but it’s important that our leaders demonstrate those values from the top. that means those of us who are elected to positions of political leadership have to reflect those values ourselves. here we are with a government that’s been dealing with a drug-running panamanian dictator. we’ve been dealing with him; he’s been dealing drugs to our kids. governors like me and others have been trying to deal with the consequences. i remember being in a high school in my own state as we were organizing something we call the governor’s alliance against drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, governor, i need help. we’re providing that young woman with help. but i want to be a president of the united states who makes sure that we never again do business with a drug-running panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers. values begin at the top, in the white house. those are the values i want to bring to the presidency and to the white house beginning in january of 1989. "
9,LEHRER,"governor, a follow-up question. you have two minutes to answer it. are you suggesting, sir, that president reagan is one of the causes of the drug problem in this country? "
