,Speaker,Response
0,LEHRER,"good evening from the university of miami convocation center in coral gables, florida. i’m jim lehrer of “the newshour” on pbs. and i welcome you to the first of the 2004 presidential debates between president george w. bush, the republican nominee, and senator john kerry, the democratic nominee. these debates are sponsored by the commission on presidential debates. tonight’s will last 90 minutes, following detailed rules of engagement worked out by representatives of the candidates. i have agreed to enforce their rules on them. the umbrella topic is foreign policy and homeland security, but the specific subjects were chosen by me, the questions were composed by me, the candidates have not been told what they are, nor has anyone else. for each question there can only be a two-minute response, a 90- second rebuttal and, at my discretion, a discussion extension of one minute. a green light will come on when 30 seconds remain in any given answer, yellow at 15, red at five seconds, and then flashing red means time’s up. there is also a backup buzzer system if needed. candidates may not direct a question to each other. there will be two-minute closing statements, but no opening statements. there is an audience here in the hall, but they will remain absolutely silent for the next 90 minutes, except for now, when they join me in welcoming president bush and senator kerry. (applause) "
1,LEHRER,"good evening, mr. president, senator kerry. as determined by a coin toss, the first question goes to you, senator kerry. you have two minutes. do you believe you could do a better job than president bush in preventing another 9/11-type terrorist attack on the united states? "
2,KERRY,"yes, i do. but before i answer further, let me thank you for moderating. i want to thank the university of miami for hosting us. and i know the president will join me in welcoming all of florida to this debate. you’ve been through the roughest weeks anybody could imagine. our hearts go out to you. and we admire your pluck and perseverance. i can make american safer than president bush has made us. and i believe president bush and i both love our country equally. but we just have a different set of convictions about how you make america safe. i believe america is safest and strongest when we are leading the world and we are leading strong alliances. i’ll never give a veto to any country over our security. but i also know how to lead those alliances. this president has left them in shatters across the globe, and we’re now 90 percent of the casualties in iraq and 90 percent of the costs. i think that’s wrong, and i think we can do better. i have a better plan for homeland security. i have a better plan to be able to fight the war on terror by strengthening our military, strengthening our intelligence, by going after the financing more authoritatively, by doing what we need to do to rebuild the alliances, by reaching out to the muslim world, which the president has almost not done, and beginning to isolate the radical islamic muslims, not have them isolate the united states of america. i know i can do a better job in iraq. i have a plan to have a summit with all of the allies, something this president has not yet achieved, not yet been able to do to bring people to the table. we can do a better job of training the iraqi forces to defend themselves, and i know that we can do a better job of preparing for elections. all of these, and especially homeland security, which we’ll talk about a little bit later. "
3,LEHRER,"mr. president, you have a 90-second rebuttal. "
4,GEORGE W. BUSH,"i, too, thank the university of miami, and say our prayers are with the good people of this state, who’ve suffered a lot. september the 11th changed how america must look at the world. and since that day, our nation has been on a multi-pronged strategy to keep our country safer. we pursued al qaida wherever al qaida tries to hide. seventy-five percent of known al qaida leaders have been brought to justice. the rest of them know we’re after them. we’ve upheld the doctrine that said if you harbor a terrorist, you’re equally as guilty as the terrorist. and the taliban are no longer in power. ten million people have registered to vote in afghanistan in the upcoming presidential election. in iraq, we saw a threat, and we realized that after september the 11th, we must take threats seriously, before they fully materialize. saddam hussein now sits in a prison cell. america and the world are safer for it. we continue to pursue our policy of disrupting those who proliferate weapons of mass destruction. libya has disarmed. the a.q. khan network has been brought to justice. and, as well, we’re pursuing a strategy of freedom around the world, because i understand free nations will reject terror. free nations will answer the hopes and aspirations of their people. free nations will help us achieve the peace we all want. "
5,LEHRER,"new question, mr. president, two minutes. do you believe the election of senator kerry on november the 2nd would increase the chances of the u.s. being hit by another 9/11-type terrorist attack? "
6,GEORGE W. BUSH,"no, i don’t believe it’s going to happen. i believe i’m going to win, because the american people know i know how to lead. i’ve shown the american people i know how to lead. i have — i understand everybody in this country doesn’t agree with the decisions i’ve made. and i made some tough decisions. but people know where i stand. people out there listening know what i believe. and that’s how best it is to keep the peace. this nation of ours has got a solemn duty to defeat this ideology of hate. and that’s what they are. this is a group of killers who will not only kill here, but kill children in russia, that’ll attack unmercifully in iraq, hoping to shake our will. we have a duty to defeat this enemy. we have a duty to protect our children and grandchildren. the best way to defeat them is to never waver, to be strong, to use every asset at our disposal, is to constantly stay on the offensive and, at the same time, spread liberty. and that’s what people are seeing now is happening in afghanistan. ten million citizens have registered to vote. it’s a phenomenal statistic. that if given a chance to be free, they will show up at the polls. forty-one percent of those 10 million are women. in iraq, no doubt about it, it’s tough. it’s hard work. it’s incredibly hard. you know why? because an enemy realizes the stakes. the enemy understands a free iraq will be a major defeat in their ideology of hatred. that’s why they’re fighting so vociferously. they showed up in afghanistan when they were there, because they tried to beat us and they didn’t. and they’re showing up in iraq for the same reason. they’re trying to defeat us. and if we lose our will, we lose. but if we remain strong and resolute, we will defeat this enemy. "
7,LEHRER,"ninety second response, senator kerry. "
8,KERRY,"i believe in being strong and resolute and determined. and i will hunt down and kill the terrorists, wherever they are. but we also have to be smart, jim. and smart means not diverting your attention from the real war on terror in afghanistan against osama bin laden and taking if off to iraq where the 9/11 commission confirms there was no connection to 9/11 itself and saddam hussein, and where the reason for going to war was weapons of mass destruction, not the removal of saddam hussein. this president has made, i regret to say, a colossal error of judgment. and judgment is what we look for in the president of the united states of america. i’m proud that important military figures who are supporting me in this race: former chairman of the joint chiefs of staff john shalikashvili; just yesterday, general eisenhower’s son, general john eisenhower, endorsed me; general admiral william crown; general tony mcbeak, who ran the air force war so effectively for his father — all believe i would make a stronger commander in chief. and they believe it because they know i would not take my eye off of the goal: osama bin laden. unfortunately, he escaped in the mountains of tora bora. we had him surrounded. but we didn’t use american forces, the best trained in the world, to go kill him. the president relied on afghan warlords and he outsourced that job too. that’s wrong. "
9,LEHRER,"new question, two minutes, senator kerry. “colossal misjudgments.” what colossal misjudgments, in your opinion, has president bush made in these areas? "
