,Speaker,Response
0,MR. REYNOLDS,"mr. president, governor carter. governor, in an interview with the associated press last week, you said you believed these debates would alleviate a lot of concern that some voters have about you. well, one of those concerns, not an uncommon one about uh – candidates in any year, is that many voters say they don’t really know where you stand. now, you have made jobs your number one priority and you have said you are committed to a drastic reduction in unemployment. can you say now, governor, in specific terms, what your first step would be next january, if you are elected, to achieve that. "
1,MR. CARTER,"yes. first of all is to recognize a tremendous economic strength in this country and to set the putting to – back to work of our people as a top priority. this is uh – an effort that ought to be done primarily by strong leadership in the white house, the inspiration of our people, the tapping of uh – business, agriculture, industry, labor and government at all levels to work on this uh project. we’ll never have uh – an end to the inflationary spiral, and we’ll never have a balanced budget until we get our people back to work. there are several things that can be done specifically that are not now being done. first of all, to channel research and development funds into areas that will provide uh large numbers of jobs. secondly, we need to have a commitment in the uh private sector uh – to cooperate with government in matters like housing. here a very small investment of taxpayer’s money – in the housing field can bring large numbers of extra jobs, and the guarantee of mortgage loans, and the uh – putting forward of uh – two-0-two programs for housing for older people and so forth to cut down the roughly 20 percent unemployment that now exists in the – in the construction industry. another thing is to deal with our – uh needs in the central cities, where the unemployment rate is extremely high: sometimes among minority groups, or those who don’t speak english, or who’re black, or young people, or – 40 percent of the employment. here a ccc type program would be appropriate to channel money into the ah – cha- in – in into the sharing with the private sector and also local and state governments to employ young people who are now out of work. another very important – uh aspect of our – uh economy would be to increase production in every way possible, uh to hold down – uh taxes on individuals, and to uh shift the tax burdens onto those who have avoided paying taxes in the past. these uh – kinds of specific things, uh none of which are being done now, would be a great help in – in reducing uh unemployment. there is uh – uh an additional factor that needs to be done and covered very – very succinctly, and that is, to make sure that we have a good relationship between management – business on the one hand, and labor, on the other. in a > transfer interrupted! ery high, we might channel specific uh targeted job – job – uh opportunities by paying part of the salary of unemployed people – uh and also sharing with uh – local governments the uh – payment of salaries which would uh – let us cut down the unemployment rate much lower, before we hit the inflationary level. but i believe that by the end of the first four years of uh – of the next term we could have the unemployment down to 3 percent adult unemployment, which is about uh – 4 to 4 and a half percent overall uh controlled inflation rate and have a uh balance of growth of about – uh 4 to 6 percent, around 5 percent which would give us a balanced budget. "
2,MR. REYNOLDS,"governor, uh – in the event you are successful and you do achieve a drastic drop "
3,MR. CARTER,"yes, in unemployment that is likely to create additional pressure on prices, how willing are you to consider an incomes policy, in other words, wage and price controls? "
4,MR. CARTER,"well – we now have such uh – a low utilization of uh – our productive capacity – uh about 73 percent; i think it’s about the lowest since the great depression years – and such a high unemployment rate now – uh 7.9 percent – that – uh we have a long way to go in getting people to work before we have the inflationary pressures. and i think this would uh – this would be uh easy to accomplish, to get jobs down, without having strong in- inflationary pressures that – that would be necessary. i would not favor the uh – payment of uh – of a given fixed income to people unless they are not able to work. but with tax incentives for the low-income groups we could build up their uh – income levels uh – above the poverty level and not uh make welfare more uh – profitable than – than work. "
5,MR. NEWMAN,"mr. president, your response. "
6,MR. FORD,"i don’t believe that uh that mr. carter’s been any more specific in this case than he has been on many other instances. i notice particularly that he didn’t endorse the humphrey-hawkins bill which he has on occasions and which is included as a part of the democratic platform. that legislation uh allegedly would help our unemployment, but uh – we all know that it would’ve controlled our economy, it would’ve added uh – ten to thirty billion dollars each year in additional expenditures by the federal government. it would’ve called for export controls on agricultural products in my judgment the best way to get jobs is to uh – expand the private sector, where five out of six jobs today exist in our economy. we can do that by reducing federal taxes as i proposed uh – about a year ago when i called for a tax reduction of $28 billion – three-quarters of it to go to private uh taxpayers and uh one-quarter to the business sector. we could add to jobs in the major metropolitan areas by a proposal that i recommended that would give tax incentives to business to move into the inner city and to expand or to build new plants so that they would take a plant, or expand a plant where people are, and people are currently unemployed. we could uh – also uh – help our youths with some of the proposals that uh – would give to young people an opportunity to work and learn at the same time just like we give money to young people who are going to college. those are the kind of specifics that i think we have to discuss on these uh – debates, and these are the kind of programs that i’ll talk about on my time. "
7,MR. NEWMAN,"mr. gannon, your question to president ford. "
8,MR. GANNON,"mr. president, i would like to continue for a moment on this uh question of taxes which you have just raised. you have said that you favor more tax cuts for middle-income americans – even those earning up to $30 thousand a year. that presumably would cost the treasury quite a bit of money in lost revenue. in view of the very large budget deficits that you have accumulated and that are still in prospect, how is it possible to promise further tax cuts and to reach your goal of balancing the budget? "
9,MR. FORD,"at the time, mr. gannon, that i made the recommendation for a $28 billion tax cut – three-quarters of it to go to individual taxpayers and 25 percent to american business. i said at the time that we had to hold the lid an federal spending, that for every dollar of a tax reduction we had to have an equal reduction in federal expenditures – a one-for-one proposition. and i recommended that to the congress with a budget ceiling of three hundred and ninety-five billion dollars, and that would have permitted us to have a $25 billion tax reduction. in my tax reduction program for middle-income taxpayers, i recommended that the congress increase personal exemptions from seven hundred and fifty dollars per person to one thousand dollars per person. that would mean, of course, that for a family of four that that family would have a thousand dollars more personal exemption – money that they could spend for their own purposes, money that the government wouldn’t have to spend. but if we keep the lid on federal spending, which i think we can – with the help of the congress, we can justify fully a $28 billion tax reduction. in the budget that i submitted to the congress in january this year, i re- recommended a 50 percent cutback in the rate of growth of federal spending. for the last ten years the budget of the united states has grown from uh – about 11 percent per year. we can’t afford that kind of growth in federal spending. and in the budget that i recommended we cut it in half – a growth rate of 5 to 5 and one-half percent. with that kind of limitation, on federal spending, we can fully justify the tax reductions that i have proposed. and it seems to me with the stimulant of more money in the hands of the taxpayers, and with more money in the hands of business to expand, to modernize, to provide more jobs, our economy stimulated so that we’ll get more revenue and we’ll have a more prosperous economy. "
