,Speaker,Response
0,LEHRER,"good evening from the bushnell theatre in hartford, connecticut. i’m jim lehrer of the news hour on pbs. welcome to the first of the 1996 presidential debates between president bill clinton, the democratic nominee, and senator bob dole, the republican nominee. this event is sponsored by the commission on presidential debates. it will last 90 minutes following a format and rules worked out by the two campaigns. there will be two-minute opening and closing statements. in between, a series of questions, each having three parts. a 90-second answer, a 60-second rebuttal, and a 30-second response. i will assist the candidates in adhering to those time limits with the help of a series of lights visible to both. under their rules, the candidates are not allowed to question each other directly. i will ask the questions. there are no limitations on the subjects. the order for everything tonight was determined by coin toss. now, to the opening statements and to president clinton. mr. president. "
1,CLINTON,"thank you, jim. and thank you to the people of hartford, our hosts. i want to begin by saying again how much i respect senator dole and his record of public service and how hard i will try to make this campaign and this debate one of ideas, not insults. four years ago i ran for president at a time of high unemployment and rising frustration. i wanted to turn this country around with a program of opportunity for all, responsibility from all, and an american community where everybody has a role to play. i wanted a government that was smaller and less bureaucratic to help people make the most of their own lives. four years ago you took me on faith. now there’s a record: ten and a half million more jobs, rising incomes, falling crime rates and welfare rolls, a strong america at peace. we are better off than we were four years ago. let’s keep it going. we cut the deficit by 60 percent. now, let’s balance the budget and protect medicare, medicaid, education and the environment. we cut taxes for 15 million working americans. now let’s pass the tax cuts for education and child rearing, help with medical emergencies, and buying a home. we passed family and medical leave. now let’s expand it so more people can succeed as parents and in the work force. we passed 100,000 police, the assault weapons ban, the brady bill. now let’s keep going by finishing the work of putting the police on the street and tackling juvenile gangs. we passed welfare reform. now let’s move a million people from welfare to work. and most important, let’s make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the internet, every 18-year-old can go to college. we can build that bridge to the 21st century. and i look forward to discussing exactly how we’re going to do it. "
2,LEHRER,"senator dole, two minutes. "
3,DOLE,"thank you. thank you, mr. president, for those kind words. thank the people of hartford, the commission, and all those out here who may be listening or watching. it’s a great honor for me to be here standing here as the republican nominee. i’m very proud to be the republican nominee reaching out to democrats and independents. i have three very special people with me tonight: my wife, elizabeth; my daughter, robin, who has never let me down, and a fellow named frank carafa from new york, along with ollie manninen who helped me out in the mountains of italy a few years back. i’ve learned from them that people do have tough times. and sometimes you can’t go it alone. and that’s what america is all about. i remember getting my future back from doctors and nurses and a doctor in chicago named dr. kalikian . and ever since that time, i’ve tried to give something back to my country, to the people who are watching us tonight. america is the greatest place on the face of the earth. now, i know millions of you still have anxieties. you work harder and harder to make ends meet and put food on the table. you worry about the quality and the safety of your children, and the quality of education. but even more importantly, you worry about the future and will they have the same opportunities that you and i have had. and jack kemp and i want to share with you some ideas tonight. jack kemp is my running mate, doing an outstanding job. now, i’m a plain-speaking man and i learned long ago that your word was your bond. and i promise you tonight that i’ll try to address your concerns and not try to exploit them. it’s a tall order, but i’ve been running against the odds for a long time and, again, i’m honored to be here this evening. "
4,LEHRER,"mr. president, first question. there is a major difference in your view of the role of the federal government and that of senator dole. how would you define the difference? "
5,CLINTON,"well, jim, i believe that the federal government should give people the tools and try to establish the conditions in which they can make the most of their own lives. that, to me, is the key. and that leads me to some different conclusions from senator dole. for example, we have reduced the size of the federal government to its smallest size in 30 years. we reduced more regulations, eliminated more programs than my two republican predecessors. but i have worked hard for things like the family and medical leave law, the brady bill, the assault weapons ban, the program to put 100,000 police on the street. all of these are programs that senator dole opposed that i supported, because i felt they were a legitimate effort to help people make the most of their own lives. i’ve worked hard to help families impart values to their own children. i supported the v-chip so that parents would be able to control what their kids watch on television when they’re young, along with the ratings systems for television and educational television. i supported strong action against the tobacco companies to stop the marketing, advertising, and sale of tobacco to young people. i supported a big increase in the safe and drug-free schools program. these were areas on which senator dole and i differed, but i believed they were the right areas for america to be acting together as one country to help individuals and families make the most of their own lives and raise their kids with good values and a good future. "
6,LEHRER,"senator dole, one minute. "
7,DOLE,"i think the basic difference is, and i have had some experience in this, i think the basic difference, i trust the people. the president trusts the government. we go back and look at the healthcare plan that he wanted to impose on the american people. one seventh the total economy, 17 new taxes, price controls, 35 to 50 new bureaucracies that cost $1.5 trillion. don’t forget that, that happened in 1993. a tax increase, a tax on everybody in america. not just the rich. if you made 25,000 as the original proposal, you got your social security taxes increased. we had a btu tax we turned into a $35 million gas tax, a $265 billion tax increase. i guess i rely more on the individual. i carry a little card in my pocket called the tenth amendment. where possible, i want to give power back to the states and back to the people. that’s my difference with the president. we’ll have specific differences later. he noted a few, but there are others. "
8,LEHRER,"mr. president, 30 seconds. "
9,CLINTON,"i trust the people. we’ve done a lot to give the people more powers to make their own decisions over their own lives. but i do think we are right when we try to, for example, give mothers and newborns 48 hours before they can be kicked out of the hospital, ending these drive-by deliveries. i think we were right to pass the kassebaum-kennedy bill, which says you can’t lose your health insurance just because you change jobs or because someone in your family’s been sick. our government is smaller and less bureaucratic and has given more authority to the states than its two predecessors under republican presidents. but i do believe we have to help our people get ready to succeed in the 21st century. "
