,Speaker,Response
0,HOLT,"good evening from hofstra university in hempstead, new york. i’m lester holt, anchor of “nbc nightly news.” i want to welcome you to the first presidential debate. the participants tonight are donald trump and hillary clinton. this debate is sponsored by the commission on presidential debates, a nonpartisan, nonprofit organization. the commission drafted tonight’s format, and the rules have been agreed to by the campaigns. the 90-minute debate is divided into six segments, each 15 minutes long. we’ll explore three topic areas tonight: achieving prosperity; america’s direction; and securing america. at the start of each segment, i will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond. from that point until the end of the segment, we’ll have an open discussion. the questions are mine and have not been shared with the commission or the campaigns. the audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. i will invite you to applaud, however, at this moment, as we welcome the candidates: democratic nominee for president of the united states, hillary clinton, and republican nominee for president of the united states, donald j. trump. [applause] "
1,HILLARY CLINTON,"how are you, donald? [applause] "
2,HOLT,"good luck to you. [applause] well, i don’t expect us to cover all the issues of this campaign tonight, but i remind everyone, there are two more presidential debates scheduled. we are going to focus on many of the issues that voters tell us are most important, and we’re going to press for specifics. i am honored to have this role, but this evening belongs to the candidates and, just as important, to the american people. candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. so, let’s begin. we’re calling this opening segment “achieving prosperity.” and central to that is jobs. there are two economic realities in america today. there’s been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. however, income inequality remains significant, and nearly half of americans are living paycheck to paycheck. beginning with you, secretary clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of american workers? "
3,HILLARY CLINTON,"well, thank you, lester, and thanks to hofstra for hosting us. the central question in this election is really what kind of country we want to be and what kind of future we’ll build together. today is my granddaughter’s second birthday, so i think about this a lot. first, we have to build an economy that works for everyone, not just those at the top. that means we need new jobs, good jobs, with rising incomes. i want us to invest in you. i want us to invest in your future. that means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. we also have to make the economy fairer. that starts with raising the national minimum wage and also guarantee, finally, equal pay for women’s work. i also want to see more companies do profit-sharing. if you help create the profits, you should be able to share in them, not just the executives at the top. and i want us to do more to support people who are struggling to balance family and work. i’ve heard from so many of you about the difficult choices you face and the stresses that you’re under. so let’s have paid family leave, earned sick days. let’s be sure we have affordable child care and debt-free college. how are we going to do it? we’re going to do it by having the wealthy pay their fair share and close the corporate loopholes. finally, we tonight are on the stage together, donald trump and i. donald, it’s good to be with you. we’re going to have a debate where we are talking about the important issues facing our country. you have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. i hope that i will be able to earn your vote on november 8th. "
4,HOLT,"secretary clinton, thank you. mr. trump, the same question to you. it’s about putting money—more money into the pockets of american workers. you have up to two minutes. "
5,TRUMP,"thank you, lester. our jobs are fleeing the country. they’re going to mexico. they’re going to many other countries. you look at what china is doing to our country in terms of making our product. they’re devaluing their currency, and there’s nobody in our government to fight them. and we have a very good fight. and we have a winning fight. because they’re using our country as a piggy bank to rebuild china, and many other countries are doing the same thing. so we’re losing our good jobs, so many of them. when you look at what’s happening in mexico, a friend of mine who builds plants said it’s the eighth wonder of the world. they’re building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. with the united states, as he said, not so much. so ford is leaving. you see that, their small car division leaving. thousands of jobs leaving michigan, leaving ohio. they’re all leaving. and we can’t allow it to happen anymore. as far as child care is concerned and so many other things, i think hillary and i agree on that. we probably disagree a little bit as to numbers and amounts and what we’re going to do, but perhaps we’ll be talking about that later. but we have to stop our jobs from being stolen from us. we have to stop our companies from leaving the united states and, with it, firing all of their people. all you have to do is take a look at carrier air conditioning in indianapolis. they left—fired 1,400 people. they’re going to mexico. so many hundreds and hundreds of companies are doing this. we cannot let it happen. under my plan, i’ll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. that’s going to be a job creator like we haven’t seen since ronald reagan. it’s going to be a beautiful thing to watch. companies will come. they will build. they will expand. new companies will start. and i look very, very much forward to doing it. we have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs. "
6,HOLT,"secretary clinton, would you like to respond? "
7,HILLARY CLINTON,"well, i think that trade is an important issue. of course, we are 5 percent of the world’s population; we have to trade with the other 95 percent. and we need to have smart, fair trade deals. we also, though, need to have a tax system that rewards work and not just financial transactions. and the kind of plan that donald has put forth would be trickle-down economics all over again. in fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we’ve ever had. i call it trumped-up trickle-down, because that’s exactly what it would be. that is not how we grow the economy. we just have a different view about what’s best for growing the economy, how we make investments that will actually produce jobs and rising incomes. i think we come at it from somewhat different perspectives. i understand that. you know, donald was very fortunate in his life, and that’s all to his benefit. he started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there. i don’t buy that. i have a different experience. my father was a small-businessman. he worked really hard. he printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. and so what i believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we’ll grow. that’s the kind of economy i want us to see again. "
8,HOLT,"let me follow up with mr. trump, if i can. you’ve talked about creating 25 million jobs, and you’ve promised to bring back millions of jobs for americans. how are you going to bring back the industries that have left this country for cheaper labor overseas? how, specifically, are you going to tell american manufacturers that you have to come back? "
9,TRUMP,"well, for one thing—and before we start on that—my father gave me a very small loan in 1975, and i built it into a company that’s worth many, many billions of dollars, with some of the greatest assets in the world, and i say that only because that’s the kind of thinking that our country needs. our country’s in deep trouble. we don’t know what we’re doing when it comes to devaluations and all of these countries all over the world, especially china. they’re the best, the best ever at it. what they’re doing to us is a very, very sad thing. so we have to do that. we have to renegotiate our trade deals. and, lester, they’re taking our jobs, they’re giving incentives, they’re doing things that, frankly, we don’t do. let me give you the example of mexico. they have a vat tax. we’re on a different system. when we sell into mexico, there’s a tax. when they sell in—automatic, 16 percent, approximately. when they sell into us, there’s no tax. it’s a defective agreement. it’s been defective for a long time, many years, but the politicians haven’t done anything about it. now, in all fairness to secretary clinton—yes, is that ok? good. i want you to be very happy. it’s very important to me. but in all fairness to secretary clinton, when she started talking about this, it was really very recently. she’s been doing this for 30 years. and why hasn’t she made the agreements better? the nafta agreement is defective. just because of the tax and many other reasons, but just because of the fact… "
10,HOLT,"let me interrupt just a moment, but… "
11,TRUMP,"secretary clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement. they should have been doing this for years. what’s happened to our jobs and our country and our economy generally is—look, we owe $20 trillion. we cannot do it any longer, lester. "
12,HOLT,"back to the question, though. how do you bring back—specifically bring back jobs, american manufacturers? how do you make them bring the jobs back? "
13,TRUMP,"well, the first thing you do is don’t let the jobs leave. the companies are leaving. i could name, i mean, there are thousands of them. they’re leaving, and they’re leaving in bigger numbers than ever. and what you do is you say, fine, you want to go to mexico or some other country, good luck. we wish you a lot of luck. but if you think you’re going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you’re wrong. and once you say you’re going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. so what i’m saying is, we can stop them from leaving. we have to stop them from leaving. and that’s a big, big factor. "
14,HOLT,let me let secretary clinton get in here. 
15,HILLARY CLINTON,"well, let’s stop for a second and remember where we were eight years ago. we had the worst financial crisis, the great recession, the worst since the 1930s. that was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of wall street, and created a perfect storm. in fact, donald was one of the people who rooted for the housing crisis. he said, back in 2006, “gee, i hope it does collapse, because then i can go in and buy some and make some money.” well, it did collapse. "
16,TRUMP,"that’s called business, by the way. "
17,HILLARY CLINTON,"nine million people—nine million people lost their jobs. five million people lost their homes. and $13 trillion in family wealth was wiped out. now, we have come back from that abyss. and it has not been easy. so we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. independent experts have looked at what i’ve proposed and looked at what donald’s proposed, and basically they’ve said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. they’ve looked at my plans and they’ve said, ok, if we can do this, and i intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. take clean energy. some country is going to be the clean- energy superpower of the 21st century. donald thinks that climate change is a hoax perpetrated by the chinese. i think it’s real. "
18,TRUMP,i did not. i did not. i do not say that. 
19,HILLARY CLINTON,i think science is real. 
20,TRUMP,i do not say that. 
21,HILLARY CLINTON,"and i think it’s important that we grip this and deal with it, both at home and abroad. and here’s what we can do. we can deploy a half a billion more solar panels. we can have enough clean energy to power every home. we can build a new modern electric grid. that’s a lot of jobs; that’s a lot of new economic activity. so i’ve tried to be very specific about what we can and should do, and i am determined that we’re going to get the economy really moving again, building on the progress we’ve made over the last eight years, but never going back to what got us in trouble in the first place. "
22,HOLT,mr. trump? 
23,TRUMP,"she talks about solar panels. we invested in a solar company, our country. that was a disaster. they lost plenty of money on that one. now, look, i’m a great believer in all forms of energy, but we’re putting a lot of people out of work. our energy policies are a disaster. our country is losing so much in terms of energy, in terms of paying off our debt. you can’t do what you’re looking to do with $20 trillion in debt. the obama administration, from the time they’ve come in, is over 230 years’ worth of debt, and he’s topped it. he’s doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact. so i will tell you this. we have to do a much better job at keeping our jobs. and we have to do a much better job at giving companies incentives to build new companies or to expand, because they’re not doing it. and all you have to do is look at michigan and look at ohio and look at all of these places where so many of their jobs and their companies are just leaving, they’re gone. and, hillary, i’d just ask you this. you’ve been doing this for 30 years. why are you just thinking about these solutions right now? for 30 years, you’ve been doing it, and now you’re just starting to think of solutions. "
24,HILLARY CLINTON,"well, actually… "
25,TRUMP,i will bring—excuse me. i will bring back jobs. you can’t bring back jobs. 
26,HILLARY CLINTON,"well, actually, i have thought about this quite a bit. "
27,TRUMP,"yeah, for 30 years. "
28,HILLARY CLINTON,"and i have—well, not quite that long. i think my husband did a pretty good job in the 1990s. i think a lot about what worked and how we can make it work again… "
29,TRUMP,"well, he approved nafta… [crosstalk] "
30,HILLARY CLINTON,"… million new jobs, a balanced budget… "
31,TRUMP,"he approved nafta, which is the single worst trade deal ever approved in this country. "
32,HILLARY CLINTON,"incomes went up for everybody. manufacturing jobs went up also in the 1990s, if we’re actually going to look at the facts. when i was in the senate, i had a number of trade deals that came before me, and i held them all to the same test. will they create jobs in america? will they raise incomes in america? and are they good for our national security? some of them i voted for. the biggest one, a multinational one known as cafta, i voted against. and because i hold the same standards as i look at all of these trade deals. but let’s not assume that trade is the only challenge we have in the economy. i think it is a part of it, and i’ve said what i’m going to do. i’m going to have a special prosecutor. we’re going to enforce the trade deals we have, and we’re going to hold people accountable. when i was secretary of state, we actually increased american exports globally 30 percent. we increased them to china 50 percent. so i know how to really work to get new jobs and to get exports that helped to create more new jobs. "
33,HOLT,very quickly… 
34,TRUMP,but you haven’t done it in 30 years or 26 years or any number you want to… 
35,HILLARY CLINTON,"well, i’ve been a senator, donald… "
36,TRUMP,you haven’t done it. you haven’t done it. 
37,HILLARY CLINTON,and i have been a secretary of state… 
38,TRUMP,excuse me. 
39,HILLARY CLINTON,and i have done a lot… 
40,TRUMP,"your husband signed nafta, which was one of the worst things that ever happened to the manufacturing industry. "
41,HILLARY CLINTON,"well, that’s your opinion. that is your opinion. "
42,TRUMP,"you go to new england, you go to ohio, pennsylvania, you go anywhere you want, secretary clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. nafta is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. and now you want to approve trans-pacific partnership. you were totally in favor of it. then you heard what i was saying, how bad it is, and you said, i can’t win that debate. but you know that if you did win, you would approve that, and that will be almost as bad as nafta. nothing will ever top nafta. "
43,HILLARY CLINTON,"well, that is just not accurate. i was against it once it was finally negotiated and the terms were laid out. i wrote about that in… "
44,TRUMP,you called it the gold standard. [crosstalk] 
45,TRUMP,you called it the gold standard of trade deals. you said it’s the finest deal you’ve ever seen. 
46,HILLARY CLINTON,no. 
47,TRUMP,"and then you heard what i said about it, and all of a sudden you were against it. "
48,HILLARY CLINTON,"well, donald, i know you live in your own reality, but that is not the facts. the facts are—i did say i hoped it would be a good deal, but when it was negotiated… "
49,TRUMP,not. 
50,HILLARY CLINTON,"… which i was not responsible for, i concluded it wasn’t. i wrote about that in my book… "
51,TRUMP,so is it president obama’s fault? 
52,HILLARY CLINTON,… before you even announced. 
53,TRUMP,is it president obama’s fault? 
54,HILLARY CLINTON,"look, there are differences… "
55,TRUMP,"secretary, is it president obama’s fault? "
56,HILLARY CLINTON,there are… 
57,TRUMP,because he’s pushing it. 
58,HILLARY CLINTON,"there are different views about what’s good for our country, our economy, and our leadership in the world. and i think it’s important to look at what we need to do to get the economy going again. that’s why i said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt. "
59,TRUMP,but you have no plan. 
60,HILLARY CLINTON,"but in—oh, but i do. "
61,TRUMP,"secretary, you have no plan. "
62,HILLARY CLINTON,"in fact, i have written a book about it. it’s called “stronger together.” you can pick it up tomorrow at a bookstore… "
63,TRUMP,that’s about all you’ve… [crosstalk] 
64,HOLT,"folks, we’re going to… "
65,HILLARY CLINTON,… or at an airport near you. 
66,HOLT,we’re going to move to… 
67,HILLARY CLINTON,"but it’s because i see this—we need to have strong growth, fair growth, sustained growth. we also have to look at how we help families balance the responsibilities at home and the responsibilities at business. so we have a very robust set of plans. and people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession. "
68,TRUMP,"you are going to approve one of the biggest tax cuts in history. you are going to approve one of the biggest tax increases in history. you are going to drive business out. your regulations are a disaster, and you’re going to increase regulations all over the place. and by the way, my tax cut is the biggest since ronald reagan. i’m very proud of it. it will create tremendous numbers of new jobs. but regulations, you are going to regulate these businesses out of existence. when i go around—lester, i tell you this, i’ve been all over. and when i go around, despite the tax cut, the thing—the things that business as in people like the most is the fact that i’m cutting regulation. you have regulations on top of regulations, and new companies cannot form and old companies are going out of business. and you want to increase the regulations and make them even worse. i’m going to cut regulations. i’m going to cut taxes big league, and you’re going to raise taxes big league, end of story. "
69,HOLT,"let me get you to pause right there, because we’re going to move into—we’re going to move into the next segment. we’re going to talk taxes… "
70,HILLARY CLINTON,that can’t—that can’t be left to stand. 
71,HOLT,please just take 30 seconds and then we’re going to go on. 
72,HILLARY CLINTON,"i kind of assumed that there would be a lot of these charges and claims, and so… "
73,TRUMP,facts. 
74,HILLARY CLINTON,"so we have taken the home page of my website, hillaryclinton.com, and we’ve turned it into a fact-checker. so if you want to see in real-time what the facts are, please go and take a look. because what i have proposed… "
75,TRUMP,"and take a look at mine, also, and you’ll see. "
76,HILLARY CLINTON,"… would not add a penny to the debt, and your plans would add $5 trillion to the debt. what i have proposed would cut regulations and streamline them for small businesses. what i have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. and i think it’s time that the wealthy and corporations paid their fair share to support this country. "
77,HOLT,"well, you just opened the next segment. "
78,TRUMP,"well, could i just finish—i think i… [crosstalk] "
79,HOLT,i’m going to give you a chance right here… 
80,TRUMP,"i think i should—you go to her website, and you take a look at her website. "
81,HOLT,… with a new 15-minute segment… 
82,TRUMP,she’s going to raise taxes $1.3 trillion. 
83,HOLT,"mr. trump, i’m going to… "
84,TRUMP,and look at her website. you know what? it’s no difference than this. she’s telling us how to fight isis. just go to her website. she tells you how to fight isis on her website. i don’t think general douglas macarthur would like that too much. 
85,HOLT,"the next segment, we’re continuing… "
86,HILLARY CLINTON,"well, at least i have a plan to fight isis. "
87,HOLT,… achieving prosperity… 
88,TRUMP,"no, no, you’re telling the enemy everything you want to do. "
89,HILLARY CLINTON,"no, we’re not. no, we’re not. "
90,TRUMP,"see, you’re telling the enemy everything you want to do. no wonder you’ve been fighting—no wonder you’ve been fighting isis your entire adult life. "
91,HILLARY CLINTON,"that’s a—that’s—go to the—please, fact checkers, get to work. "
92,HOLT,"ok, you are unpacking a lot here. and we’re still on the issue of achieving prosperity. and i want to talk about taxes. the fundamental difference between the two of you concerns the wealthy. secretary clinton, you’re calling for a tax increase on the wealthiest americans. i’d like you to further defend that. and, mr. trump, you’re calling for tax cuts for the wealthy. i’d like you to defend that. and this next two-minute answer goes to you, mr. trump. "
93,TRUMP,"well, i’m really calling for major jobs, because the wealthy are going to create tremendous jobs. they’re going to expand their companies. they’re going to do a tremendous job. i’m getting rid of the carried interest provision. and if you really look, it’s not a tax—it’s really not a great thing for the wealthy. it’s a great thing for the middle class. it’s a great thing for companies to expand. and when these people are going to put billions and billions of dollars into companies, and when they’re going to bring $2.5 trillion back from overseas, where they can’t bring the money back, because politicians like secretary clinton won’t allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what—is so bad. so what they’re doing is they’re leaving our country, and they’re, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. and instead of bringing it back and putting the money to work, because they can’t work out a deal to—and everybody agrees it should be brought back. instead of that, they’re leaving our country to get their money, because they can’t bring their money back into our country, because of bureaucratic red tape, because they can’t get together. because we have—we have a president that can’t sit them around a table and get them to approve something. and here’s the thing. republicans and democrats agree that this should be done, $2.5 trillion. i happen to think it’s double that. it’s probably $5 trillion that we can’t bring into our country, lester. and with a little leadership, you’d get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. but we have no leadership. and honestly, that starts with secretary clinton. "
94,HOLT,"all right. you have two minutes of the same question to defend tax increases on the wealthiest americans, secretary clinton. "
95,HILLARY CLINTON,"i have a feeling that by, the end of this evening, i’m going to be blamed for everything that’s ever happened. "
96,TRUMP,why not? 
