,Speaker,Response
0,MODERATOR,"good evening from the clark athletic center at the university of massachusetts in boston. i’m jim lehrer of the newshour on pbs, and i welcome you to the first of three 90-minute debates between the democratic candidate for president, vice president al gore and the republican candidate, governor george w. bush of texas. the debates are sponsored by the commission on presidential debates and they will be conducted within formats and rules agreed to between the commission and the two campaigns. we’ll have the candidates at podiums. no answer to a question can exceed two minutes. rebuttal is limited to one minute. but as moderator i have the option to follow up and to extend any particular give and take another three-and-a-half minutes. even then, no single answer can exceed two minutes. the candidates under their rules may not question each other directly. there will be no opening statements, but each candidate may have up to two minutes for a closing statement. the questions and the subjects were chosen by me alone. i have told no one from the two campaigns, or the commission, or anyone else involved what they are. there is a small audience in the hall tonight. they are not here to participate, only to listen. i have asked, and they have agreed, to remain silent for the next 90 minutes. except for right now, when they will applaud as we welcome the two candidates, governor bush and vice president gore. (applause) "
1,MODERATOR,"and now the first question as determined by a flip of a coin, it goes to vice president gore. vice president gore, you have questioned whether governor bush has the experience to be president of the united states. what exactly do you mean? "
2,GORE,"well, jim, first of all, i would like to thank the sponsors of this debate and the people of boston for hosting the debate. i would like to thank governor bush for participating, and i would like to say i’m happy to be here with tipper and our family. i have actually not questioned governor bush’s experience. i have questioned his proposals. and here is why. i think this is a very important moment for our country. we have achieved extraordinary prosperity. and in this election, america has to make an important choice. will we use our prosperity to enrich not just the few, but all of our families? i believe we have to make the right and responsible choices. if i’m entrusted with the presidency, here are the choices that i will make. i will balance the budget every year. i will pay down the national debt. i will put medicare and social security in a lockbox and protect them. and i will cut taxes for middle-class families. i believe it’s important to resist the temptation to squander our surplus. if we make the right choices, we can have a prosperity that endures and enriches all of our people. if i’m entrusted with the presidency, i will help parents and strengthen families because, you know, if we have prosperity that grows and grows, we still won’t be successful unless we strengthen families by, for example, ensuring that children can always go to schools that are safe. by giving parents the tools to protect their children against cultural pollution. i will make sure that we invest in our country and our families. and i mean investing in education, health care, the environment, and middle-class tax cuts and retirement security. that is my agenda and that is why i think that it’s not just a question of experience. "
3,MODERATOR,"governor bush, one minute rebuttal. "
4,GEORGE W. BUSH,"well, we do come from different places. i come from west texas. the governor is the chief executive officer. we know how to set agendas. i think you’ll find the difference reflected in our budgets. i want to take one-half of the surplus and dedicate it to social security. one-quarter of the surplus for important projects, and i want to send one-quarter of the surplus back to the people who pay the bills. i want everybody who pays taxes to have their tax rates cut. and that stands in contrast to my worthy opponent’s plan, which will increase the size of government dramatically. his plan is three times larger than president clinton’s proposed plan eight years ago. it is a plan that will have 200 new programs — expanded programs and creates 20,000 new bureaucrats. it it empowers washington. tonight youâ€™re going to hear that my passion and my vision is to empower americans to be able to make decisions for themselves in their own lives. "
5,MODERATOR,"so i take it by your answer, then, mr. vice president, that in an interview recently with the “new york times” when you said that you questioned whether or not governor bush has experience enough to be president, you were talking about strictly policy differences. "
6,GORE,"yes, jim. i said that his tax cut plan, for example, raises the question of whether it’s the right choice for the country. and let me give you an example of what i mean. under governor bush’s tax cut proposal, he would spend more money on tax cuts for the wealthiest 1% than all of the new spending that he proposes for education, health care, prescription drugs and national defense all combined. now, i think those are the wrong priorities. now, under my proposal, for every dollar that i propose in spending for things like education and health care, i will put another dollar into middle class tax cuts. and for every dollar that i spend in those two categories, i’ll put $2 toward paying down the national debt. i think it’s very important to keep the debt going down and completely eliminate it. and i also think it’s very important to go to the next stage of welfare reform. our country has cut the welfare rolls in half. i fought hard from my days in the senate and as vice president to cut the welfare rolls and we’ve moved millions of people in america into good jobs. but it’s now time for the next stage of welfare reform, and include fathers and not only mothers. "
7,MODERATOR,we’re going to get a lot of those. 
8,GEORGE W. BUSH,let me just say that obviously tonight we’re going to hear some phony numbers about what i think and what we ought to do. people need to know that over the next ten years it is going to be $25 trillion of revenue that comes into our treasurey and we anticipate spending $21 trillion. and my plan say why don’t we pass 1.3 trillion of that back to the people who pay the bills? surely we can afford 5% of the $25 trillion that are coming into the treasury to the hard working people that pay the bills. there is a difference of opinion. my opponent thinks the government — the surplus is the government’s money. that’s not what i think. i think it’s the hard-working people of america’s money and i want to share some of that money with you so you have more money to build and save and dream for your families. it’s a difference of opinion. it’s a difference between government making decisions for you and you getting more of your money to make decisions for yourself. 
9,MODERATOR,"let me just follow up one quick question. when you hear vice president gore question your experience, do you read it the same way, that he’s talking about policy differences only? "
