,Speaker,Response
0,MR. KENNEDY,"mr. smith, mr. nixon. in the election of 1860, abraham lincoln said the question was whether this nation could exist half-slave or half-free. in the election of 1960, and with the world around us, the question is whether the world will exist half-slave or half-free, whether it will move in the direction of freedom, in the direction of the road that we are taking, or whether it will move in the direction of slavery. i think it will depend in great measure upon what we do here in the united states, on the kind of society that we build, on the kind of strength that we maintain. we discuss tonight domestic issues, but i would not want that to be any implication to be given that this does not involve directly our struggle with mr. khrushchev for survival. mr. khrushchev is in new york, and he maintains the communist offensive throughout the world because of the productive power of the soviet union itself. the chinese communists have always had a large population. but they are important and dangerous now because they are mounting a major effort within their own country. the kind of country we have here, the kind of society we have, the kind of strength we build in the united states will be the defense of freedom. if we do well here, if we meet our obligations, if we’re moving ahead, then i think freedom will be secure around the world. if we fail, then freedom fails. therefore, i think the question before the american people is: are we doing as much as we can do? are we as strong as we should be? are we as strong as we must be if we’re going to maintain our independence, and if we’re going to maintain and hold out the hand of friendship to those who look to us for assistance, to those who look to us for survival? i should make it very clear that i do not think we’re doing enough, that i am not satisfied as an american with the progress that we’re making. this is a great country, but i think it could be a greater country; and this is a powerful country, but i think it could be a more powerful country. i’m not satisfied to have fifty percent of our steel-mill capacity unused. i’m not satisfied when the united states had last year the lowest rate of economic growth of any major industrialized society in the world. because economic growth means strength and vitality; it means we’re able to sustain our defenses; it means we’re able to meet our commitments abroad. i’m not satisfied when we have over nine billion dollars worth of food – some of it rotting – even though there is a hungry world, and even though four million americans wait every month for a food package from the government, which averages five cents a day per individual. i saw cases in west virginia, here in the united states, where children took home part of their school lunch in order to feed their families because i don’t think we’re meeting our obligations toward these americans. i’m not satisfied when the soviet union is turning out twice as many scientists and engineers as we are. i’m not satisfied when many of our teachers are inadequately paid, or when our children go to school part-time shifts. i think we should have an educational system second to none. i’m not satisfied when i see men like jimmy hoffa – in charge of the largest union in the united states – still free. i’m not satisfied when we are failing to develop the natural resources of the united states to the fullest. here in the united states, which developed the tennessee valley and which built the grand coulee and the other dams in the northwest united states at the present rate of hydropower production – and that is the hallmark of an industrialized society – the soviet union by 1975 will be producing more power than we are. these are all the things, i think, in this country that can make our society strong, or can mean that it stands still. i’m not satisfied until every american enjoys his full constitutional rights. if a negro baby is born – and this is true also of puerto ricans and mexicans in some of our cities – he has about one-half as much chance to get through high school as a white baby. he has one-third as much chance to get through college as a white student. he has about a third as much chance to be a professional man, about half as much chance to own a house. he has about uh – four times as much chance that he’ll be out of work in his life as the white baby. i think we can do better. i don’t want the talents of any american to go to waste. i know that there are those who want to turn everything over to the government. i don’t at all. i want the individuals to meet their responsibilities. and i want the states to meet their responsibilities. but i think there is also a national responsibility. the argument has been used against every piece of social legislation in the last twenty-five years. the people of the united states individually could not have developed the tennessee valley; collectively they could have. a cotton farmer in georgia or a peanut farmer or a dairy farmer in wisconsin and minnesota, he cannot protect himself against the forces of supply and demand in the market place; but working together in effective governmental programs he can do so. seventeen million americans, who live over sixty-five on an average social security check of about seventy-eight dollars a month, they’re not able to sustain themselves individually, but they can sustain themselves through the social security system. i don’t believe in big government, but i believe in effective governmental action. and i think that’s the only way that the united states is going to maintain its freedom. it’s the only way that we’re going to move ahead. i think we can do a better job. i think we’re going to have to do a better job if we are going to meet the responsibilities which time and events have placed upon us. we cannot turn the job over to anyone else. if the united states fails, then the whole cause of freedom fails. and i think it depends in great measure on what we do here in this country. the reason franklin roosevelt was a good neighbor in latin america was because he was a good neighbor in the united states. because they felt that the american society was moving again. i want us to recapture that image. i want people in latin america and africa and asia to start to look to america; to see how we’re doing things; to wonder what the resident of the united states is doing; and not to look at khrushchev, or look at the chinese communists. that is the obligation upon our generation. in 1933, franklin roosevelt said in his inaugural that this generation of americans has a rendezvous with destiny. i think our generation of americans has the same rendezvous. the question now is: can freedom be maintained under the most severe tack – attack it has ever known? i think it can be. and i think in the final analysis it depends upon what we do here. i think it’s time america started moving again. "
1,MR. SMITH,and now the opening statement by vice president richard m. nixon. 
2,MR. NIXON,"mr. smith, senator kennedy. the things that senator kennedy has said many of us can agree with. there is no question but that we cannot discuss our internal affairs in the united states without recognizing that they have a tremendous bearing on our international position. there is no question but that this nation cannot stand still; because we are in a deadly competition, a competition not only with the men in the kremlin, but the men in peking. we’re ahead in this competition, as senator kennedy, i think, has implied. but when you’re in a race, the only way to stay ahead is to move ahead. and i subscribe completely to the spirit that senator kennedy has expressed tonight, the spirit that the united states should move ahead. where, then, do we disagree? i think we disagree on the implication of his remarks tonight and on the statements that he has made on many occasions during his campaign to the effect that the united states has been standing still. we heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. now last year, of course, was 1958. that happened to be a recession year. but when we look at the growth of g.n.p. this year, a year of recovery, we find that it’s six and nine-tenths per cent and one of the highest in the world today. more about that later. looking then to this problem of how the united states should move ahead and where the united states is moving, i think it is well that we take the advice of a very famous campaigner: let’s look at the record. is the united states standing still? is it true that this administration, as senator kennedy has charged, has been an administration of retreat, of defeat, of stagnation? is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead. well, we have a comparison that we can make. we have the record of the truman administration of seven and a half years and the seven and a half years of the eisenhower administration. when we compare these two records in the areas that senator kennedy has – has discussed tonight, i think we find that america has been moving ahead. let’s take schools. we have built more schools in these last seven and a half years than we built in the previous seven and a half, for that matter in the previous twenty years. let’s take hydroelectric power. we have developed more hydroelectric power in these seven and a half years than was developed in any previous administration in history. let us take hospitals. we find that more have been built in this administration than in the previous administration. the same is true of highways. let’s put it in terms that all of us can understand. we often hear gross national product discussed and in that respect may i say that when we compare the growth in this administration with that of the previous administration that then there was a total growth of eleven percent over seven years; in this administration there has been a total growth of nineteen per cent over seven years. that shows that there’s been more growth in this administration than in its predecessor. but let’s not put it there; let’s put it in terms of the average family. what has happened to you? we find that your wages have gone up five times as much in the eisenhower administration as they did in the truman administration. what about the prices you pay? we find that the prices you pay went up five times as much in the truman administration as they did in the eisenhower administration. what’s the net result of this? this means that the average family income went up fifteen per cent in the eisenhower years as against two per cent in the truman years. now, this is not standing still. but, good as this record is, may i emphasize it isn’t enough. a record is never something to stand on. it’s something to build on. and in building on this record, i believe that we have the secret for progress, we know the way to progress. and i think, first of all, our own record proves that we know the way. senator kennedy has suggested that he believes he knows the way. i respect the sincerity which he m- which he makes that suggestion. but on the other hand, when we look at the various programs that he offers, they do not seem to be new. they seem to be simply retreads of the programs of the truman administration which preceded it. and i would suggest that during the course of the evening he might indicate those areas in which his programs are new, where they will mean more progress than we had then. what kind of programs are we for? we are for programs that will expand educational opportunities, that will give to all americans their equal chance for education, for all of the things which are necessary and dear to the hearts of our people. we are for programs, in addition, which will see that our medical care for the aged are – is – are much – is much better handled than it is at the present time. here again, may i indicate that senator kennedy and i are not in disagreement as to the aims. we both want to help the old people. we want to see that they do have adequate medical care. the question is the means. i think that the means that i advocate will reach that goal better than the means that he advocates. i could give better examples, but for – for whatever it is, whether it’s in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move america, move her forward and build on the wonderful record that we have made over these past seven and a half years. now, when we look at these programs, might i suggest that in evaluating them we often have a tendency to say that the test of a program is how much you’re spending. i will concede that in all the areas to which i have referred senator kennedy would have the spe- federal government spend more than i would have it spend. i costed out the cost of the democratic platform. it runs a minimum of thirteen and two-tenths billions dollars a year more than we are presently spending to a maximum of eighteen billion dollars a year more than we’re presently spending. now the republican platform will cost more too. it will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we’re presently spending. now, does this mean that his program is better than ours? not at all. because it isn’t a question of how much the federal government spends; it isn’t a question of which government does the most. it is a question of which administration does the right thing. and in our case, i do believe that our programs will stimulate the creative energies of a hundred and eighty million free americans. i believe the programs that senator kennedy advocates will have a tendency to stifle those creative energies, i believe in other words, that his program would lead to the stagnation of the motive power that we need in this country to get progress. the final point that i would like to make is this: senator kennedy has suggested in his speeches that we lack compassion for the poor, for the old, and for others that are unfortunate. let us understand throughout this campaign that his motives and mine are sincere. i know what it means to be poor. i know what it means to see people who are unemployed. i know senator kennedy feels as deeply about these problems as i do, but our disagreement is not about the goals for america but only about the means to reach those goals. "
3,MR. SMITH,"thank you, mr. nixon. that completes the opening statements, and now the candidates will answer questions or comment upon one another’s answers to questions, put by correspondents of the networks. the correspondents: [introducing themselves: “i’m sander vanocur, nbc news;” “i’m charles warren, mutual news;” “i’m stuart novins, cbs news;” “bob fleming, abc news.”] the first question to senator kennedy from mr. fleming. mr. fleming: senator, the vice president in his campaign has said that you were naive and at times immature. he has raised the question of leadership. on this issue, why do you think people should vote for you rather than the vice president? "
4,MR. KENNEDY,"well, the vice president and i came to the congress together 1946; we both served in the labor committee. i’ve been there now for fourteen years, the same period of time that he has, so that our experience in uh – government is comparable. secondly, i think the question is uh – what are the programs that we advocate, what is the party record that we lead? i come out of the democratic party, which in this century has produced woodrow wilson and franklin roosevelt and harry truman, and which supported and sustained these programs which i’ve discussed tonight. mr. nixon comes out of the republican party. he was nominated by it. and it is a fact that through most of these last twenty-five years the republican leadership has opposed federal aid for education, medical care for the aged, development of the tennessee valley, development of our natural resources. i think mr. nixon is an effective leader of his party. i hope he would grant me the same. the question before us is: which point of view and which party do we want to lead the united states? "
5,MR. SMITH,"mr. nixon, would you like to comment on that statement? mr. nixon: i have no comment. mr. smith: the next question: mr. novins. mr. novins: mr. vice president, your campaign stresses the value of your eight year experience, and the question arises as to whether that experience was as an observer or as a participant or as an initiator of policy-making. would you tell us please specifically what major proposals you have made in the last eight years that have been adopted by the administration? "
6,MR. NIXON,"it would be rather difficult to cover them in eight and- in two and a half minutes. i would suggest that these proposals could be mentioned. first, after each of my foreign trips i have made recommendations that have been adopted. for example, after my first trip abroad – abroad, i strongly recommended that we increase our exchange programs particularly as they related to exchange of persons of leaders in the labor field and in the information field. after my trip to south america, i made recommendations that a separate inter-american lending agency be set up which the south american nations would like much better than a lend- than to participate in the lending agencies which treated all the countries of the world the same. uh – i have made other recommendations after each of the other trips; for example, after my trip abroad to hungary i made some recommendations with regard to the hungarian refugee situation which were adopted, not only by the president but some of them were enacted into law by the congress. within the administration, as a chairman of the president’s committee on price stability and economic growth, i have had the opportunity to make recommendations which have been adopted within the administration and which i think have been reasonably effective. i know senator kennedy suggested in his speech at cleveland yesterday that that committee had not been particularly effective. i would only suggest that while we do not take the credit for it – i would not presume to – that since that committee has been formed the price line has been held very well within the united states. "
7,MR. KENNEDY,"well, i would say in the latter that the – and that’s what i found uh – somewhat unsatisfactory about the figures uh – mr. nixon, that you used in your previous speech, when you talked about the truman administration. you – mr. truman came to office in nineteen uh – forty-four and at the end of the war, and uh – difficulties that were facing the united states during that period of transition – 1946 when price controls were lifted – so it’s rather difficult to use an overall figure taking those seven and a half years and comparing them to the last eight years. i prefer to take the overall percentage record of the last twenty years of the democrats and the eight years of the republicans to show an overall period of growth. in regard to uh – price stability uh – i’m not aware that that committee did produce recommendations that ever were certainly before the congress from the point of view of legislation in regard to controlling prices. in regard to the exchange of students and labor unions, i am chairman of the subcommittee on africa and i think that one of the most unfortunate phases of our policy towards that country was the very minute number of exchanges that we had. i think it’s true of latin america also. we did come forward with a program of students for the congo of over three hundred which was more than the federal government had for all of africa the previous year, so that i don’t think that uh – we have moved at least in those two areas with sufficient vigor. "
8,MR. SMITH,"the next question to senator kennedy from mr. warren. mr. warren: uh – senator kennedy, during your brief speech a few minutes ago you mentioned farm surpluses. "
9,MR. KENNEDY,"that’s correct. mr. warren: i’d like to ask this: it’s a fact, i think, that presidential candidates traditionally make promises to farmers. lots of people, i think, don’t understand why the government pays farmers for not producing certain crops or paying farmers if they overproduce for that matter. now, let me ask, sir, why can’t the farmer operate like the business man who operates a factory? if an auto company overproduces a certain model car uncle sam doesn’t step in and buy up the surplus. why this constant courting of the farmer? "
