,Speaker,Response
0,LEHRER,"good evening from the ford center for the performing arts at the university of mississippi in oxford. i’m jim lehrer of the newshour on pbs, and i welcome you to the first of the 2008 presidential debates between the republican nominee, senator john mccain of arizona, and the democratic nominee, senator barack obama of illinois. the commission on presidential debates is the sponsor of this event and the three other presidential and vice presidential debates coming in october. tonight’s will primarily be about foreign policy and national security, which, by definition, includes the global financial crisis. it will be divided roughly into nine-minute segments. direct exchanges between the candidates and moderator follow-ups are permitted after each candidate has two minutes to answer the lead question in an order determined by a coin toss. the specific subjects and questions were chosen by me. they have not been shared or cleared with anyone. the audience here in the hall has promised to remain silent, no cheers, no applause, no noise of any kind, except right now, as we welcome senators obama and mccain. (applause) let me begin with something general eisenhower said in his 1952 presidential campaign. quote, “we must achieve both security and solvency. in fact, the foundation of military strength is economic strength,” end quote. with that in mind, the first lead question. gentlemen, at this very moment tonight, where do you stand on the financial recovery plan? first response to you, senator obama. you have two minutes. "
1,OBAMA,"well, thank you very much, jim, and thanks to the commission and the university of mississippi, ole miss, for hosting us tonight. i can’t think of a more important time for us to talk about the future of the country. you know, we are at a defining moment in our history. our nation is involved in two wars, and we are going through the worst financial crisis since the great depression. and although we’ve heard a lot about wall street, those of you on main street i think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy. and you’re wondering, how’s it going to affect me? how’s it going to affect my job? how’s it going to affect my house? how’s it going to affect my retirement savings or my ability to send my children to college? so we have to move swiftly, and we have to move wisely. and i’ve put forward a series of proposals that make sure that we protect taxpayers as we engage in this important rescue effort. number one, we’ve got to make sure that we’ve got oversight over this whole process; $700 billion, potentially, is a lot of money. number two, we’ve got to make sure that taxpayers, when they are putting their money at risk, have the possibility of getting that money back and gains, if the market — and when the market returns. number three, we’ve got to make sure that none of that money is going to pad ceo bank accounts or to promote golden parachutes. and, number four, we’ve got to make sure that we’re helping homeowners, because the root problem here has to do with the foreclosures that are taking place all across the country. now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by george bush, supported by senator mccain, a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down. it hasn’t worked. and i think that the fundamentals of the economy have to be measured by whether or not the middle class is getting a fair shake. that’s why i’m running for president, and that’s what i hope we’re going to be talking about tonight. "
2,LEHRER,"senator mccain, two minutes. "
3,MCCAIN,"well, thank you, jim. and thanks to everybody. and i do have a sad note tonight. senator kennedy is in the hospital. he’s a dear and beloved friend to all of us. our thoughts and prayers go out to the lion of the senate. i also want to thank the university of mississippi for hosting us tonight. and, jim, i — i’ve been not feeling too great about a lot of things lately. so have a lot of americans who are facing challenges. but i’m feeling a little better tonight, and i’ll tell you why. because as we’re here tonight in this debate, we are seeing, for the first time in a long time, republicans and democrats together, sitting down, trying to work out a solution to this fiscal crisis that we’re in. and have no doubt about the magnitude of this crisis. and we’re not talking about failure of institutions on wall street. we’re talking about failures on main street, and people who will lose their jobs, and their credits, and their homes, if we don’t fix the greatest fiscal crisis, probably in — certainly in our time, and i’ve been around a little while. but the point is — the point is, we have finally seen republicans and democrats sitting down and negotiating together and coming up with a package. this package has transparency in it. it has to have accountability and oversight. it has to have options for loans to failing businesses, rather than the government taking over those loans. we have to — it has to have a package with a number of other essential elements to it. and, yes, i went back to washington, and i met with my republicans in the house of representatives. and they weren’t part of the negotiations, and i understand that. and it was the house republicans that decided that they would be part of the solution to this problem. but i want to emphasize one point to all americans tonight. this isn’t the beginning of the end of this crisis. this is the end of the beginning, if we come out with a package that will keep these institutions stable. and we’ve got a lot of work to do. and we’ve got to create jobs. and one of the areas, of course, is to eliminate our dependence on foreign oil. "
4,LEHRER,"all right, let’s go back to my question. how do you all stand on the recovery plan? and talk to each other about it. we’ve got five minutes. we can negotiate a deal right here. but, i mean, are you — do you favor this plan, senator obama, and you, senator mccain? do you — are you in favor of this plan? "
5,OBAMA,"we haven’t seen the language yet. and i do think that there’s constructive work being done out there. so, for the viewers who are watching, i am optimistic about the capacity of us to come together with a plan. the question, i think, that we have to ask ourselves is, how did we get into this situation in the first place? two years ago, i warned that, because of the subprime lending mess, because of the lax regulation, that we were potentially going to have a problem and tried to stop some of the abuses in mortgages that were taking place at the time. last year, i wrote to the secretary of the treasury to make sure that he understood the magnitude of this problem and to call on him to bring all the stakeholders together to try to deal with it. so — so the question, i think, that we’ve got to ask ourselves is, yes, we’ve got to solve this problem short term. and we are going to have to intervene; there’s no doubt about that. but we’re also going to have to look at, how is it that we shredded so many regulations? we did not set up a 21st-century regulatory framework to deal with these problems. and that in part has to do with an economic philosophy that says that regulation is always bad. "
6,LEHRER,"are you going to vote for the plan, senator mccain? "
7,MCCAIN,i — i hope so. and i… 
8,LEHRER,as a united states senator… 
9,MCCAIN,sure. 
10,LEHRER,… you’re going to vote for the plan? 
11,MCCAIN,"sure. but — but let me — let me point out, i also warned about fannie mae and freddie mac and warned about corporate greed and excess, and ceo pay, and all that. a lot of us saw this train wreck coming. but there’s also the issue of responsibility. you’ve mentioned president dwight david eisenhower. president eisenhower, on the night before the normandy invasion, went into his room, and he wrote out two letters. one of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever. and he wrote out another letter, and that was a letter of resignation from the united states army for the failure of the landings at normandy. somehow we’ve lost that accountability. i’ve been heavily criticized because i called for the resignation of the chairman of the securities and exchange commission. we’ve got to start also holding people accountable, and we’ve got to reward people who succeed. but somehow in washington today — and i’m afraid on wall street — greed is rewarded, excess is rewarded, and corruption — or certainly failure to carry out our responsibility is rewarded. as president of the united states, people are going to be held accountable in my administration. and i promise you that that will happen. "
12,LEHRER,"do you have something directly to say, senator obama, to senator mccain about what he just said? "
