,Speaker,Response
0,LEHRER,"good evening from the magness arena at the university of denver in denver, colorado. i’m jim lehrer of the “pbs newshour,” and i welcome you to the first of the 2012 presidential debates between president barack obama, the democratic nominee, and former massachusetts governor mitt romney, the republican nominee. "
1,LEHRER,"this debate and the next three — two presidential, one vice presidential — are sponsored by the commission on presidential debates. tonight’s 90 minutes will be about domestic issues and will follow a format designed by the commission. there will be six roughly 15-minute segments with two-minute answers for the first question, then open discussion for the remainder of each segment. thousands of people offered suggestions on segment subjects or questions via the internet and other means, but i made the final selections. and for the record, they were not submitted for approval to the commission or the candidates. the segments as i announced in advance will be three on the economy and one each on health care, the role of government and governing, with an emphasis throughout on differences, specifics and choices. both candidates will also have two-minute closing statements. the audience here in the hall has promised to remain silent — no cheers, applause, boos, hisses, among other noisy distracting things, so we may all concentrate on what the candidates have to say. there is a noise exception right now, though, as we welcome president obama and governor romney. (applause) gentlemen, welcome to you both. let’s start the economy, segment one, and let’s begin with jobs. what are the major differences between the two of you about how you would go about creating new jobs? "
2,LEHRER,"you have two minutes. each of you have two minutes to start. a coin toss has determined, mr. president, you go first. "
3,OBAMA,"well, thank you very much, jim, for this opportunity. i want to thank governor romney and the university of denver for your hospitality. there are a lot of points i want to make tonight, but the most important one is that 20 years ago i became the luckiest man on earth because michelle obama agreed to marry me. and so i just want to wish, sweetie, you happy anniversary and let you know that a year from now we will not be celebrating it in front of 40 million people. (laughter) you know, four years ago we went through the worst financial crisis since the great depression. millions of jobs were lost, the auto industry was on the brink of collapse. the financial system had frozen up. and because of the resilience and the determination of the american people, we’ve begun to fight our way back. over the last 30 months, we’ve seen 5 million jobs in the private sector created. the auto industry has come roaring back. and housing has begun to rise. but we all know that we’ve still got a lot of work to do. and so the question here tonight is not where we’ve been, but where we’re going. governor romney has a perspective that says if we cut taxes, skewed towards the wealthy, and roll back regulations, that we’ll be better off. i’ve got a different view. i think we’ve got to invest in education and training. i think it’s important for us to develop new sources of energy here in america, that we change our tax code to make sure that we’re helping small businesses and companies that are investing here in the united states, that we take some of the money that we’re saving as we wind down two wars to rebuild america and that we reduce our deficit in a balanced way that allows us to make these critical investments. now, it ultimately is going to be up to the voters — to you — which path we should take. are we going to double on top-down economic policies that helped to get us into this mess or do we embrace a new economic patriotism that says america does best when the middle class does best? and i’m looking forward to having that debate. "
4,LEHRER,"governor romney, two minutes. "
5,ROMNEY,"thank you, jim. it’s an honor to be here with you, and i appreciate the chance to be with the president. i’m pleased to be at the university of denver, appreciate their welcome, and also the presidential commission on these debates. and congratulations to you, mr. president, on your anniversary. i’m sure this was the most romantic place you could imagine, here — here with me. so i… (laughter) congratulations. this is obviously a very tender topic. i’ve had the occasion over the last couple of years of meeting people across the country. i was in dayton, ohio, and a woman grabbed my arm and she said, “i’ve been out of work since may. can you help me?” ann yesterday was at a rally in denver and a woman came up to her with a baby in her arms and said, “ann, my husband has had four jobs in three years, part-time jobs. he’s lost his most recent job and we’ve now just lost our home. can you help us?” and the answer is, yes, we can help, but it’s going to take a different path. not the one we’ve been on, not the one the president describes as a top-down, cut taxes for the rich. that’s not what i’m going to do. my plan has five basic parts. one, get us energy independent, north american energy independent. that creates about 4 million jobs. number two, open up more trade, particularly in latin america. crack down on china, if and when they cheat. number three, make sure our people have the skills they need to succeed and the best schools in the world. we’re far away from that now. number four, get to us a balanced budget. number five, champion small business. it’s small business that creates the jobs in america, and over the last four years, small business people have decided that america may not be the place to open a new business because new business startups are down to a 30-year low. "
6,ROMNEY,"now, i’m concerned that the path that we’re on has just been unsuccessful. the president has a view very similar to the view he had when he ran four years, that a bigger government, spending more, taxing more, regulating more — if you will, trickle-down government — would work. that’s not the right answer for america. i’ll restore the vitality that gets america working again. thank you. "
7,LEHRER,"mr. president, please respond directly to what the governor just said about trickle-down — his trick-down approach, as he said yours is. "
8,OBAMA,"well, let me talk specifically about what i think we need to do. first, we’ve got to improve our education system and we’ve made enormous progress drawing on ideas both from democrats and republicans that are already starting to show gains in some of the toughest to deal with schools. we’ve got a program called race to the top that has prompted reforms in 46 states around the country, raising standards, improving how we train teachers. so now i want to hire another 100,000 new math and science teachers, and create 2 million more slots in our community colleges so that people can get trained for the jobs that are out there right now. and i want to make sure that we keep tuition low for our young people. when it comes to our tax code, governor romney and i both agree that our corporate tax rate is too high, so i want to lower it, particularly for manufacturing, taking it down to 25 percent. but i also want to close those loopholes that are giving incentives for companies that are shipping jobs overseas. i want to provide tax breaks for companies that are investing here in the united states. on energy, governor romney and i, we both agree that we’ve got to boost american energy production, and oil and natural gas production are higher than they’ve been in years. but i also believe that we’ve got to look at the energy sources of the future, like wind and solar and biofuels, and make those investments. "
9,OBAMA,"so all of this is possible. now, in order for us to do it, we do have to close our deficit, and one of the things i’m sure we’ll be discussing tonight is, how do we deal with our tax code? and how do we make sure that we are reducing spending in a responsible way, but also, how do we have enough revenue to make those investments? and this is where there’s a difference, because governor romney’s central economic plan calls for a $5 trillion tax cut — on top of the extension of the bush tax cuts — that’s another trillion dollars — and $2 trillion in additional military spending that the military hasn’t asked for. that’s $8 trillion. how we pay for that, reduce the deficit, and make the investments that we need to make, without dumping those costs onto middle-class americans, i think is one of the central questions of this campaign. "
