,Speaker,Response
0,MS. WALTERS,"thank you, dorothy. a few words as we begin tonight’s debate about the format. the position of the candidates — that is, who answers questions first and who gives the last statement — was determined by a toss of a coin between the two candidates. mr. mondale won, and that means that he chose to give the final closing statement. it means, too, that the president will answer the first question first. i hope that’s clear. if it isn’t, it will become clear as the debate goes on. further, the candidates will be addressed as they each wanted and will, therefore, be called “mr. president” and “mr. mondale.” since there will also be a second debate between the two presidential candidates, tonight will focus primarily on the economy and other domestic issues. the debate, itself, is built around questions from the panel. in each of its segments, a reporter will ask the candidates the same general question. then — and this is important — each candidate will have the chance to rebut what the other has said. and the final segment of the debate will be the closing segment, and the candidates will each have 4 minutes for their closing statements. and as i have said, mr. mondale will be the last person on the program to speak. and now i would like to add a personal note if i may. as dorothy ridings pointed out, i have been involved now in four presidential debates, either as a moderator or as a panelist. in the past, there was no problem in selecting panelists. tonight, however, there were to have been four panelists participating in this debate. the candidates were given a list of almost 100 qualified journalists from all the media and could agree on only these three fine journalists. as moderator, and on behalf of my fellow journalists, i very much regret, as does the league of women voters, that this situation has occurred. and now let us begin the debate with the first question from james wieghart. mr. wieghart. the nation’s economy "
1,MR. WIEGHART,"mr. president, in 1980 you promised the american people — in your campaign — a balanced budget by 1983. we’ve now had more and bigger deficits in the 4 years you’ve been in office. mr. president, do you have a secret plan to balance the budget sometime in a second term, and if so, would you lay out that plan for us tonight? the president. i have a plan — not a secret plan. as a matter of fact, it is the economic recovery program that we presented when i took office in 1981. it is true that earlier, working with some very prominent economists, i had come up, during the campaign, with an economic program that i thought could rectify the great problems confronting us — the double-digit inflation, the high tax rates that i think were hurting the economy, the stagflation that we were undergoing. before even the election day, something that none of those economists had even predicted had happened, that the economy was so worsened that i was openly saying that what we had thought on the basis of our plan could have brought a balanced budget — no, that was no longer possible. so, the plan that we have had and that we are following is a plan that is based on growth in the economy, recovery without inflation, and reducing the share that the government is taking from the gross national product, which has become a drag on the economy. already, we have a recovery that has been going on for about 21 months to the point that we can now call it an expansion. under that, this year, we have seen a $21 billion reduction in the deficit from last year, based mainly on the increased revenues the government is getting without raising tax rates. our tax cut, we think, was very instrumental in bringing about this economic recovery. we have reduced inflation to about a third of what it was. the interest rates have come down about 9 or 10 points and, we think, must come down further. in the last 21 months, more than 6 million people have gotten jobs — there have been created new jobs for those people to where there are now 105 million civilians working, where there were only 99 million before; 107, if you count the military. so, we believe that as we continue to reduce the level of government spending — the increase, rate of increase in government spending, which has come down from 17 to 6 percent, and, at the same time, as the growth in the economy increases the revenues the government gets, without raising taxes, those two lines will meet. and when they meet, that is a balanced budget. "
2,MR. WIEGHART,"mr. president, the congressional budget office has some bad news. the lines aren’t about to meet, according to their projections. they project that the budget deficit will continue to climb. in the year 1989 they project a budget deficit of $273 billion. in view of that, and in view of the economic recovery we are now enjoying, would it make sense to propose a tax increase or take some other fiscal measures to reduce that deficit now, when times are relatively good? the president. the deficit is the result of excessive government spending. i do not, very frankly, take seriously the congressional budget office projections, because they have been wrong on virtually all of them, including the fact that our recovery wasn’t going to take place to begin with. but it has taken place. but, as i said, we have the rate of increase in government spending down to 6 percent. if the rate of increase in government spending can be held at 5 percent — we’re not far from there — by 1989 that would have reduced the budget deficits down to a $30 or $40 billion level. at the same time, if we can have a 4-percent recovery continue through that same period of time, that will mean — without an increase in tax rates — that will mean $400 billion more in government revenues. and so, i think that the lines can meet. actually, in constant dollars, in the domestic side of the budget, there has been no spending increase in the 4 years that we have been here. "
3,MR. WIEGHART,"mr. mondale, the carter-mondale administration didn’t come close to balancing the budget in its 4 years in office either, despite the fact that president carter did promise a balanced budget during his term. you have proposed a plan combining tax increases and budgetary cuts and other changes in the administration of the government that would reduce the projected budget deficit by two-thirds, to approximately $87 billion in 1989. that still is an enormous deficit that will be running for these 4 years. what other steps do you think should be taken to reduce this deficit and position the country for economic growth? "
4,MR. MONDALE,"one of the key tests of leadership is whether one sees clearly the nature of the problems confronted by our nation. and perhaps the dominant domestic issue of our times is what do we do about these enormous deficits. i respect the president; i respect the presidency, and i think he knows that. but the fact of it is, every estimate by this administration about the size of the deficit has been off by billions and billions of dollars. as a matter of fact, over 4 years, they’ve missed the mark by nearly $600 billion. we were told we would have a balanced budget in 1983. it was $200 billion deficit instead. and now we have a major question facing the american people as to whether we’ll deal with this deficit and get it down for the sake of a healthy recovery. virtually every economic analysis that i’ve heard of, including the distinguished congressional budget office, which is respected by, i think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit. in other words, it doesn’t converge as the president suggests. it gets larger even with growth. what that means is that we will continue to have devastating problems with foreign trade. this is the worst trade year in american history by far. our rural and farm friends will have continued devastation. real interest rates — the real cost of interest — will remain very, very high, and many economists are predicting that we’re moving into a period of very slow growth because the economy is tapering off and may be a recession. i get it down to a level below 2 percent of gross national product with a policy that’s fair. i’ve stood up and told the american people that i think it’s a real problem, that it can destroy long-term economic growth, and i’ve told you what i think should be done. i think this is a test of leadership, and i think the american people know the difference. "
5,MR. WIEGHART,"mr. mondale, one other way to attack the deficit is further reductions in spending. the president has submitted a number of proposals to congress to do just that, and in many instances the house, controlled by the democrats, has opposed them. isn’t it one aspect of leadership for prominent democrats such as yourself to encourage responsible reductions in spending, and thereby reduce the deficit? "
6,MR. MONDALE,"absolutely, and i proposed over a hundred billion dollars in cuts in federal spending over 4 years, but i am not going to cut it out of social security and medicare and student assistance and things — [applause] — that people need. these people depend upon all of us for the little security that they have, and i’m not going to do it that way. the rate of defense spending increase can be slowed. certainly we can find a coffeepot that costs something less than $7,000. and there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in american life. and that’s why the congress, including the republicans, have not gone along with the president’s recommendations. "
7,MS. WALTERS,"i would like to ask the audience please to refrain from applauding either side; it just takes away from the time for your candidates. and now it is time for the rebuttal. mr. president, 1 minute for rebuttal. "
8,MR. REAGAN,"yes. i don’t believe that mr. mondale has a plan for balancing the budget; he has a plan for raising taxes. and, as a matter of fact, the biggest single tax increase in our nation’s history took place 1977. and for the 5 years previous to our taking office, taxes doubled in the united states, and the budgets increased $318 billion. so, there is no ratio between taxing and balancing a budget. whether you borrow the money or whether you simply tax it away from the people, you’re taking the same amount of money out of the private sector, unless and until you bring down government’s share of what it is taking. with regard to social security, i hope there’ll be more time than just this minute to mention that, but i will say this: a president should never say “never.” but i’m going to violate that rule and say “never.” i will never stand for a reduction of the social security benefits to the people that are now getting them. "
9,MS. WALTERS,mr. mondale? 
