,Speaker,Response
0,MR. NIXON,"good evening, mr. howe. "
1,MR. HOWE,"and good evening, senator kennedy. "
2,MR. KENNEDY,"good evening, mr. howe. "
3,MR. HOWE,"now let me read the rules and conditions under which the candidates themselves have agreed to proceed. as they did in their first meeting, both men will make opening statements of about eight minutes each and closing statements of equal time running three to five minutes each. during the half hour between the opening and closing statements, the candidates will answer and comment upon questions from a panel of four correspondents chosen by the nationwide networks that carry the program. each candidate will be questioned in turn with opportunity for comment by the other. each answer will be limited to two and one-half minutes, each comment to one and one-half minutes. the correspondents are free to ask any questions they choose in the field of foreign affairs. neither candidate knows what questions will be asked. time alone will determine the final question. reversing the order in their first meeting, senator kennedy will make the second opening statement and the first closing statement. for the first opening statement, here is vice president nixon. "
4,MR. NIXON,"mr. howe, senator kennedy, my fellow americans. since this campaign began i have had a very rare privilege. i have traveled to forty-eight of the fifty states and in my travels i have learned what the people of the united states are thinking about. there is one issue that stands out above all the rest, one in which every american is concerned, regardless of what group he may be a member and regardless of where he may live. and that issue, very simply stated, is this: how can we keep the peace – keep it without surrender? how can we extend freedom – extend it without war? now in determining how we deal with this issue, we must find the answer to a very important but simple question: who threatens the peace? who threatens freedom in the world? there is only one threat to peace and one threat to freedom – that that is presented by the international communist movement. and therefore if we are to have peace, we must know how to deal with the communists and their leaders. i know mr. khrushchev. i also have had the opportunity of knowing and meeting other communist leaders in the world. i believe there are certain principles we must find in dealing with him and his colleagues – principles, if followed, that will keep the peace and that also can extend freedom. first, we have to learn from the past, because we cannot afford to make the mistakes of the past. in the seven years before this administration came into power in washington, we found that six hundred million people went behind the iron curtain. and at the end of that seven years we were engaged in a war in korea which cost of thirty thousand american lives. in the past seven years, in president eisenhower’s administration, this situation has been reversed. we ended the korean war; by strong, firm leadership we have kept out of other wars; and we have avoided surrender of principle or territory at the conference table. now why were we successful, as our predecessors were not successful? i think there’re several reasons. in the first place, they made a fatal error in misjudging the communists; in trying to apply to them the same rules of conduct that you would apply to the leaders of the free world. one of the major errors they made was the one that led to the korean war. in ruling out the defense of korea, they invited aggression in that area. they thought they were going to have peace – it brought war. we learned from their mistakes. and so, in our seven years, we find that we have been firm in our diplomacy; we have never made concessions without getting concessions in return. we have always been willing to go the extra mile to negotiate for disarmament or in any other area. but we have never been willing to do anything that, in effect, surrendered freedom any place in the world. that is why president eisenhower was correct in not apologizing or expressing regrets to mr. khrushchev at the paris conference, as senator kennedy suggested he could have done. that is why senator wh- president eisenhower was also correct in his policy in the formosa straits, where he declined, and refused to follow the recommendations – recommendations which senator kennedy voted for in 1955; again made in 1959; again repeated in his debates that you have heard – recommendations with regard to – again – slicing off a piece of free territory, and abandoning it, if – in effect, to the communists. why did the president feel this was wrong and why was the president right and his critics wrong? because again this showed a lack of understanding of dictators, a lack of understanding particularly of communists, because every time you make such a concession it does not lead to peace; it only encourages them to blackmail you. it encourages them to begin a war. and so i say that the record shows that we know how to keep the peace, to keep it without surrender. let us move now to the future. it is not enough to stand on this record because we are dealing with the most ruthless, fanatical… leaders that the world has ever seen. that is why i say that in this period of the sixties, america must move forward in every area. first of all, although we are today, as senator kennedy has admitted, the strongest nation in the world militarily, we must increase our strength, increase it so that we will always have enough strength that regardless of what our potential opponents have – if the should launch a surprise attack – we will be able to destroy their war-making capability. they must know, in other words, that it is national suicide if they begin anything. we need this kind of strength because we’re the guardians of the peace. in addition to military strength, we need to see that the economy of this country continues to grow. it has grown in the past seven years. it can and will grow even more in the next four. and the reason that it must grow even more is because we have things to do at home and also because we’re in a race for survival – a race in which it isn’t enough to be ahead; it isn’t enough simply to be complacent. we have to move ahead in order to stay ahead. and that is why, in this field, i have made recommendations which i am confident will move the american economy ahead – move it firmly and soundly so that there will never be a time when the soviet union will be able to challenge our superiority in this field. and so we need military strength, we need economic strength, we also need the right diplomatic policies. what are they? again we turn to the past. firmness but no belligerence, and by no belligerence i mean that we do not answer insult by insult. when you are proud and confident of your strength, you do not get down to the level of mr. khrushchev and his colleagues. and that example that president eisenhower has set we will continue to follow. but all this by itself is not enough. it is not enough for us simply to be the strongest nation militarily, the strongest economically, and also to have firm diplomacy. we must have a great goal. and that is: not just to keep freedom for ourselves but to extend it to all the world, to extend it to all the world because that is america’s destiny. to extend it to all the world because the communist aim is not to hold their own but to extend communism. and you cannot fight a victory for communism or a strategy of victory for communism with the strategy, simply of holding the line. and so i say that we believe that our policies of military strength, of economic strength, of diplomatic firmness first will keep the peace and keep it without surrender. we also believe that in the great field of ideals that we can lead america to the victory for freedom – victory in the newly developing countries, victory also in the captive countries – provided we have faith in ourselves and faith in our principles. "
5,MR. HOWE,now the opening statement of senator kennedy. 
6,MR. KENNEDY,"mr. howe, mr. vice president. first uh – let me again try to correct the record on the matter of quemoy and matsu. i voted for the formosa resolution in 1955. i have sustained it since then. i’ve said that i agree with the administration policy. mr. nixon earlier indicated that he would defend quemoy and matsu even if the attack on these islands, two miles off the coast of china, were not part of a general attack an formosa and the pescadores. i indicated that i would defend those islands if the attack were directed against pescadores and formosa, which is part of the eisenhower policy. i’ve supported that policy. in the last week, as a member of the senate foreign relations committee, i have re-read the testimony of general twining representing the administration in 1959, and the assistant secretary of state before the foreign relations committee in 1958, and i have accurately described the administration policy, and i support it wholeheartedly. so that really isn’t an issue in this campaign. it isn’t an issue with mr. nixon, who now says that he also supports the eisenhower policy. nor is the question that all americans want peace and security an issue in this campaign. the question is: are we moving in the direction of peace and security? is our relative strength growing? is, as mr. nixon says, our prestige at an all-time high, as he said a week ago, and that of the communists at an all-time low? i don’t believe it is. i don’t believe that our relative strength is increasing. and i say that not as the democratic standard-bearer, but as a citizen of the united states who is concerned about the united states. i look at cuba, ninety miles off the coast of the united states. in 1957 i was in havana. i talked to the american ambassador there. he said that he was the second most powerful man in cuba. and yet even though ambassador smith and ambassador gardner, both republican ambassadors, both warned of castro, the marxist influences around castro, the communist influences around castro, both of them have testified in the last six weeks, that in spite of their warnings to the american government, nothing was done. our d- security depends upon latin america. can any american looking at the situation in latin america feel contented with what’s happening today, when a candidate for the presidency of brazil feels it necessary to call – not on washington during the campaign – but on castro in havana, in order to pick up the support of the castro supporters in brazil? at the american conference – inter-american conference this summer, when we wanted them to join together in the denunciation of castro and the cuban communists, we couldn’t even get the inter-american group to join together in denouncing castro. it was rather a vague statement that they finally made. do you know today that the com- the russians broadcast ten times as many programs in spanish to latin america as we do? do you know we don’t have a single program sponsored by our government to cuba – to tell them our story, to tell them that we are their friends, that we want them to be free again? africa is now the emerging area of the world. it contains twenty-five percent of all the members of the general assembly. we didn’t even have a bureau of african affairs until 1957. in the africa south of the sahara, which is the major new section, we have less students from all of africa in that area studying under government auspices today than from the country of thailand. if there’s one thing africa needs it’s technical assistance. and yet last year we gave them less than five percent of all the technical assistance funds that we distributed around the world. we relied in the middle east on the baghdad pact, and yet when the iraqi government was changed, the baghdad pact broke down. we relied on the eisenhower doctrine for the middle east, which passed the senate. there isn’t one country in the middle east that now endorses the eisenhower doctrine. we look to europe uh – to asia because the struggle is in the underdeveloped world. which system, communism or freedom, will triumph in the next five or ten years? that’s what should concern us, not the history of ten, or fifteen, or twenty years ago. but are we doing enough in these areas? what are freedom’s chances in those areas? by 1965 or 1970, will there be other cubas in latin america? will guinea and ghana, which have now voted with the communists frequently as newly independent countries of africa – will there be others? will the congo go communist? will other countries? are we doing enough in that area? and what about asia? is india going to win the economic struggle or is china going to win it? who will dominate asia in the next five or ten years? communism? the chinese? or will freedom? the question which we have to decide as americans – are we doing enough today? is our strength and prestige rising? do people want to be identified with us? do they want to follow united states leadership? i don’t think they do, enough. and that’s what concerns me. in africa – these countries that have newly joined the united nations. on the question of admission of red china, only two countries in all of africa voted with us – liberia and the union of south africa. the rest either abstained or voted against us. more countries in asia voted against us on that question than voted with us. i believe that this struggle is going to go on, and it may be well decided in the next decade. i have seen cuba go to the communists. i have seen communist influence and castro influence rise in latin america. i have seen us ignore africa. there are six countries in africa that are members of the united nations. there isn’t a single american diplomatic representative in any of those six. when guinea became independent, the soviet ambassador showed up that very day. we didn’t recognize them for two months; the american ambassador didn’t show up for nearly eight months. i believe that the world is changing fast. and i don’t think this administration has shown the foresight, has shown the knowledge, has been identified with the great fight which these people are waging to be free, to get a better standard of living, to live better. the average income in some of those countries is twenty-five dollars a year. the communists say, “come with us; look what we’ve done.” and we’ve been in – on the whole, uninterested. i think we’re going to have to do better. mr. nixon talks about our being the strongest country in the world. i think we are today. but we were far stronger relative to the communists five years ago, and what is of great concern is that the balance of power is in danger of moving with them. they made a breakthrough in missiles, and by nineteen sixty-one, two, and three, they will be outnumbering us in missiles. i’m not as confident as he is that we will be the strongest military power by 1963. he talks about economic growth as a great indicator of freedom. i agree with him. what we do in this country, the kind of society that we build, that will tell whether freedom will be sustained around the world. and yet, in the last nine months of this year, we’ve had a drop in our economic growth rather than a gain. we’ve had the lowest rate of increase of economic growth in the last nine months of any major industrialized society in the world. i look up and see the soviet flag on the moon. the fact is that the state department polls on our prestige and influence around the world have shown such a sharp drop that up till now the state department has been unwilling to release them. and yet they were polled by the u.s.i.a. the point of all this is, this is a struggle in which we’re engaged. we want peace. we want freedom. we want security. we want to be stronger. we want freedom to gain. but i don’t believe in these changing and revolutionary times this administration has known that the world is changing – has identified itself with that change. i think the communists have been moving with vigor – laos, africa, cuba – all around the world today they’re on the move. i think we have to revita1ize our society. i think we have to demonstrate to the people of the world that we’re determined in this free country of ours to be first – not first if, and not first but, and not first when – but first. and when we are strong and when we are first, then freedom gains; then the prospects for peace increase; then the prospects for our society gain. "
7,MR. HOWE,"that completes the opening statements. now the candidates will answer and comment upon questions put by these four correspondents: frank singiser of mutual news, john edwards of abc news, walter cronkite of cbs news, john chancellor of nbc news. frank singiser has the first question for vice president nixon. mr. singiser: mr. vice president, i’d like to pin down the difference between the way you would handle castro’s regime and prevent the establishment of communist governments in the western hemisphere and the way that t senator kennedy would proceed. uh – vice president nixon, in what important respects do you feel there are differences between you, and why do you believe your policy is better for the peace and security of the united states in the western hemisphere? "
8,MR. NIXON,"our policies are very different. i think that senator kennedy’s policies and recommendations for the handling of the castro regime are probably the most dangers- dangerously irresponsible recommendations that he’s made during the course of this campaign. in effect, what senator kennedy recommends is that the united states government should give help to the exiles and to those within cuba who oppose the castro regime – provided they are anti-batista. now let’s just see what this means. we have five treaties with latin america, including the one setting up the organization of american states in bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other american country – and they as well have agreed to do likewise. the charter of the united nations – its preamble, article i and article ii – also provide that there shall be no intervention by one nation in the internal affairs of another. now i don’t know what senator kennedy suggests when he says that we should help those who oppose the castro regime, both in cuba and without. but i do know this: that if we were to follow that recommendation, that we would lose all of our friends in latin america, we would probably be condemned in the united nations, and we would not accomplish our objective. i know something else. it would be an open invitation for mr. khrushchev to come in, to come into latin america and to engage us in what would be a civil war, and possibly even worse than that. this is the major recommendation that he’s made. now, what can we do? well, we can do what we did with guatemala. there was a communist dictator that we inherited from the previous administration. we quarantined mr. arbenz. the result was that the guatemalan people themselves eventually rose up and they threw him out. we are quarantining mr. castro today. we’re quarantining him diplomatically by bringing back our ambassador; economically by cutting off trade, and senator kennedy’s suggestion that the trade that we cut off is not significant is just one hundred percent wrong. we are cutting off the significant items that the cuban regime needs in order to survive. by cutting off trade, by cutting off our diplomatic relations as we have, we will quarantine this regime so that the people of cuba themselves will take care of mr. castro. but for us to do what senator kennedy has suggested would bring results which i know he would not want, and certainly which the american people would not want. "
9,MR. KENNEDY,"mr. nixon uh – shows himself i- misinformed. he surely must be aware that most of the equipment and arms and resources for castro came from the united states, flowed out of florida and other parts of the united states to castro in the mountains. there isn’t any doubt about that, number one. number two, i believe that if any economic sanctions against latin america are going to be successful they have to be multilateral. they have to include the other countries of latin america. the very minute effect of the action which has been taken this week on cuba’s economy – i believe castro can replace those markets very easily through latin america, through europe, and through eastern europe. if the united states had stronger prestige and influence in latin america it could persuade – as franklin roosevelt did in 1940 – the countries of latin america to join in an economic quarantine of castro. that’s the only way you can bring real economic pressure on the castro regime – and also the countries of western europe, canada, japan and the others. number three, castro is only the beginning of our difficulties throughout latin america. the big struggle will be to prevent the influence of castro spreading to other countries – mexico, panama, bolivia, colombia. we’re going to have to try to provide closer ties, to associate ourselves with the great desire of these people for a better life if we’re going to prevent castro’s influence from spreading throughout all of latin america. his influence is strong enough today to prevent us from joi- getting the other countries of latin america to join with us in economic quarantine. his influence is growing – mostly because this administration has ignored latin america. you yourself said, mr. vice president, a month ago, that if we had provided the kind of economic aid five years ago that we are now providing we might never have had castro. why didn’t we? "
