,Speaker,Response
0,SHAW,"on behalf of the commission on presidential debates, i am pleased to welcome you to the second presidential debate. i am bernard shaw of cnn, cable news network. my colleagues on the panel are ann compton of abc news; margaret warner of newsweek magazine; and andrea mitchell of nbc news. the candidates are vice president george bush, the republican nominee; and governor michael dukakis, the democratic nominee. (applause) "
1,SHAW,"for the next 90 minutes we will be questioning the candidates following a format designed and agreed to by representatives of the two campaigns. however, there are no restrictions on the questions that my colleagues and i can ask this evening, and the candidates have no prior knowledge of our questions. by agreement between the candidates, the first question goes to gov. dukakis. you have two minutes to respond. governor, if kitty dukakis were raped and murdered, would you favor an irrevocable death penalty for the killer? "
2,DUKAKIS,"no, i don’t, bernard. and i think you know that i’ve opposed the death penalty during all of my life. i don’t see any evidence that it’s a deterrent, and i think there are better and more effective ways to deal with violent crime. we’ve done so in my own state. and it’s one of the reasons why we have had the biggest drop in crime of any industrial state in america; why we have the lowest murder rate of any industrial state in america. but we have work to do in this nation. we have work to do to fight a real war, not a phony war, against drugs. and that’s something i want to lead, something we haven’t had over the course of the past many years, even though the vice president has been at least allegedly in charge of that war. we have much to do to step up that war, to double the number of drug enforcement agents, to fight both here and abroad, to work with our neighbors in this hemisphere. and i want to call a hemispheric summit just as soon after the 20th of january as possible to fight that war. but we also have to deal with drug education prevention here at home. and that’s one of the things that i hope i can lead personally as the president of the united states. we’ve had great success in my own state. and we’ve reached out to young people and their families and been able to help them by beginning drug education and prevention in the early elementary grades. so we can fight this war, and we can win this war. and we can do so in a way that marshals our forces, that provides real support for state and local law enforcement officers who have not been getting that support, and do it in a way which will bring down violence in this nation, will help our youngsters to stay away from drugs, will stop this avalanche of drugs that’s pouring into the country, and will make it possible for our kids and our families to grow up in safe and secure and decent neighborhoods. "
3,SHAW,"mr. vice president, your one-minute rebuttal. "
4,BUSH,"well, a lot of what this campaign is about, it seems to me bernie, goes to the question of values. and here i do have, on this particular question, a big difference with my opponent. you see, i do believe that some crimes are so heinous, so brutal, so outrageous, and i’d say particularly those that result in the death of a police officer, for those real brutal crimes, i do believe in the death penalty, and i think it is a deterrent, and i believe we need it. and i’m glad that the congress moved on this drug bill and have finally called for that related to these narcotics drug kingpins. and so we just have an honest difference of opinion: i support it and he doesn’t. "
5,SHAW,"now to you, vice president bush. i quote to you this from article iii of the 20th amendment to the constitution. quote: “if at the time fixed for the beginning of the term of the president the president-elect shall have died, the vice president elect shall become president,” meaning, if you are elected and die before inauguration day "
6,BUSH,bernie. 
7,SHAW,"automatically automatically, dan quayle would become the 41st president of the united states. what have you to say about that possibility? "
8,BUSH,"i’d have confidence in him. and i made a good selection. and i’ve never seen such a pounding, an unfair pounding, on a young senator in my entire life. and i’ve never seen a presidential campaign where the presidential nominee runs against my vice presidential nominee; never seen one before. (applause) "
9,BUSH,"but you know, lloyd bentsen jumped on dan quayle, when dan quayle said, he’s had roughly the same amount of experience. he had two terms in the congress. he had two terms in the senate, serving his second term. he founded authored, the job training partnership act. it says to american working men and women that are thrown out of work for no fault of their own that they’re going to have jobs. we’re moving into a new competitive age, and we need that kind of thing. he, unlike my opponent, is an expert in national defense; helped amend the inf treaty so we got a good, sound treaty, when these people over here were talking about a freeze. if we’d listened to them, we would never have had a treaty. and so i have great confidence in him. and it’s turning around. you know, the american people are fair. they don’t like it when there’s an unfair pounding and kind of hooting about people. they want to judge it on the record itself. and so i’m proud of my choice. and you know, i don’t think age is the only criterion. but i’ll tell you something, i’m proud that people who are 30 years old and 40 years old now have someone in their generation that is going to be vice president of the united states of america. i made a good selection. the american people are seeing it, and i’m proud of it; that’s what i’d say. and he could do the job. "
10,SHAW,"gov. dukakis, your one-minute rebuttal. "
11,DUKAKIS,"bernard, this was the first presidential decision that we as nominees were called upon to make. and that’s why people are so concerned. because it was an opportunity for us to demonstrate what we were looking for in a running mate. more than that, it was the first national security decision that we had to make. the vice president talks about national security. three times since world war ii, the vice president has had to suddenly become the president and commander in chief. i picked lloyd bentsen, because i thought he was the best qualified person for the job. (applause) goy. "
12,DUKAKIS,"mr. bush picked dan quayle, and before he did it, he said, watch my choice for vice president, it will tell all and it sure did. it sure did. (applause) "
13,SHAW,ann compton for the vice president. 
