,Speaker,Response
0,GIBSON,"good evening from the field house at washington university in st. louis. i’m charles gibson of abc news and “good morning america.” i welcome you to the second of the 2004 presidential debates between president george w. bush, the republican nominee, and senator john kerry, the democratic nominee. the debates are sponsored by the commission on presidential debates. tonight’s format is going to be a bit different. we have assembled a town-hall meeting. we’re in the show-me state, as everyone knows missouri to be, so missouri residents will ask the questions. these 140 citizens were identified by the gallup organization as not yet committed in this election. now, earlier today, each audience member gave me two questions on cards like this, one they’d like to ask the president, the other they’d like to ask the senator. i have selected the questions to be asked and the order. no one has seen the final list of questions but me, certainly not the candidates. no audience member knows if he or she will be called upon. audience microphones will be turned off after a question is asked. audience members will address their question to a specific candidate. he’ll have two minutes to answer. the other candidate will have a minute and a half for rebuttal. and i have the option of extending discussion for one minute, to be divided equally between the two men. all subjects are open for discussion. and you probably know the light system by now. green light at 30 seconds, yellow at 15, red at five, and flashing red means you’re done. those are the candidates’ rules. i will hold the candidates to the time limits forcefully but politely, i hope. and now, please join me in welcoming with great respect, president bush and senator kerry. (applause) gentlemen, to the business at hand. the first question is for senator kerry, and it will come from cheryl otis, who is right behind me. otis: senator kerry, after talking with several co-workers and family and friends, i asked the ones who said they were not voting for you, “why?” they said that you were too wishy-washy. do you have a reply for them? "
1,KERRY,"yes, i certainly do. (laughter) but let me just first, cheryl, if you will, i want to thank charlie for moderating. i want to thank washington university for hosting us here this evening. mr. president, it’s good to be with you again this evening, sir. cheryl, the president didn’t find weapons of mass destruction in iraq, so he’s really turned his campaign into a weapon of mass deception. and the result is that you’ve been bombarded with advertisements suggesting that i’ve changed a position on this or that or the other. now, the three things they try to say i’ve changed position on are the patriot act; i haven’t. i support it. i just don’t like the way john ashcroft has applied it, and we’re going to change a few things. the chairman of the republican party thinks we ought to change a few things. no child left behind act, i voted for it. i support it. i support the goals. but the president has underfunded it by $28 billion. right here in st. louis, you’ve laid off 350 teachers. you’re 150 — excuse me, i think it’s a little more, about $100 million shy of what you ought to be under the no child left behind act to help your education system here. so i complain about that. i’ve argued that we should fully funded it. the president says i’ve changed my mind. i haven’t changed my mind: i’m going to fully fund it. so these are the differences. now, the president has presided over an economy where we’ve lost 1.6 million jobs. the first president in 72 years to lose jobs. i have a plan to put people back to work. that’s not wishy- washy. i’m going to close the loopholes that actually encourage companies to go overseas. the president wants to keep them open. i think i’m right. i think he’s wrong. i’m going to give you a tax cut. the president gave the top 1 percent of income-earners in america, got $89 billion last year, more than the 80 percent of people who earn $100,000 or less all put together. i think that’s wrong. that’s not wishy-washy, and that’s what i’m fighting for, you. "
2,GIBSON,"mr. president, a minute and a half. "
3,GEORGE W. BUSH,"charlie, thank you, and thank our panelists. and, senator, thank you. i can — and thanks, washington u. as well. i can see why people at your workplace think he changes positions a lot, because he does. he said he voted for the $87 billion, and voted against it right before he voted for it. and that sends a confusing signal to people. he said he thought saddam hussein was a grave threat, and now he said it was a mistake to remove saddam hussein from power. no, i can see why people think that he changes position quite often, because he does. you know, for a while he was a strong supporter of getting rid of saddam hussein. he saw the wisdom — until the democrat primary came along and howard dean, the anti-war candidate, began to gain on him, and he changed positions. i don’t see how you can lead this country in a time of war, in a time of uncertainty, if you change your mind because of politics. he just brought up the tax cut. you remember we increased that child credit by $1,000, reduced the marriage penalty, created a 10 percent tax bracket for the lower-income americans. that’s right at the middle class. he voted against it. and yet he tells you he’s for a middle- class tax cut. it’s — you’ve got to be consistent when you’re the president. there’s a lot of pressures. and you’ve got to be firm and consistent. "
4,GIBSON,"mr. president, i would follow up, but we have a series of questions on iraq, and so i will turn to the next questioner. the question is for president bush, and the questioner is robin dahle. dahle: mr. president, yesterday in a statement you admitted that iraq did not have weapons of mass destruction, but justified the invasion by stating, i quote, “he retained the knowledge, the materials, the means and the intent to produce weapons of mass destruction and could have passed this knowledge to our terrorist enemies.” do you sincerely believe this to be a reasonable justification for invasion when this statement applies to so many other countries, including north korea? "
5,GEORGE W. BUSH,"each situation is different, robin. and obviously we hope that diplomacy works before you ever use force. the hardest decision a president makes is ever to use force. after 9/11, we had to look at the world differently. after 9/11, we had to recognize that when we saw a threat, we must take it seriously before it comes to hurt us. in the old days we’d see a threat, and we could deal with it if we felt like it or not. but 9/11 changed it all. i vowed to our countrymen that i would do everything i could to protect the american people. that’s why we’re bringing al qaida to justice. seventy five percent of them have been brought to justice. that’s why i said to afghanistan: if you harbor a terrorist, you’re just as guilty as the terrorist. and the taliban is no longer in power, and al qaida no longer has a place to plan. and i saw a unique threat in saddam hussein, as did my opponent, because we thought he had weapons of mass destruction. and the unique threat was that he could give weapons of mass destruction to an organization like al qaida, and the harm they inflicted on us with airplanes would be multiplied greatly by weapons of mass destruction. and that was the serious, serious threat. so i tried diplomacy, went to the united nations. but as we learned in the same report i quoted, saddam hussein was gaming the oil-for-food program to get rid of sanctions. he was trying to get rid of sanctions for a reason: he wanted to restart his weapons programs. we all thought there was weapons there, robin. my opponent thought there was weapons there. that’s why he called him a grave threat. i wasn’t happy when we found out there wasn’t weapons, and we’ve got an intelligence group together to figure out why. but saddam hussein was a unique threat. and the world is better off without him in power. and my opponent’s plans lead me to conclude that saddam hussein would still be in power, and the world would be more dangerous. thank you, sir. "
6,GIBSON,"senator kerry, a minute and a half. "
7,KERRY,"robin, i’m going to answer your question. i’m also going to talk — respond to what you asked, cheryl, at the same time. the world is more dangerous today. the world is more dangerous today because the president didn’t make the right judgments. now, the president wishes that i had changed my mind. he wants you to believe that because he can’t come here and tell you that he’s created new jobs for america. he’s lost jobs. he can’t come here and tell you that he’s created health care for americans because, what, we’ve got 5 million americans who have lost their health care, 96,000 of them right here in missouri. he can’t come here and tell you that he’s left no child behind because he didn’t fund no child left behind. so what does he do? he’s trying to attack me. he wants you to believe that i can’t be president. and he’s trying to make you believe it because he wants you to think i change my mind. well, let me tell you straight up: i’ve never changed my mind about iraq. i do believe saddam hussein was a threat. i always believed he was a threat. believed it in 1998 when clinton was president. i wanted to give clinton the power to use force if necessary. but i would have used that force wisely, i would have used that authority wisely, not rushed to war without a plan to win the peace. i would have brought our allies to our side. i would have fought to make certain our troops had everybody possible to help them win the mission. this president rushed to war, pushed our allies aside. and iran now is more dangerous, and so is north korea, with nuclear weapons. he took his eye off the ball, off of osama bin laden. "
8,GIBSON,"mr. president, i do want to follow up on this one, because there were several questions from the audience along this line. "
9,GEORGE W. BUSH,(off-mike) 
