,Speaker,Response
0,MS. FREDERICK,"good evening. i’m pauline frederick of npr, moderator of this second of the historic debates of the 1976 campaign between gerald r, ford of michigan, republican candidate for president, and jimmy carter of georgia, democratic candidate for president. thank you, president ford and thank you, governor carter, for being with us tonight. this debate takes place before an audience in the palace of fine arts theater in san francisco. an estimated one hundred million americans are watching on television as well. san francisco was the site of the signing of the united nations charter, thirty one years ago. thus, it is an appropriate place to hold this debate, the subject of which is foreign and defense issues. the questioners tonight are max frankel, associate editor of the new york times, henry l. trewhitt, diplomatic correspondent of the baltimore sun, and richard valeriani, diplomatic correspondent of nbc news. the ground rules are basically the same as they were for the first debate two weeks ago. the questions will be alternated between candidates. by the toss of a coin, governor carter will take the first question. each question sequence will be as follows: the question will be asked and the candidate will have up to three minutes to answer. his opponent will have up to two minutes to respond. and prior to the response, the questioner may ask a follow-up question to clarify the candidate’s answer when necessary with up to two minutes to reply. each candidate will have three minutes for a closing statement at the end. president ford and governor carter do not have notes or prepared remarks with them this evening, but they may take notes during the debate and refer to them. mr. frankel, you have the first question for governor carter. "
1,MR. FRANKEL,"governor, since the democrats last ran our foreign policy, including many of the men who are advising you, country has been relieved of the vietnam agony and the military draft, we’ve started arms control negotiations with the russians, we’ve opened relations with china, we’ve arranged the disengagement in the middle east, we’ve regained influence with the arabs without deserting israel, now, maybe we’ve even begun a process of peaceful change in africa. now you’ve objected in this campaign to the style with which much of this was done, and you’ve mentioned some other things that – that you think ought to have been done. but do you really have a quarrel with this republican record? would you not have done any of those things? "
2,MR. CARTER,"well i think this republican administration has been almost all style, and spectacular, and not substance. we’ve uh – got a chance tonight to talk about, first of all, leadership, the character of our country, and a vision of the future. in every one of these instances, the ford administration has failed, and i hope tonight that i and mr. ford will have a chance to discuss the reasons for those failures. our country is not strong anymore; we’re not respected anymore. we can only be strong overseas if we’re strong at home; and when i became president we’ll not only be strong in those areas but also in defense – a defense capability second to none. we’ve lost in our foreign policy, the character of the american people. we’ve uh – ignored or excluded the american people and the congress from participation in the shaping of our foreign policy. it’s been one of secrecy and exclusion. in addition to that we’ve had a chance to became now, contrary to our long-standing beliefs and principles, the arms merchant of the whole world. we’ve tried to buy success from our enemies, and at the same time we’ve excluded from the process the normal friendship of our allies. in addition to that we’ve become fearful to compete with the soviet union on an equal basis. we talk about detente. the soviet union knows what they want in detente, and they’ve been getting it. we have not known what we’ve wanted and we’ve been out-traded in almost every instance. the other point i wanna make is about our defense. we’ve got to be a nation blessed with a defense capability that’s efficient, tough, capable, well organized, narrowly focused – fighting capability. the ability to fight, if necessary, is the best way to avoid the chance for, or the requirement to fight. and the last point i wanna make is this: mr. ford, mr. kissinger have uh – continued on with the policies and failures of richard nixon. even the republican platform has criticized the lack of leadership in mr. ford and they’ve criticized the foreign policy of this administration. this is one instance where i agree with – with the republican platform. i might say this in closing, and that is that as far as foreign policy goes, mr. kissinger has been the president of this country. mr. ford has shown an absence of leadership, and an absence of a grasp of what this country is and what it ought to be. that’s got to be changed. and that’s one of the major issues in this uh – campaign of 1976. "
3,MS. FREDERICK,"president ford, would you like to respond? "
4,MR. FORD,"governor carter again is talking in broad generalities. let me take just one question that he raises – the military strength and capability of the united states. governor carter in november of 1975 indicated that he wanted to cut the defense budget by $15 billion. a few months later, he said he wanted to cut the defense budget by eight or nine billion dollars. and more recently, he talks about cutting the defense budget by five to seven billion dollars. there is no way you can be strong militarily and have those kind of reductions in our military uh – appropriation. now let me just tell you a little story. about uh – late october of 1975, i asked the then secretary of defense, mr. schlesinger, to tell me what had to be done if we were going to reduce the defense budget by uh – three to five billion dollars. a few days later, mr. schlesinger came back and said if we cut the defense budget by three to five billion dollars, we will have to cut military personnel by two hundred and fifty thousand, civilian personnel by a hundred thousand, jobs in america by a hundred thousand. we would have to stretch out our aircraft procurement, we would have to reduce our naval construction program, we would have to reduce the uh – research and development for the army, the navy, the air force and marines by 8 percent. we would have to close twenty military bases in the united states immediately. that’s the kind of defense program that uh – mr. carter wants. let me tell you this straight from the shoulder. you don’t negotiate with mr. brezhnev from weakness. and the kind of defense program that mr. carter wants will mean a weaker defense and a poor negotiating position. "
5,MS. FREDERICK,"mr. trewhitt, a question for president ford. "
6,MR. TREWHITT,"mr. president, my question really is the other side of the coin from mr. frankel’s. for a generation the united states has had a foreign policy based on containment of communism. yet we have lost the first war in vietnam; we lost a shoving match in angola. uh – the communists threatened to come to power by peaceful means in italy and relations generally have cooled with the soviet union in the last few months. so le- let me ask you first, what do you do about such cases as italy? and secondly, does this general drift mean that we’re moving back toward something like an old cold – cold-war relationship with the soviet union? "
7,MR. FORD,"i don’t believe we should move to a cold-war relationship. i think it’s in the best interest of the united states, and the world as a whole that the united states negotiate rather than go back to the cold-war relationship with the soviet union. i don’t uh – look at the picture as bleakly as you have indicated in your question, mr. trewhitt. i believe that the united states ha- had many successes in recent years, in recent months, as far as the communist movement is concerned. we have been successful in portugal, where a year ago it looked like there was a very great possibility that the uh – communists would take over in portugal. it didn’t happen. we have a democracy in portugal today. a few uh – months ago, or i should say, maybe two years ago, the soviet union looked like they had continued strength in the middle east. today, according to prime minister rabin, the soviet union is weaker in the middle east than they have been in many, many years. the facts are, there – the soviet union relationship with egypt is uh – at a low level. the soviet union relationship with syria is at a very low point. the united states today, according to prime minister rabin of israel, is a- at a peak in its uh – influence and power in the middle east. but let’s turn for a minute to the uhh – southern african operations that are now going on. the united states of america took the initiative in southern africa. we wanted to end the bloodshed in southern africa. we wanted to have the right of self-determination in southern africa. we wanted to have majority rule with the full protection of the rights of the minority. we wanted to preserve human dignity in southern africa. we have taken the initiative, and in southern africa today the united states is trusted by the black front-line nations and black africa. the united states is trusted by other elements in southern africa. the united states foreign policy under this administration has been one of progress and success. and i believe that instead of talking about soviet progress, we can talk about american successes. and may i make an observation – part of the question you asked, mr. trewhitt? i don’t believe that it’s in the best interest of the united states and the nato nations to have a communist government in nato. mr. carter has indicated he would look with sympathy to a communist government in nato. i think that would destroy the integrity and the strength of nato, and i am totally opposed to it. "
8,MR. CARTER,"well, mr. ford, unfortunately, has just made a statement that’s not true. i have never advocated a communist government for italy. that would obviously be a ridiculous thing for anyone to do who wanted to be president of this country. i think that this is uh – an instance of uh – deliberate distortion, and this has occurred also in the question about defense. as a matter of fact, uh – i’ve never advocated any cut of $15 billion in our defense budget. as a matter of fact, mr. ford has made a political football out of the defense budget. about a year ago he cut the pentagon budget six point eight billion dollars. after he fired james schlesinger, the political heat got so great that he added back about $3 billion. when ronald reagan won the texas primary election, mr. ford added back another one and a half billion dollars. immediately before the kansas city convention, he added back another one point eight billion dollars in the defense budget. and his own uh – office of management and budget testified that he had a $3 billion cut insurance added to the defense budget – defense budget under the pressure from the pentagon. obviously, this is another indication of trying to use the defense budget for political purposes, which he’s trying to do tonight. now, we went into south africa late, after great britain, rhodesia, the black nations had been trying to solve this problem for many, many years. we didn’t go in until right before the election, similar to what was taking place in 1972, when mr. kissinger announced peace is at hand just before the election at that time. and we have weakened our position in nato because the other countries in europe supported the democ- democratic forces in portugal long before we did; we stuck to the portugal dictatorships much longer than other democracies did in this world. "
9,MS. FREDERICK,"mr. valeriani, a question for governor carter. "
