,Speaker,Response
0,LEHRER,"good evening from the shiley theatre at the university of san diego, san diego, california. i’m jim lehrer of the news hour on pbs. welcome to this second 1996 presidential debate between senator bob dole, the republican nominee, and president bill clinton, the democratic nominee. it is sponsored by the commission on presidential debates. we will follow a town-hall type format tonight. the questions over the next 90 minutes will come from citizens of the greater san diego area. they were chosen in the past week by the gallup organization to represent a rough cross section of voters as to political views, age, gender and other factors. each said he or she is undecided about this presidential race. they were told to come tonight with questions. nobody from the debate commission or the two campaigns has any idea what those questions are. neither do i. we will all be hearing them for the first time at the same time. i met with this group three hours ago, and we spoke only about how it was going to work tonight. they are sitting in five sections. i will call on individuals at random, moving from one section to another with each new question, alternating the questions between the two candidates. my job is to keep things fair and the subjects as clear and as varied as possible. the rules, drawn by the campaigns, are basically the same as they were for the hartford and st. petersburg debates; 90 second-answers, 60 -second rebuttals, 30-second responses for each question. the candidates are not allowed to question each other directly. there will be two-minute opening and closing statements. the order for this evening was set by coin toss. we begin now with senator dole and his opening statement. senator dole. "
1,DOLE,"thank you very much, jim. let me first give you a sports update. the braves, one; the cardinals, nothing, early on. i want to thank you and i want to thank everybody here tonight. i want to give a special thanks to my wife elizabeth, my daughter robin for their love and support, and thank the people who are listening and watching all over america. in 20 days, you will help decide who will lead this country into the next century. it’s an awesome responsibility. and you must ask yourself, do you know enough about the candidates? you should know as much as possible about each of us. sometimes the views have been distorted. there’s been millions and millions of dollars of negative advertising spent distorting my views. but i hope tonight you will get a better feel of who bob dole is and what he’s all about. and i think first you should — i should understand that the question on your mind is do i understand your problem. would i understand it if it occurred to me, and i might just say i’m from a large family. i got lots of relatives and they’re good, average, middle-class, hardworking americans. they live all across the country. they’re not all republicans. maybe all but one. but in any event, i understand the problems. whether it’s two parents working because one has to pay the taxes and one has to provide for the family, whether it’s a single parent who just barely pays the pressing bills or whether you’re worried about an education for your children going to the best schools, or whether you’re worried about safe playgrounds, drug-free schools, crime-free schools. this is what this election is all about. and hopefully tonight when we conclude this debate you will have a better understanding and the viewing and listening audience will have a better understanding. thank you. "
2,LEHRER,"mr. president, two minutes, opening statement. "
3,CLINTON,"i was going to applaud, too. well, thank you, jim. and thanks to the people of san diego for giving us this opportunity to have another discussion about the decision we all face in front of people who will make the decision. again, i will say i will do my best to make this a discussion of ideas and issues, not insults. what really matters is what happens to your future and what happens to our country as we stand on the brink of a new century, a time of extraordinary possibility. i have a simple philosophy that i tried to follow for the last four years: do what creates opportunity for all, what reinforces responsibility from all of us, and what will help us build a community where everybody’s got a role to play and a place at the table. compared to four years ago, we’re clearly better off. we’ve got ten and a half million more jobs, the deficit’s been reduced by 60 percent. incomes are rising for the first time in a decade, the crime rates, the welfare rolls are falling, we’re putting , 100,000 more police on the street. 60,000 felons, fugitives and stalkers have been denied handguns. but that progress is only the beginning. what we really should focus on tonight is what we still have to do to help the american people make the most of this future that’s out there. i think what really matters is what we can do to build strong families. strong families need a strong economy. to me that means we have to go on and balance this budget while we protect medicare and medicaid and education and the environment. we should give a tax cut, targeted to child rearing and education, to buying a first home and paying for health care. we ought to help protect our kids from drugs and guns and gangs and tobacco. we ought to help move a million people from welfare to work and we ought to create the finest education system in the world where every 18-year-old can go on to college and all of our younger children have great educational opportunities. if we do those things, we can build that bridge to the 21st century. that’s what i hope to get to talk about tonight. thank you. "
4,LEHRER,"let’s go now to the first question from this section. for senator dole. yes, ma’am. yes. ms. mcafee: hello, senator dole. "
5,DOLE,"hi. ms. mcafee: my name is shannon mcafee. i’m a beginning educator in this country, and i really think it’s important what children have to say. they’re still very idealistic. and they — everything they say comes from the heart. i have a quote for you from “if i were president,” compiled by peggy gavin. a sixth grader says, “if i were president, i would think about abraham lincoln and george washington and what they did to make our country great. we should unite the white and black people and people of all cultures. democrats and republicans should unite also. we should all come together and think of the best ways to solve the economic problems of our country. “i believe that when we are able to come together and stop fighting amongst ourselves we will get along a lot better.” these are the ideals and morals that we are teach — we are trying to teach our children in these days. yet we don’t seem to be practicing them in our government, in anything. if you are president, how will you begin to practice what we are preaching to our children, the future of our nation? "
6,DOLE,"well, i would say first of all, i think, it’s a very good question. i appreciate the quote from the young man. there’s no doubt about it that many american people have lost their faith in government. they see scandals almost on a daily basis. they see ethical problems in the whitehouse today. they see 900 fbi files, private person, being gathered up by somebody in the whitehouse. nobody knows who hired this man. so there’s a great deal of cynicism out there. but i’ve always tried in whatever i’ve done is to bring people together. i said in my acceptance speech in san diego about two months ago that the exits are clearly marked. if you think the republican party is some place for you to come if you’re narrow minded or bigoted or don’t like certain people in america, the exits are clearly marked for you to walk out of as i stand here without compromise, because this is the party of lincoln. i think we have a real obligation, obviously public officials. i’m no longer a public official. i left public life on june the 11th of this year. but it is very important. young people are looking to us. they’re looking to us for leadership. they’re watching what we do, what we say, what we promise and what we finally deliver. and i would think, it seems to me that there are opportunities here. when i’m president of the united states, i will keep my word. my word is my bond. "
7,LEHRER,mr. president. 
8,CLINTON,"one of the reasons that i ran for president, sandy, is because not just children, a lot of grownups felt that way. and if you remember four years ago, we had not only rising unemployment, but a lot of rising cynicism. i had never worked in washington as an elected official. it seemed to me that most of the arguments were partisan, republican, democrat, left, right, liberal, conservative. that’s why i said tonight i’m for opportunity, responsibility and community. and we’ve gotten some real progress in the last four years. i’ve also done everything i could at every moment of division in this country, after oklahoma city, when these churches were burned, to bring people together and remind people that we are stronger because of our diversity. we have to respect one another. you mentioned washington and lincoln. they were presidents at historic times. this is an historic time. it’s important we go beyond those old partisan arguments and focus on people and their future. when we do that, instead of shutting the government down over a partisan fight over the budget, we’re a better country and that’s why we’re making progress now. "
9,LEHRER,senator. 
10,DOLE,"well, bringing people together, again, is obviously a responsibility we all have. i know you do it. everybody here does it. you do a lot of things nobody knows about. i have a little foundation for the disabled called the dole foundation. we’ve raised about $10 million. we don’t talk about it. we try to help people with disabilities. bring them back into the mainstream of public life. so it seems to me that there’s also a public trust. when you’re the president of the united states, you have a public trust and you have to keep that public trust, as george washington, as abraham lincoln did. and i think now that trust is being violated and it seems to me we ought to face up to it, and the president ought to say tonight that he’s not going to pardon anybody that he was involved in business with who might implicate him later on. "
11,LEHRER,"all right. the next question from this section right here. right there in the middle, sir. yes, sir. dr. berkley: dr. robert n. berkley. i’m a cardiologist from fallbrook, california. mr. president, i would like to know if you would please explain your plans for — in a substantive fashion for addressing the problems with the health care system in our country. "
12,CLINTON,"i will. first of all, let me say what we have done. in the last four years we’ve worked hard to promote more competition to bring down the rate of inflation in health care costs without eroding health care quality. the government pays for medicare and medicaid, as you know, and that’s very important. secondly, we’ve added a million more children to the ranks of the insured through the medicaid program. we have protected 25 million people through the passage of the kennedy-kassebaum bill that says you can use your health insurance if you change jobs or someone in your family has been sick. we just recently ended those drive-by deliveries saying people can’t be kicked out of the hospital by insurance companies when they’ve just had babies. so this is, that’s a good start. in the next four years, i want to focus on the following things. number one, add another million children to the insured ranks through the medicaid program. number two, keep working with the states, as we are now, to add 2.2 million more people to the insurance system. number three, cover people who are between jobs for up to six months. that could protect 3 million families, 700,000 kids. number four, make sure we protect the integrity with the medicare program and medicaid program and not do anything in cutting costs which would cause hundreds of hospitals to close which could have been the case if the 270billion dollar medicare cut that i vetoed, had been enacted in the law. "
13,DOLE,"well, first, let me say there you go again, mr. president, talking about a medicare cut. i have heard you say this time after time. i have heard you say on one tv appearance, “the media made me do it.” you were trying to defend your cut which was not a cut either, reduction in the growth of spending. we’ve always had at least 7 percent. you’ve said publicly that it’s now three times the rate of inflation. we ought to cut the growth to twice the rate of inflation. it’s about where we are now. so let’s stop talking about cutting medicare. in my economic plan we increase it 39percent. don’t forget what he tried to do with health care. 17 new taxes, spend 1.5 trillion dollars, 50 new bureaucracies. can you believe that? you couldn’t even have been a cardiologist because he had quotas. you’re a cardiologist, it wouldn’t affect you. but if somebody wanted to be a cardiologist, ten years from now, you’d have to be certain you complied with some of the rules in this extreme medical plan the government was going to take over for all americans. there are things we can do like the kassebaum bill. we changed many provisions i authored, cover preexisting conditions, portability, and there are other things we can do. we still need to cover about 20million people and a lot of children. "
14,CLINTON,"i don’t have time in 30 seconds to respond to fix all that. but let me just say the american hospital association said that the budget i vetoed could have closed 700 hospitals. not me. on a per-person basis, it did cut way below the rate of inflation in medical costs. but the important thing is what are we going to do now? we need to help people who are between jobs. we need to cover more kids. provide more preventative care. my balanced budget covers mammograms for ladies, women on medicare and also gives respite care to the million-plus families who have someone with alzheimerâ€™s. these things are paid for in the balanced budget plan. it’ll move us forward. "
15,LEHRER,"next question is for senator dole from here. yes, sir. mr. milligan: senator dole, my name is jason milligan, active duty military and small business owner, and my question is: what is your position on closing the gap between military and civilian pay scales? "
