,Speaker,Response
0,RADDATZ,good evening. i’m martha raddatz from abc news. 
1,COOPER,"and i’m anderson cooper from cnn. we want to welcome you to washington university in st. louis for the second presidential debate between hillary clinton and donald trump, sponsored by the commission on presidential debates. tonight’s debate is a town hall format, which gives voters a chance to directly ask the candidates questions. martha and i will ask follow-up questions but the night really belongs to the people in this room, and to people across the country who have submitted questions online.  "
2,RADDATZ,"the people you see on this stage were chosen by the gallup organization. they are all from the st. louis area and told gallup they haven’t committed to a candidate. each of them came here with questions they wanted to ask, and we saw those questions for the first time this morning. anderson and i and our team from abc and cnn are the only ones who have seen them. both candidates will have two minutes to answer each audience and online question. we hope to get to as many questions as we can, so we’ve asked the audience here not to slow things down with any applause. except for now.  "
3,RADDATZ,"ladies and gentlemen the republican nominee for president, donald j. trump, and the democratic nominee for president, hillary clinton. [applause] "
4,COOPER,"thank you very much for being here. we’re going to begin with a question from one of the members in our town hall. each of you will have two minutes to respond to this question. secretary clinton, you won the coin toss, so you’ll go first. our first question comes from patrice brock. patrice? "
5,QUESTION,"thank you, and good evening. the last presidential debate could have been rated as ma, mature audiences, per tv parental guidelines. knowing that educators assign viewing the presidential debates as students’ homework, do you feel you’re modeling appropriate and positive behavior for today’s youth? "
6,HILLARY CLINTON,"well, thank you. are you a teacher? yes, i think that that’s a very good question, because i’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign. and i think it is very important for us to make clear to our children that our country really is great because we’re good. and we are going to respect one another, lift each other up. we are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country. i have a very positive and optimistic view about what we can do together. that’s why the slogan of my campaign is “stronger together,” because i think if we work together, if we overcome the divisiveness that sometimes sets americans against one another, and instead we make some big goals—and i’ve set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else. if we set those goals and we go together to try to achieve them, there’s nothing in my opinion that america can’t do. so that’s why i hope that we will come together in this campaign. obviously, i’m hoping to earn your vote, i’m hoping to be elected in november, and i can promise you, i will work with every american. i want to be the president for all americans, regardless of your political beliefs, where you come from, what you look like, your religion. i want us to heal our country and bring it together because that’s, i think, the best way for us to get the future that our children and our grandchildren deserve. "
7,COOPER,"secretary clinton, thank you. mr. trump, you have two minutes. "
8,TRUMP,"well, i actually agree with that. i agree with everything she said. i began this campaign because i was so tired of seeing such foolish things happen to our country. this is a great country. this is a great land. i’ve gotten to know the people of the country over the last year-and-a-half that i’ve been doing this as a politician. i cannot believe i’m saying that about myself, but i guess i have been a politician. and my whole concept was to make america great again. when i watch the deals being made, when i watch what’s happening with some horrible things like obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when i look at the iran deal and how bad a deal it is for us, it’s a one-sided transaction where we’re giving back $150 billion to a terrorist state, really, the number one terror state, we’ve made them a strong country from really a very weak country just three years ago. when i look at all of the things that i see and all of the potential that our country has, we have such tremendous potential, whether it’s in business and trade, where we’re doing so badly. last year, we had an almost $800 billion trade deficit. in other words, trading with other countries. we had an $800 billion deficit. it’s hard to believe. inconceivable. you say who’s making these deals? we’re going to make great trade deals. we’re going to have a strong border. we’re going to bring back law and order. just today, policemen was shot, two killed. and this is happening on a weekly basis. we have to bring back respect to law enforcement. at the same time, we have to take care of people on all sides. we need justice. but i want to do things that haven’t been done, including fixing and making our inner cities better for the african-american citizens that are so great, and for the latinos, hispanics, and i look forward to doing it. it’s called make america great again. "
9,COOPER,"thank you, mr. trump. the question from patrice was about are you both modeling positive and appropriate behavior for today’s youth? we received a lot of questions online, mr. trump, about the tape that was released on friday, as you can imagine. you called what you said locker room banter. you described kissing women without consent, grabbing their genitals. that is sexual assault. you bragged that you have sexually assaulted women. do you understand that? "
