,Speaker,Response
0,MODERATOR,"good evening, from wake chapel at wake forest university at winston-salem, north carolina. i’m jim lehrer of the news hour on pbs. welcome to this second election 2000 debate between the republican candidate for president, gov. george w. bush of texas, and the democratic candidate, vice president al gore. these debates are sponsored by the commission on presidential debates. the format and the rules are those negotiated by representatives of the two campaigns. only the subjects tonight and the questions are mine. the format tonight is that of a conversation. the only prevailing rule is that no single response can ever, ever exceed two minutes. the prevailing rule for the audience here in the hall is as always, absolute quiet, please. good evening, governor bush, vice president gore. the end of our 90 minutes last week in boston, the total time each of you took was virtually the same. let’s see if we can do the same tonight, or come close. governor bush, the first question goes to you. one of you is about to be elected the leader of the single-most powerful nation in the world, economically, financially, militarily, diplomatically, you name it. have you formed any guiding principles for exercising this enormous power? "
1,GEORGE W. BUSH,"i have, i have. first question is what’s in the best interests of the united states? what’s in the best interests of our people? when it comes to foreign policy that will be my guiding question. is it in our nation’s interests? peace in the middle east is in our nation’s interests. having a hemisphere that is free for trade and peaceful is in our nation’s interests. strong relations in europe is in our nation’s interest. i’ve thought a lot about what it means to be the president. i also understand that an administration is not one person, but an administration is dedicated citizens who are called by the president to serve the country, to serve a cause greater than self, and so i’ve thought about an administration of people who represent all america, but people who understand my compassionate and conservative philosophy. i haven’t started naming names except for one person, and that’s mr. richard cheney who i thought did a great job the other night. he’s a vice presidential nominee who represents — i think people got to see why i picked him. he’s man of solid judgment and he’s going to be a person to stand by my side. one of the things i’ve done in texas is i’ve been able to put together a good team of people. i’ve been able to set clear goals. the goals ought to be an education system that leaves no child behind, medicare for our seniors, a social security system that’s safe and secure, foreign policy that’s in our nation’s interest, and a strong military, and then bring people together to achieve those goals. that’s what a chief executive officer does. so i’ve thought long and hard about the honor of being the president of the united states. "
2,MODERATOR,vice president gore? 
3,GORE,"yes, jim. i’ve thought a lot about that particular question, and i see our greatest national strength coming from what we stand for in the world. i see it as a question of values. it is a great tribute to our founders that 224 years later this nation is now looked to by the peoples on every other continent and the peoples from every part of this earth as a kind of model for what their future could be. and i don’t think that’s just the kind of exaggeration that we take pride in as americans. it’s really true, even the ones that sometimes shake their fists at us. as soon as they have a change that allows the people to speak freely, they’re wanting to develop some kind of blueprint that will help them be like us more, freedom, free markets, political freedom. so i think first and foremost our power ought to be wielded to in ways that form a more perfect union. the power of example is america’s greatest power in the world. and that means, for example, standing up for human rights. it means addressing the problems of injustice and inequity, along the lines of race and ethnicity here at home, because in all these other places around the world where they’re having these terrible problems, when they feel hope, it is often because they see in us a reflection of their potential. so we’ve got to enforce our civil rights laws. we’ve got to deal with things like racial profiling. and we have to keep our military strong. we have the strongest military, and i’ll do whatever is necessary, if i’m president, to make sure that it stays that way. but our real power comes, i think, from our values. "
4,MODERATOR,"should the people of the world look at the united states, governor, and say, should they fear us, should they welcome our involvement, should they see us as a friend, everybody in the world? how would you project us around the world, as president? "
5,GEORGE W. BUSH,"well, i think they ought to look at us as a country that understands freedom where it doesn’t matter who you are or how you’re raised or where you’re from, that you can succeed. i don’t think they’ll look at us with envy. it really depends upon how our nation conducts itself in foreign policy. if we’re an arrogant nation, they’ll resent us. if we’re a humble nation, but strong, they’ll welcome us. and it’s — our nation stands alone right now in the world in terms of power, and that’s why we have to be humble. and yet project strength in a way that promotes freedom. so i don’t think they ought to look at us in any way other than what we are. we’re a freedom-loving nation and if we’re an arrogant nation they’ll view us that way, but if we’re a humble nation they’ll respect us. "
6,MODERATOR,a humble nation. 
7,GORE,"i agree with that. i agree with that. i think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that i know about, anyway. that there is some resentment of u.s. power. so i think that the idea of humility is an important one. but i think that we also have to have a sense of mission in the world. we have to protect our capacity to push forward what america’s all about. that means not only military strength and our values, it also means keeping our economy strong. you know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here and say you guys have got to do something about these horrendous deficits because it’s causing tremendous problems for the rest of the world, and we were lectured to all the time. the fact that we have the strongest economy in history today is not good enough. we need to do more. but the fact that it is so strong enables us to project the power for good that america can represent. "
8,MODERATOR,"does that give us — does our wealth, our good economy, our power, bring with it special obligations to the rest of the world? "
9,GEORGE W. BUSH,"yes, it does. take, for example, third world debt. i think we ought to be forgiving third world debt under certain conditions. i think, for example, if we’re convinced that a third world country that’s got a lot of debt would reform itself, that the money wouldn’t go into the hands of a few but would go to help people, i think it makes sense for us to use our wealth in that way, or to trade debt for valuable rain forest lands, makes that much sense, yes. we do have an obligation, but we can’t be all things to all people. we can help build coalitions but we can’t put our troops all around the world. we can lend money but we have to do it wisely. we shouldn’t be lending money to corrupt officials. so we got to be guarded in our generosity. "
10,MODERATOR,"let’s go through some of the specifics now. new question. vice president gore, the governor mentioned the middle east. here we’re talking at this stage in the game about diplomatic power that we have. what do you think the united states should do right now to resolve that conflict over there? "
11,GORE,"the first priority has to be on ending the violence, dampening down the tensions that have arisen there. we need to call upon syria to release the three israeli soldiers who have been captured. we need to insist that arafat send out instructions to halt some of the provocative acts of violence that have been going on. i think that we also have to keep a weather eye toward saddam hussein because he is taking advantage of this situation to once again make threats, and he needs to understand that he’s not only dealing with israel, he is dealing — he’s dealing with us if he is making the kind of threats that he’s talking about there. the use of diplomacy in this situation has already, well, it goes hour-by-hour and day-by-day now. it’s a very tense situation there. but in the last 24 hours there has been some subsiding of the violence there. it’s too much to hope that this is going to continue, but i do hope that it will continue. our country has been very active with regular conversations with the leaders there. and we just have to take it day-to-day right now. but one thing i would say where diplomacy is concerned, israel should feel absolutely secure about one thing. our bonds with israel are larger than agreements or disagreements on some details of diplomatic initiatives. they are historic, they are strong, and they are enduring. and our ability to serve as an honest broker is something that we need to shepherd. "
12,MODERATOR,governor? 
13,GEORGE W. BUSH,"well, i think during the campaign, particularly now during this difficult period, we ought to be speaking with one voice, and i appreciate the way the administration has worked hard to calm the tensions. like the vice president, i call on chairman arafat to have his people pull back to make the peace. i think credibility is going to be very important in the future in the middle east. i want everybody to know should i be the president israel’s going to be our friend. i’m going to stand by israel. secondly, that i think it’s important to reach out to moderate arab nations, like jordan and egypt, saudi arabia and kuwait. it’s important to be friends with people when you don’t need each other so that when you do there’s a strong bond of friendship. and that’s going to be particularly important in dealing not only with situations such as now occurring in israel, but with saddam hussein. the coalition against saddam has fallen apart or it’s unraveling, let’s put it that way. the sanctions are being violated. we don’t know whether he’s developing weapons of mass destruction. he better not be or there’s going to be a consequence should i be the president. but it’s important to have credibility and credibility is formed by being strong with your friends and resolute in your determination. one of the reasons why i think it’s important for this nation to develop an anti-ballistic missile system that we can share with our allies in the middle east if need be to keep the peace to be able to say to the saddam husseinâ€™s of the world or the iranians, don’t dare threaten our friends. it’s also important to keep strong ties in the middle east, credible ties, because of the energy crisis we’re now in. after all, a lot of the energy is produced from the middle east, and so i appreciate what the administration is doing. i hope to get a sense of should i be fortunate to be the president how my administration will react to the middle east. "
14,MODERATOR,"so you don’t believe, vice president gore, that we should take sides and resolve this right now? a lot of people pushing hey, the united states should declare itself and not be so neutral in this particular situation. "
15,GORE,"well, we stand with israel, but we have maintained the ability to serve as an honest broker. and one of the reasons that’s important is that israel cannot have direct dialogue with some of the people on the other side of conflicts, especially during times of tension, unless that dialogue comes through us. and if we throw away that ability to serve as an honest broker, then we have thrown — we will have thrown away a strategic asset that’s important not only to us but also to israel. "
16,MODERATOR,"you agree with that, governor? "
17,GEORGE W. BUSH,"i do. i do think this, though. when it comes to timetables it can’t be the united states timetable as to how discussions take place. it’s got to be a timetable that all parties can agree to, like the palestinians and israelis. secondly, any lasting peace is going to have to be a peace that’s good for both sides. and therefore, the term honest broker makes sense. this current administration’s worked hard to keep the parties at the table. i will try to do the same thing. but it won’t be on my timetable, it will be on the timetable that people are comfortable with in the middle east. "
18,MODERATOR,"people watching here tonight are very interested in middle east policy, and they are so interested they want to base their vote on differences between the two of you as president how you would handle middle east policy. is there any difference? "
19,GORE,i haven’t heard a big difference in the last few exchanges. 
20,GEORGE W. BUSH,"that’s hard to tell. i think that, you know, i would hope to be able to convince people i could handle the iraqi situation better. "
21,MODERATOR,"saddam hussein, you mean, get him out of there? "
22,GEORGE W. BUSH,"i would like to, of course, and i presume this administration would as well. we don’t know — there are no inspectors now in iraq, the coalition that was in place isn’t as strong as it used to be. he is a danger. we don’t want him fishing in troubled waters in the middle east. and it’s going to be hard, it’s going to be important to rebuild that coalition to keep the pressure on him. "
23,MODERATOR,you feel that is a failure of the clinton administration? 
24,GEORGE W. BUSH,i do. 
25,GORE,"well, when i got to be a part of the current administration, it was right after — i was one of the few members of my political party to support former president bush in the persian gulf war resolution, and at the end of that war, for whatever reason, it was not finished in a way that removed saddam hussein from power. i know there are all kinds of circumstances and explanations. but the fact is that that’s the situation that was left when i got there. and we have maintained the sanctions. now i want to go further. i want to give robust support to the groups that are trying to overthrow saddam hussein, and i know there are allegations that they’re too weak to do it, but that’s what they said about the forces that were opposing milosevic in serbia, and you know, the policy of enforcing sanctions against serbia has just resulted in a spectacular victory for democracy just in the past week, and it seems to me that having taken so long to see the sanctions work there, building upon the policy of containment that was successful over a much longer period of time against the former soviet union in the communist block, seems a little early to declare that we should give up on the sanctions. i know the governor’s not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, i’m told, except for three where they notified, and they’re trying to break out of the box, there’s no question about it. i don’t think they should be allowed to. "
26,MODERATOR,"did he state your position correctly, you’re not calling for eliminating the sanctions, are you? "
27,GEORGE W. BUSH,"no, of course not, absolutely not, i want them to be tougher. "
28,MODERATOR,"let’s go on to milosevic and yugoslavia, and it falls under the area of our military power. governor, new question. should the fall of milosevic be seen as a triumph for u.s. military intervention? "
29,GEORGE W. BUSH,"i think it’s a triumph. i thought the president made the right decision in joining nato and bombing serbia. i supported them when they did so. i called upon the congress not to hamstring the administration, and in terms of forcing troop withdrawals on a timetable that wasn’t necessarily in our best interest or fit our nation’s strategy, and so i think it’s good public policy, i think it worked, and i’m pleased i took — made the decision i made. i’m pleased the president made the decision he made. because freedom took hold in that part of the world, but there’s a lot of work left to be done, however. "
30,MODERATOR,but you think it would not have happened — do you think that milosevic would not have fallen if the united states and nato had not intervened militarily? is this a legitimate use of our military power? 
31,GEORGE W. BUSH,"yes, i think it is. absolutely. i don’t think he would have fallen had we not used the force. and i know there are some in our party that disagree with that sentiment. i supported the president. i thought he made the right decision to do so. i didn’t think he necessarily made the right decision to take land troops off the table right before we committed ourselves offensively, but nevertheless, it worked. the administration deserves credit for having made it work. it is important for nato to have it work. it’s important for nato to be strong and confident and to help keep the peace in europe. and one of the reasons i felt so strongly that the united states needed to participate was because of our relations with nato, and nato is going to be an important part of keeping the peace in the future. now, there’s more work to do. remains to be seen, however, whether or not there’s going to be a political settlement in kosovo, and i certainly hope there is one. iâ€™m on record as saying at some point in time i hope our european friends become the peacekeepers in bosnia and in the balkans. i hope that they put the troops on the ground so that we can withdraw our troops and focus our military on fighting and winning war. "
