,Speaker,Response
0,BROKAW,"good evening from belmont university in nashville, tennessee. i’m tom brokaw of nbc news. and welcome to this second presidential debate, sponsored by the commission on presidential debates. tonight’s debate is the only one with a town hall format. the gallup organization chose 80 uncommitted voters from the nashville area to be here with us tonight. and earlier today, each of them gave me a copy of their question for the candidates. from all of these questions — and from tens of thousands submitted online — i have selected a long list of excellent questions on domestic and foreign policy. neither the commission nor the candidates have seen the questions. and although we won’t be able to get to all of them tonight, we should have a wide-ranging discussion one month before the election. each candidate will have two minutes to respond to a common question, and there will be a one-minute follow-up. the audience here in the hall has agreed to be polite, and attentive, no cheering or outbursts. those of you at home, of course, are not so constrained. the only exception in the hall is right now, as it is my privilege to introduce the candidates, senator barack obama of illinois and senator john mccain of arizona. gentlemen? (applause) gentlemen, we want to get underway immediately, if we can. since you last met at ole miss 12 days ago, the world has changed a great deal, and not for the better. we still don’t know where the bottom is at this time. as you might expect, many of the questions that we have from here in the hall tonight and from online have to do with the american economy and, in fact, with global economic conditions. i understand that you flipped a coin. and, senator obama, you will begin tonight. and we’re going to have our first question from over here in section a from alan schaefer (ph). alan (ph)? question: with the economy on the downturn and retired and older citizens and workers losing their incomes, what’s the fastest, most positive solution to bail these people out of the economic ruin? "
1,OBAMA,"well, alan (ph), thank you very much for the question. i want to first, obviously, thank belmont university, tom, thank you, and to all of you who are participating tonight and those of you who sent e-mail questions in. i think everybody knows now we are in the worst financial crisis since the great depression. and a lot of you i think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college. and i believe this is a final verdict on the failed economic policies of the last eight years, strongly promoted by president bush and supported by senator mccain, that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us. it hasn’t worked out that way. and so now we’ve got to take some decisive action. "
2,OBAMA,"now, step one was a rescue package that was passed last week. we’ve got to make sure that works properly. and that means strong oversight, making sure that investors, taxpayers are getting their money back and treated as investors. it means that we are cracking down on ceos and making sure that they’re not getting bonuses or golden parachutes as a consequence of this package. and, in fact, we just found out that aig, a company that got a bailout, just a week after they got help went on a $400,000 junket. and i’ll tell you what, the treasury should demand that money back and those executives should be fired. but that’s only step one. the middle-class need a rescue package. and that means tax cuts for the middle-class. it means help for homeowners so that they can stay in their homes. it means that we are helping state and local governments set up road projects and bridge projects that keep people in their jobs. and then long-term we’ve got to fix our health care system, we’ve got to fix our energy system that is putting such an enormous burden on families. you need somebody working for you and you’ve got to have somebody in washington who is thinking about the middle class and not just those who can afford to hire lobbyists. "
3,BROKAW,senator mccain? 
4,MCCAIN,"well, thank you, tom. thank you, belmont university. and senator obama, it’s good to be with you at a town hall meeting. and, alan (ph), thank you for your question. you go to the heart of america’s worries tonight. americans are angry, they’re upset, and they’re a little fearful. it’s our job to fix the problem. now, i have a plan to fix this problem and it has got to do with energy independence. we’ve got to stop sending $700 billion a year to countries that don’t want us very — like us very much. we have to keep americans’ taxes low. all americans’ taxes low. let’s not raise taxes on anybody today. we obviously have to stop this spending spree that’s going on in washington. do you know that we’ve laid a $10 trillion debt on these young americans who are here with us tonight, $500 billion of it we owe to china? we’ve got to have a package of reforms and it has got to lead to reform prosperity and peace in the world. and i think that this problem has become so severe, as you know, that we’re going to have to do something about home values. you know that home values of retirees continues to decline and people are no longer able to afford their mortgage payments. as president of the united states, alan, i would order the secretary of the treasury to immediately buy up the bad home loan mortgages in america and renegotiate at the new value of those homes — at the diminished value of those homes and let people be able to make those — be able to make those payments and stay in their homes. is it expensive? yes. but we all know, my friends, until we stabilize home values in america, we’re never going to start turning around and creating jobs and fixing our economy. and we’ve got to give some trust and confidence back to america. i know how the do that, my friends. and it’s my proposal, it’s not senator obama’s proposal, it’s not president bush’s proposal. but i know how to get america working again, restore our economy and take care of working americans. thank you. "
5,BROKAW,"senator, we have one minute for a discussion here. obviously the powers of the treasury secretary have been greatly expanded. the most powerful officer in the cabinet now. hank paulson says he won’t stay on. who do you have in mind to appoint to that very important post? senator mccain? "
6,MCCAIN,"not you, tom. (laughter) "
7,BROKAW,"no, with good reason. "
8,MCCAIN,"you know, that’s a tough question and there’s a lot of qualified americans. but i think the first criteria, tom, would have to be somebody who immediately americans identify with, immediately say, we can trust that individual. a supporter of senator obama’s is warren buffett. he has already weighed in and helped stabilize some of the difficulties in the markets and with companies and corporations, institutions today. i like meg whitman, she knows what it’s like to be out there in the marketplace. she knows how to create jobs. meg whitman was ceo of a company that started with 12 people and is now 1.3 million people in america make their living off ebay. maybe somebody here has done a little business with them. but the point is it’s going to have to be somebody who inspires trust and confidence. because the problem in america today to a large extent, tom, is that we don’t have trust and confidence in our institutions because of the corruption on wall street and the greed and excess and the cronyism in washington, d.c. "
9,BROKAW,"all right. senator mccain — senator obama, who do you have in mind for treasury secretary? "
