,Speaker,Response
0,CROWLEY,"good evening from hofstra university in hempstead, new york. i’m candy crowley from cnn’s “state of the union.” we are here for the second presidential debate, a town hall, sponsored by the commission on presidential debates. "
1,CROWLEY,"the gallup organization chose 82 uncommitted voters from the new york area. their questions will drive the night. my goal is to give the conversation direction and to ensure questions get answered. the questions are known to me and my team only. neither the commission, nor the candidates have seen them. i hope to get to as many questions as possible. "
2,CROWLEY,"and because i am the optimistic sort, i’m sure the candidates will oblige by keeping their answers concise and on point. each candidate has as much as two minutes to respond to a common question, and there will be a two-minute follow-up. the audience here in the hall has agreed to be polite and attentive — no cheering or booing or outbursts of any sort. we will set aside that agreement just this once to welcome president barack obama and governor mitt romney. (applause) gentlemen, thank you both for joining us here tonight. we have a lot of folks who’ve been waiting all day to talk to you, so i want to get right to it. governor romney, as you know, you won the coin toss, so the first question will go to you. and i want to turn to a first-time voter, jeremy epstein, who has a question for you. "
3,QUESTION,"mr. president, governor romney, as a 20-year-old college student, all i hear from professors, neighbors and others is that when i graduate, i will have little chance to get employment. what can you say to reassure me, but more importantly my parents, that i will be able to sufficiently support myself after i graduate? "
4,ROMNEY,"thank you, jeremy. i appreciate your — your question, and thank you for being here this evening and to all of those from nassau county that have come, thank you for your time. thank you to hofstra university and to candy crowley for organizing and leading this — this event. thank you, mr. president, also for being part of this — this debate. your question — your question is one that’s being asked by college kids all over this country. i was in pennsylvania with someone who had just graduated — this was in philadelphia — and she said, “i’ve got my degree. i can’t find a job. i’ve got three part- time jobs. they’re just barely enough to pay for my food and pay for an apartment. i can’t begin to pay back my student loans.” so what we have to do is two things. we have to make sure that we make it easier for kids to afford college. "
5,ROMNEY,"and also make sure that when they get out of college, there’s a job. when i was governor of massachusetts, to get a high school degree, you had to pass an exam. if you graduated in the top quarter of your airlines, we gave you a john and abigail adams scholarship, four years tuition free in the college of your choice in massachusetts, it’s a public institution. i want to make sure we keep our pell grant program growing. we’re also going to have our loan program, so that people are able to afford school. but the key thing is to make sure you can get a job when you get out of school. and what’s happened over the last four years has been very, very hard for america’s young people. i want you to be able to get a job. i know what it takes to get this economy going. with half of college kids graduating this year without a college — excuse me, without a job. and without a college level job, that’s just unacceptable. and likewise you’ve got more and more debt on your back. so more debt and less jobs. i’m going to change that. i know what it takes to create good jobs again. i know what it takes to make sure that you have the kind of opportunity you deserve. and kids across this country are going to recognize, we’re bringing back an economy. it’s not going to be like the last four years. the middle-class has been crushed over the last four years, and jobs have been too scarce. i know what it takes to bring them back, and i’m going to do that, and make sure that when you graduate — when do you graduate? "
6,QUESTION,2014. 
7,ROMNEY,"2014. when you come out in 2014, i presume i’m going to be president. i’m going to make sure you get a job. thanks jeremy. yeah, you bet. "
8,CROWLEY,mr. president? 
9,OBAMA,"jeremy, first of all, your future is bright. and the fact that you’re making an investment in higher education is critical. not just to you, but to the entire nation. now, the most important thing we can do is to make sure that we are creating jobs in this country. but not just jobs, good paying jobs. ones that can support a family. "
10,OBAMA,"and what i want to do, is build on the five million jobs that we’ve created over the last 30 months in the private sector alone. and there are a bunch of things we can do to make sure your future is bright. number one, i want to build manufacturing jobs in this country again. now when governor romney said we should let detroit go bankrupt. i said we’re going to bet on american workers and the american auto industry and it’s come surging back. i want to do that in industries, not just in detroit, but all across the country and that means we change our tax code so we’re giving incentives to companies that are investing here in the united states and creating jobs here. it also means we’re helping them and small businesses to export all around the world to new markets. number two, we’ve got to make sure that we have the best education system in the world. and the fact that you’re going to college is great, but i want everybody to get a great education and we’ve worked hard to make sure that student loans are available for folks like you, but i also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future. number three, we’ve got to control our own energy. now, not only oil and natural gas, which we’ve been investing in; but also, we’ve got to make sure we’re building the energy source of the future, not just thinking about next year, but ten years from now, 20 years from now. that’s why we’ve invested in solar and wind and biofuels, energy efficient cars. we’ve got to reduce our deficit, but we’ve got to do it in a balanced way. asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours. and let’s take the money that we’ve been spending on war over the last decade to rebuild america, roads, bridges schools. we do those things, not only is your future going to be bright but america’s future is going to bright as well. "
11,CROWLEY,let me ask you for more immediate answer and begin with mr. romney just quickly what — what can you do? we’re looking at a situation where 40 percent of the unemployed have been unemployed have been unemployed for six months or more. they don’t have the two years that jeremy has. what about those long term unemployed who need a job right now? 
