,Speaker,Response
0,MR. NEWMAN,"dorothy ridings, thank you. a brief word about our procedure tonight. the first question will go to mr. mondale. he’ll have 2\1/2\ minutes to reply. then the panel member who put the question will ask a followup. the answer to that will be limited to 1 minute. after that, the same question will be put to president reagan. again, there will be a followup. and then each man will have 1 minute for rebuttal. the second question will go to president reagan first. after that, the alternating will continue. at the end there will be 4-minute summations, with president reagan going last. we have asked the questioners to be brief. let’s begin. ms. geyer, your question to mr. mondale. central america "
1,MS. GEYER,"mr. mondale, two related questions on the crucial issue of central america. you and the democratic party have said that the only policy toward the horrendous civil wars in central america should be on the economic development and negotiations, with perhaps a quarantine of marxist nicaragua. do you believe that these answers would in any way solve the bitter conflicts there? do you really believe that there is no need to resort to force at all? are not the solutions to central america’s gnawing problems simply, again, too weak and too late? "
2,MR. MONDALE,"i believe that the question oversimplifies the difficulties of what we must do in central america. our objectives ought to be to strengthen the democracies, to stop communist and other extremist influences, and stabilize the community in that area. to do that we need a three-pronged attack: one is military assistance to our friends who are being pressured; secondly, a strong and sophisticated economic aid program and human rights program that offers a better life and a sharper alternative to the alternative offered by the totalitarians who oppose us; and finally, a strong diplomatic effort that pursues the possibilities of peace in the area. that’s one of the big disagreements that we have with the president — that they have not pursued the diplomatic opportunities either within el salvador or as between the countries and have lost time during which we might have been able to achieve a peace this brings up the whole question of what presidential leadership is all about. i think the lesson in central america, this recent embarrassment in nicaragua where we are giving instructions for hired assassins, hiring criminals, and the rest — all of this has strengthened our opponents. a president must not only assure that we’re tough, but we must also be wise and smart in the exercise of that power. we saw the same thing in lebanon, where we spent a good deal of america’s assets. but because the leadership of this government did not pursue wise policies, we have been humiliated, and our opponents are stronger. the bottom line of national strength is that the president must be in command, he must lead. and when a president doesn’t know that submarine missiles are recallable, says that 70 percent of our strategic forces are conventional, discovers 3 years into his administration that our arms control efforts have failed because he didn’t know that most soviet missiles were on land — these are things a president must know to command. a president is called the commander in chief. and he’s called that because he’s supposed to be in charge of the facts and run our government and strengthen our nation. "
3,MS. GEYER,"mr. mondale, if i could broaden the question just a little bit: since world war ii, every conflict that we as americans have been involved with has been in non-conventional or irregular terms. and yet, we keep fighting in conventional or traditional military terms. the central american wars are very much in the same pattern as china, as lebanon, as iran, as cuba, in their early days. do you see any possibility that we are going to realize the change in warfare in our time, or react to it in those terms? "
4,MR. MONDALE,"we absolutely must, which is why i responded to your first question the way i did. it’s much more complex. you must understand the region; you must understand the politics in the area; you must provide a strong alternative; and you must show strength — and all at the same time. that’s why i object to the covert action in nicaragua. that’s a classic example of a strategy that’s embarrassed us, strengthened our opposition, and undermined the moral authority of our people and our country in the region. strength requires knowledge, command. we’ve seen in the nicaraguan example a policy that has actually hurt us, strengthened our opposition, and undermined the moral authority of our country in that region. "
5,MS. GEYER,"mr. president, in the last few months it has seemed more and more that your policies in central america were beginning to work. yet, just at this moment, we are confronted with the extraordinary story of a cia guerrilla manual for the anti-sandinista contras whom we are backing, which advocates not only assassinations of sandinistas but the hiring of criminals to assassinate the guerrillas we are supporting in order to create martyrs. is this not, in effect, our own state-supported terrorism? "
6,MR. REAGAN,"no, but i’m glad you asked that question, because i know it’s on many peoples’ minds. i have ordered an investigation. i know that the cia is already going forward with one. we have a gentleman down in nicaragua who is on contract to the cia, advising — supposedly on military tactics — the contras. and he drew up this manual. it was turned over to the agency head of the cia in nicaragua to be printed. and a number of pages were excised by that agency head there, the man in charge, and he sent it on up here to cia, where more pages were excised before it was printed. but some way or other, there were 12 of the original copies that got out down there and were not submitted for this printing process by the cia. now, those are the details as we have them. and as soon as we have an investigation and find out where any blame lies for the few that did not get excised or changed, we certainly are going to do something about that. we’ll take the proper action at the proper time. i was very interested to hear about central america and our process down there, and i thought for a moment that instead of a debate i was going to find mr. mondale in complete agreement with what we’re doing, because the plan that he has outlined is the one we’ve been following for quite some time, including diplomatic processes throughout central america and working closely with the contadora group. so, i can only tell you about the manual — that we’re not in the habit of assigning guilt before there has been proper evidence produced and proof of that guilt. but if guilt is established, whoever is guilty we will treat with that situation then, and they will be removed. "
7,MS. GEYER,"well, mr. president, you are implying then that the cia in nicaragua is directing the contras there. i’d also like to ask whether having the cia investigate its own manual in such a sensitive area is not sort of like sending the fox into the chicken coop a second time? "
8,MR. REAGAN,"i’m afraid i misspoke when i said a cia head in nicaragua. there’s not someone there directing all of this activity. there are, as you know, cia men stationed in other countries in the world and, certainly, in central america. and so it was a man down there in that area that this was delivered to, and he recognized that what was in that manual was in direct contravention of my own executive order, in december of 1981, that we would have nothing to do with regard to political assassinations. "
9,MR. NEWMAN,"mr. mondale, your rebuttal. "
