,Speaker,Response
0,SCHIEFFER,"good evening from arizona state university in tempe, arizona. i’m bob schieffer of cbs news. i want to welcome you to the third and last of the 2004 debates between president george bush and senator john kerry. as jim lehrer told you before the first one, these debates are sponsored by the commission on presidential debates. tonight the topic will be domestic affairs, but the format will be the same as that first debate. i’ll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. i have not told the candidates or anyone else what they are. to refresh your memory on the rules, i will ask a question. the candidate is allowed two minutes to answer. his opponent then has a minute and a half to offer a rebuttal. at my discretion, i can extend the discussion by offering each candidate an additional 30 seconds. a green light will come on to signal the candidate has 30 seconds left. a yellow light signals 15 seconds left. a red light means five seconds left. there is also a buzzer, if it is needed. the candidates may not question each other directly. there are no opening statements, but there will be two-minute closing statements. there is an audience here tonight, but they have agreed to remain silent, except for right now, when they join me in welcoming president george bush and senator john kerry. (applause) gentlemen, welcome to you both. by coin toss, the first question goes to senator kerry. senator, i want to set the stage for this discussion by asking the question that i think hangs over all of our politics today and is probably on the minds of many people watching this debate tonight. and that is, will our children and grandchildren ever live in a world as safe and secure as the world in which we grew up? "
1,KERRY,"well, first of all, bob, thank you for moderating tonight. thank you, arizona state, for welcoming us. and thank you to the presidential commission for undertaking this enormous task. we’re proud to be here. mr. president, i’m glad to be here with you again to share similarities and differences with the american people. will we ever be safe and secure again? yes. we absolutely must be. that’s the goal. now, how do we achieve it is the most critical component of it. i believe that this president, regrettably, rushed us into a war, made decisions about foreign policy, pushed alliances away. and, as a result, america is now bearing this extraordinary burden where we are not as safe as we ought to be. the measurement is not: are we safer? the measurement is: are we as safe as we ought to be? and there are a host of options that this president had available to him, like making sure that at all our ports in america containers are inspected. only 95 percent of them — 95 percent come in today uninspected. that’s not good enough. people who fly on airplanes today, the cargo hold is not x-rayed, but the baggage is. that’s not good enough. firehouses don’t have enough firefighters in them. police officers are being cut from the streets of america because the president decided to cut the cops program. so we can do a better job of homeland security. i can do a better job of waging a smarter, more effective war on terror and guarantee that we will go after the terrorists. i will hunt them down, and we’ll kill them, we’ll capture them. we’ll do whatever is necessary to be safe. but i pledge this to you, america: i will do it in the way that franklin roosevelt and ronald reagan and john kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure. "
2,SCHIEFFER,"mr. president, you have 90 seconds. "
3,GEORGE W. BUSH,"bob, thank you very much. i want to thank arizona state as well. yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world. i have got a comprehensive strategy to not only chase down the al qaida, wherever it exists — and we’re making progress; three-quarters of al qaida leaders have been brought to justice — but to make sure that countries that harbor terrorists are held to account. as a result of securing ourselves and ridding the taliban out of afghanistan, the afghan people had elections this weekend. and the first voter was a 19-year-old woman. think about that. freedom is on the march. we held to account a terrorist regime in saddam hussein. in other words, in order to make sure we’re secure, there must be a comprehensive plan. my opponent just this weekend talked about how terrorism could be reduced to a nuisance, comparing it to prostitution, illegal gambling. i think that attitude and that point of view is dangerous. i don’t think you can secure america for the long run if you don’t have a comprehensive view as to how to defeat these people. at home, we’ll do everything we can to protect the homeland. i signed the homeland security bill to better align our assets and resources. my opponent voted against it. we’re doing everything we can to protect our borders and ports. but absolutely we can be secure in the long run. it just takes good, strong leadership. "
4,SCHIEFFER,"anything to add, senator kerry? "
5,KERRY,"yes. when the president had an opportunity to capture or kill osama bin laden, he took his focus off of them, outsourced the job to afghan warlords, and osama bin laden escaped. six months after he said osama bin laden must be caught dead or alive, this president was asked, “where is osama bin laden? ” he said, “i don’t know. i don’t really think about him very much. i’m not that concerned. “ we need a president who stays deadly focused on the real war on terror. "
6,SCHIEFFER,mr. president? 
7,GEORGE W. BUSH,"gosh, i just don’t think i ever said i’m not worried about osama bin laden. it’s kind of one of those exaggerations. of course we’re worried about osama bin laden. we’re on the hunt after osama bin laden. we’re using every asset at our disposal to get osama bin laden. my opponent said this war is a matter of intelligence and law enforcement. no, this war is a matter of using every asset at our disposal to keep the american people protected. "
8,SCHIEFFER,"new question, mr. president, to you. we are talking about protecting ourselves from the unexpected, but the flu season is suddenly upon us. flu kills thousands of people every year. suddenly we find ourselves with a severe shortage of flu vaccine. how did that happen? "
9,GEORGE W. BUSH,"bob, we relied upon a company out of england to provide about half of the flu vaccines for the united states citizen, and it turned out that the vaccine they were producing was contaminated. and so we took the right action and didn’t allow contaminated medicine into our country. we’re working with canada to hopefully — that they’ll produce a — help us realize the vaccine necessary to make sure our citizens have got flu vaccinations during this upcoming season. my call to our fellow americans is if you’re healthy, if you’re younger, don’t get a flu shot this year. help us prioritize those who need to get the flu shot, the elderly and the young. the cdc, responsible for health in the united states, is setting those priorities and is allocating the flu vaccine accordingly. i haven’t gotten a flu shot, and i don’t intend to because i want to make sure those who are most vulnerable get treated. we have a problem with litigation in the united states of america. vaccine manufacturers are worried about getting sued, and therefore they have backed off from providing this kind of vaccine. one of the reasons i’m such a strong believer in legal reform is so that people aren’t afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law. but the best thing we can do now, bob, given the circumstances with the company in england is for those of us who are younger and healthy, don’t get a flu shot. "
10,SCHIEFFER,senator kerry? 
11,KERRY,"this really underscores the problem with the american health-care system. it’s not working for the american family. and it’s gotten worse under president bush over the course of the last years. five million americans have lost their health insurance in this country. you’ve got about a million right here in arizona, just shy, 950,000, who have no health insurance at all. 82,000 arizonians lost their health insurance under president bush’s watch. 223,000 kids in arizona have no health insurance at all. all across our country — go to ohio, 1. 4 million ohioans have no health insurance, 114,000 of them lost it under president bush; wisconsin, 82,000 wisconsinites lost it under president bush. this president has turned his back on the wellness of america. and there is no system. in fact, it’s starting to fall apart not because of lawsuits — though they are a problem, and john edwards and i are committed to fixing them — but because of the larger issue that we don’t cover americans. children across our country don’t have health care. we’re the richest country on the face of the planet, the only industrialized nation in the world not to do it. i have a plan to cover all americans. we’re going to make it affordable and accessible. we’re going to let everybody buy into the same health-care plan senators and congressmen give themselves. "
12,SCHIEFFER,"mr. president, would you like to add something? "
13,GEORGE W. BUSH,"i would. thank you. i want to remind people listening tonight that a plan is not a litany of complaints, and a plan is not to lay out programs that you can’t pay for. he just said he wants everybody to be able to buy in to the same plan that senators and congressmen get. that costs the government $7,700 per family. if every family in america signed up, like the senator suggested, if would cost us $5 trillion over 10 years. it’s an empty promise. it’s called bait and switch. "
14,SCHIEFFER,time’s up. 
15,GEORGE W. BUSH,thank you. 
16,KERRY,"actually, it’s not an empty promise. it’s really interesting, because the president used that very plan as a reason for seniors to accept his prescription drug plan. he said, if it’s good enough for the congressmen and senators to have choice, seniors ought to have choice. what we do is we have choice. i choose blue cross/blue shield. other senators, other congressmen choose other programs. but the fact is, we’re going to help americans be able to buy into it. those that can afford it are going to buy in themselves. we’re not giving this away for nothing. "
17,SCHIEFFER,"all right. senator kerry, a new question. let’s talk about economic security. you pledged during the last debate that you would not raise taxes on those making less than $200,000 a year. but the price of everything is going up, and we all know it. health-care costs, as you are talking about, is skyrocketing, the cost of the war. my question is, how can you or any president, whoever is elected next time, keep that pledge without running this country deeper into debt and passing on more of the bills that we’re running up to our children? "
18,KERRY,"i’ll tell you exactly how i can do it: by reinstating what president bush took away, which is called pay as you go. during the 1990s, we had pay-as-you-go rules. if you were going to pass something in the congress, you had to show where you are going to pay for it and how. president bush has taken — he’s the only president in history to do this. he’s also the only president in 72 years to lose jobs — 1. 6 million jobs lost. he’s the only president to have incomes of families go down for the last three years; the only president to see exports go down; the only president to see the lowest level of business investment in our country as it is today. now, i’m going to reverse that. i’m going to change that. we’re going to restore the fiscal discipline we had in the 1990s. every plan that i have laid out — my health-care plan, my plan for education, my plan for kids to be able to get better college loans — i’ve shown exactly how i’m going to pay for those. and we start — we don’t do it exclusively — but we start by rolling back george bush’s unaffordable tax cut for the wealthiest people, people earning more than $200,000 a year, and we pass, hopefully, the mccain-kerry commission which identified some $60 billion that we can get. we shut the loophole which has american workers actually subsidizing the loss of their own job. they just passed an expansion of that loophole in the last few days: $43 billion of giveaways, including favors to the oil and gas industry and the people importing ceiling fans from china. i’m going to stand up and fight for the american worker. and i am going to do it in a way that’s fiscally sound. i show how i pay for the health care, how we pay for the education. i have a manufacturing jobs credit. we pay for it by shutting that loophole overseas. we raise the student loans. i pay for it by changing the relationship with the banks. this president has never once vetoed one bill; the first president in a hundred years not to do that. "
19,SCHIEFFER,mr. president? 
20,GEORGE W. BUSH,"well, his rhetoric doesn’t match his record. he been a senator for 20 years. he voted to increase taxes 98 times. when they tried to reduce taxes, he voted against that 127 times. he talks about being a fiscal conservative, or fiscally sound, but he voted over — he voted 277 times to waive the budget caps, which would have cost the taxpayers $4. 2 trillion. he talks about paygo. i’ll tell you what paygo means, when you’re a senator from massachusetts, when you’re a colleague of ted kennedy, pay go means: you pay, and he goes ahead and spends. he’s proposed $2. 2 trillion of new spending, and yet the so-called tax on the rich, which is also a tax on many small-business owners in america, raises $600 million by our account — billion, $800 billion by his account. there is a tax gap. and guess who usually ends up filling the tax gap? the middle class. i propose a detailed budget, bob. i sent up my budget man to the congress, and he says, here’s how we’re going to reduce the deficit in half by five years. it requires pro-growth policies that grow our economy and fiscal sanity in the halls of congress. "
21,SCHIEFFER,"let’s go to a new question, mr. president. two minutes. and let’s continue on jobs. you know, there are all kind of statistics out there, but i want to bring it down to an individual. mr. president, what do you say to someone in this country who has lost his job to someone overseas who’s being paid a fraction of what that job paid here in the united states? "
22,GEORGE W. BUSH,"i’d say, bob, i’ve got policies to continue to grow our economy and create the jobs of the 21st century. and here’s some help for you to go get an education. here’s some help for you to go to a community college. we’ve expanded trade adjustment assistance. we want to help pay for you to gain the skills necessary to fill the jobs of the 21st century. you know, there’s a lot of talk about how to keep the economy growing. we talk about fiscal matters. but perhaps the best way to keep jobs here in america and to keep this economy growing is to make sure our education system works. i went to washington to solve problems. and i saw a problem in the public education system in america. they were just shuffling too many kids through the system, year after year, grade after grade, without learning the basics. and so we said: let’s raise the standards. we’re spending more money, but let’s raise the standards and measure early and solve problems now, before it’s too late. no, education is how to help the person who’s lost a job. education is how to make sure we’ve got a workforce that’s productive and competitive. got four more years, i’ve got more to do to continue to raise standards, to continue to reward teachers and school districts that are working, to emphasize math and science in the classrooms, to continue to expand pell grants to make sure that people have an opportunity to start their career with a college diploma. and so the person you talked to, i say, here’s some help, here’s some trade adjustment assistance money for you to go a community college in your neighborhood, a community college which is providing the skills necessary to fill the jobs of the 21st century. and that’s what i would say to that person. "
23,SCHIEFFER,senator kerry? 
24,KERRY,"i want you to notice how the president switched away from jobs and started talking about education principally. let me come back in one moment to that, but i want to speak for a second, if i can, to what the president said about fiscal responsibility. being lectured by the president on fiscal responsibility is a little bit like tony soprano talking to me about law and order in this country. (laughter) this president has taken a $5. 6 trillion surplus and turned it into deficits as far as the eye can see. health-care costs for the average american have gone up 64 percent; tuitions have gone up 35 percent; gasoline prices up 30 percent; medicare premiums went up 17 percent a few days ago; prescription drugs are up 12 percent a year. but guess what, america? the wages of americans have gone down. the jobs that are being created in arizona right now are paying about $13,700 less than the jobs that we’re losing. and the president just walks on by this problem. the fact is that he’s cut job-training money. $1 billion was cut. they only added a little bit back this year because it’s an election year. they’ve cut the pell grants and the perkins loans to help kids be able to go to college. they’ve cut the training money. they’ve wound up not even extending unemployment benefits and not even extending health care to those people who are unemployed. i’m going to do those things, because that’s what’s right in america: help workers to transition in every respect. "
25,SCHIEFFER,"new question to you, senator kerry, two minutes. and it’s still on jobs. you know, many experts say that a president really doesn’t have much control over jobs. for example, if someone invents a machine that does the work of five people, that’s progress. that’s not the president’s fault. so i ask you, is it fair to blame the administration entirely for this loss of jobs? "
