,Speaker,Response
0,MS. WALTERS,"good evening, i’m barbara walters, moderator of the last of the debates of 1976 between gerald r. ford, republican candidate for president, and jimmy carter, democratic candidate for president. welcome, president ford. welcome, governor carter. and thank you for joining us this evening. this debate takes place before an audience in phi beta kappa memorial hall on the campus of the college of william and mary in historic williamsburg, virginia. it is particularly appropriate that in this bicentennial year we meet on these grounds to hear this debate. two hundred years ago, five william and mary students met at nearby raleigh tavern to form phi beta kappa, a fraternity designed, they wrote, to search out and dispel the clouds of falsehood by debating without reserve the issues of the day. in that spirit of debate, without reserve, to dispel the clouds of falsehood, gentlemen, let us proceed. the subject matter of this debate is open, covering all issues and topics. our questioners tonight are joseph kraft, syndicated columnist; robert maynard, editorial writer for the washington post; and jack nelson, washington bureau chief of the los angeles times. the ground rules tonight are as follows: questioners will alternate questions between the candidates. the candidate has up to two and one-half minutes to answer the question. the other candidate has up to two minutes to respond. if necessary, a questioner may ask a follow-up question for further clarification, and in that case the candidate has up to two minutes to respond. as was initially agreed to by both candidates, the answers should be responsive to the particular questions. finally, each candidate has up to three minutes for a closing statement. president ford and governor carter do not have prepared notes or comments with them this evening, but they may make notes and refer to them during the debate. it has been determined that president ford would take the first question in this last debate, and mr. kraft, you have that first question for president ford. "
1,MR. KRAFT,"mr. president, uh – i assume that the americans all know that these are difficult times and that there’s no “pie in the sky” and that they don’t expect something for nothing. uh – so, i’d like to ask you as a first question as you look ahead in the next four years, what sacrifices are you going to call on the american people to make, what price are you going to ask them to pay uh – to realize your objectives? uh – let me add, uh – governor carter, that if – if you felt uh – that it was appropriate to answer that question in – in your comments uh – as to what price it would be appropriate for the american pay – people to pay uh – for a carter administration, i think that would be proper too. mr. president? "
2,MR. FORD,"mr. kraft, i believe that the american people, in the next four years under a ford administration, will be called upon to make those necessary sacrifices to preserve the peace which we have. which means, of course, that uh – we will have to maintain an adequate military capability – which means, of course, that we will have to add a uh – i think uh – a few billion dollars to our defense appropriations to make certain that we have adequate uh -strategic forces – adequate conventional forces. i think the american people will be called upon to uh – uh – be in the forefront in giving leadership to the solution of those problems that must be solved in the middle east, in southern africa, and any problems that might arise in the pacific. the american people will be called upon to tighten their belts a bit in meeting some of the problems that we face domestically. i don’t think that uh – america can go on a big spending spree with a whole lot of new programs uh – that would add significantly to the federal budget. i believe that the american people, if given the leadership that i would expect to give, would be willing to give this thrust to preserve the peace and the necessary restraint at home to hold the lid on spending so that we could, i think, have a long overdue and totally justified tax decrease for the middle-income people. and then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then i think the american people would be willing to make those sacrifices for peace and prosperity in the next uh – four years. "
3,MR. KRAFT,"could i be a little bit more specific, mr. president? "
4,MR. FORD,"surely, surely, overlapping. doesn’t your policy really imply that we’re going to have a fairly high rate of unemployment over a fairly long time, that growth is gonna be fairly slow, and that we’re not gonna be able to do much – very much in the next four or five years to meet the basic agenda of our national needs in the cities, in health, uh in transit and a whole lot of things like that. "
5,MR. FORD,"not at all. overlapping, aren’t those the real costs? "
6,MR. FORD,"no, mr. kraft, we’re spending very significant amounts of money now, some $200 billion a year, almost 50 percent of our total federal expenditure uh – by the federal government at the present time for human needs. now we will probably need to increase that to same extent. but we don’t have to have – growth in spending that will blow the lid off and add to the problems of inflation. i believe we can meet the problems within the cities of this country and still uh – give a tax reduction. i proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars. with the fiscal program that i have, and if you look at the projections, it shows that we will reduce unemployment, that we will continue to win the battle against inflation, and at the same time give the kind of quality of life that i believe is possible in america. uh – a job, a home for all those that’ll work and save for it, uh – safety in the streets, uh – health that is a – health care that is affordable. these things can be done if we have the right vision and the right restraint and the right leadership. "
7,MS. WALTERS,"thank you. governor carter, your response please. "
8,MR. CARTER,"well i might say first of all that i think in case of the carter administration the sacrifices would be much less. mr. ford’s own uh – environmental agency has projected a 10 percent unemployment rate by 1978 if he’s uh – president. the american people are ready to make sacrifices if they are part of the process. if they know that they will be helping to make decisions and won’t be excluded from being an involved party to the national purpose. the major effort we must put forward is to put our people back to work. and i think that this uh – is one example where uh – a lot of people have selfish, grasping ideas now. i remember 1973 in the depth of the uh – energy crisis when president nixon called on the american people to make a sacrifice, to cut down on the waste of uh – gasoline, to cut down on the uh – speed of automobiles. it was a – a tremendous surge of patriotism, that “i want to make a sacrifice for my country.” i think we uh – could call together, with strong leadership in the white house, business, industry and labor, and say let’s have voluntary price restraints. let’s lay down some guidelines so we don’t have continuing inflation. we can also have a- an end to the extremes. we now have one extreme for instance, of some welfare recipients, who by taking advantage of the welfare laws, the housing laws, the uh – medicaid uh – laws, and the uh – food stamp laws, make over $10 thousand a year and uh – they don’t have to pay any taxes on it. at the other extreme, uh – just 1 percent of the richest people in our country derive 25 percent of all the tax benefits. so both those extremes grasp for advantage and the person who has to pay that expense is the middle-income family who’s still working for a living and they have to pay for the rich who have privilege, and for the poor who are not working. but i think uh – uh – a balanced approach, with everybody being part of it and a striving for unselfishness, could help as it did in 1973 to let people sacrifice for their own country. i know i’m ready for it. i think the american people are too. "
9,MS. WALTERS,"thank you. mr. maynard, your question for governor carter. "
10,MR. MAYNARD,"governor, by all indications, the voters are so turned off by this election campaign so far that only half intend to vote. one major reason for this apathetic electorate appears to be the low level at which this campaign has been conducted. it has digressed frequently from important issues into allegations of blunder and brainwashing and fixations on lust and playboy. what responsibility do you accept for the low level of this campaign for the nation’s highest office? "
11,MR. CARTER,"i think the major reason for a decrease in participation that we have experienced ever since 1960 has been the deep discouragement of the american people about the performance of public officials. when you’ve got seven and a half, eight million people out of work, and you’ve got three times as much inflation as you had during the last eight-year democratic administration, when you have the highest deficits in history; when you have it uh – becoming increasingly difficult far a family to put a child through college or to own a home, there’s a natural inclination to be turned off. also, in the aftermath of vietnam and cambodia and uh – watergate and uh – the cia revelations, people have feel – have felt that they’ve uh been betrayed by public officials, i have to admit that in the uh – heat of the campaign – i’ve been in thirty primaries during the springtime, i’ve been campaigning for twenty-two months – i’ve made some mistakes. and i think this is uh – uh – part of uh – of just being a human being. i – i have to say that my campaign has been an open one. and uh – the playboy thing has been of great – very great concern to me. i don’t know how to deal with it exactly. uh – i uh – agreed to give the interview uh – to playboy other people have done it who are notable – uh – governor jerry brown, uh – walter cronkite, uh – albert schweitzer, mr. ford’s own secretary of the treasury, mr. simon, uh – william buckley – many other people. but they weren’t running for president, and in retrospect, from hindsight, i would not have given that uh – interview had i do it – had it – i to do it over again. if i should ever decide in the future to discuss my – my deep christian beliefs and uh – condemnation and sinfulness, i’ll use another forum besides playboy. but i can say this, uh – i’m doing the best i can to get away from that, and during the next ten days, the american people will not see the carter campaign running uh – television advertisements and newspaper advertisements based on a personal attack on president ford’s character. i believe that the opposite is true with president ford’s campaign, and uh – i hope that we can leave those issues in this next ten days about personalities and mistakes of the past – we’ve both made some mistakes – and talk about unemployment, inflation, housing, education, taxation, government organization, stripping away of secrecy, and the things that are crucial to the american people. i regret the things in my own long campaign that have been mistaken, but i’m trying to do away with those the last ten days. "
12,MS. WALTERS,"thank you, governor carter. president ford, your response. "
13,MR. FORD,"i believe that the uh – american people have been turned off in this election, uh – mr. maynard, for a variety of reasons. we have seen on capitol hill, in the congress, uh – a great many uh – allegations of wrong-doing, of uh – alleged immorality, uh – those are very disturbing to the american people. they wonder how an elected representative uh – can serve them and participate in such activities uh – serving in the congress of the united states. yes, and i’m certain many, many americans were turned off by the revelations of watergate, a very, very uh – bad period of time in american political history. yes, and thousands, maybe millions of americans were turned off because of the uh – problems that came out of our involvement in vietnam. but on the other hand, i found on july fourth of this year, a new spirit born in america. we were celebrating our bicentennial; and i find that uh – there is a – a movement as i travel around the country of greater interest in this campaign. now, like uh – any hardworking uh – person seeking public office uh – in the campaign, inevitably sometimes you will use uh – rather graphic language and i’m guilty of that just like i think most others in the political arena. but i do make a pledge that in the next ten days when we’re asking the american people to make one of the most important decisions in their lifetime, because i think this election is one of the mast vital in the history of america, that uh – we do together what we can to stimulate voter participation. "
14,MS. WALTERS,"thank you, president ford. mr. nelson, your question to president ford. "
15,MR. NELSON,"uh – mr. president, you mentioned watergate, and you became president because of watergate, so don’t you owe the american people a special obligation to explain in detail your role of limiting one of the original investigations of watergate, that was the one by the house banking committee? and, i know you’ve answered questions on this before, but there are questions that still remain and i think people want to know what your role was. will you name the persons you talked to in connection with that investigation, and since you say you have no recollection of talking to anyone from the white house, would you be willing to open for examination the white house tapes of conversations uh – during that period? "
