,Speaker,Response
0,LEHRER,"good evening. welcome to this third and final debate among the three major candidates for president of the us. governor bill clinton, the democratic nominee, president george bush, the republican nominee, — (applause) — and independent candidate ross perot. (applause) i am jim lehrer of the macneil-lehrer newshour on pbs. i will be the moderator for this debate, which is being sponsored by the commission on presidential debates. it will be 90 minutes long. it is happening before an audience on the campus of michigan state university in east lansing. the format was conceived by and agreed to by representatives of the bush and clinton campaigns, and it is somewhat different than those used in the earlier debates. i will ask questions for the first half under rules that permit follow-ups. a panel of 3 other journalists will ask questions in the 2nd half under rules that do not. as always, each candidate will have 2 minutes, up to 2 minutes, to make a closing statement. the order of those, as well as that for the formal questioning, were all determined by a drawing. gentlemen, again welcome and again good evening. it seems, from what some of those voters said at your richmond debate, and from polling and other data, that each of you, fairly or not, faces serious voter concerns about the underlying credibility and believability of what each of you says you would do as president in the next 4 years. governor clinton, in accordance with the draw, those concerns about you are first: you are promising to create jobs, reduce the deficit, reform the health care system, rebuild the infrastructure, guarantee college education for everyone who is qualified, among many other things, all with financial pain only for the very rich. some people are having trouble apparently believing that is possible. should they have that concern? governor "
1,BILL CLINTON,"no. there are many people who believe that the only way we can get this country turned around is to tax the middle class more and punish them more, but the truth is that middle-class americans are basically the only group of americans who’ve been taxed more in the 1980s and during the last 12 years, even though their incomes have gone down. the wealthiest americans have been taxed much less, even though their incomes have gone up. middle-class people will have their fair share of changing to do, and many challenges to face, including the challenge of becoming constantly re-educated. but my plan is a departure from trickle-down economics, just cutting taxes on the wealthiest americans and getting out of the way. it’s also a departure from tax-and- spend economics, because you can’t tax and divide an economy that isn’t growing. i propose an american version of what works in other countries — i think we can do it better: invest and grow. i believe we can increase investment and reduce the deficit at the same time, if we not only ask the wealthiest americans and foreign corporations to pay their share; we also provide over $100 billion in tax relief, in terms of incentives for new plants, new small businesses, new technologies, new housing, and for middle class families; and we have $140 billion of spending cuts. invest and grow. raise some more money, spend the money on tax incentives to have growth in the private sector, take the money from the defense cuts and reinvest it in new transportation and communications and environmental clean-up systems. this will work. on this, as on so many other issues, i have a fundamental difference from the present administration. i don’t believe trickle down economics will work. unemployment is up. most people are working harder for less money than they were making 10 years ago. i think we can do better if we have the courage to change. "
2,LEHRER,"mr. president, a response. president "
3,GEORGE H.W. BUSH,do i have 1 minute? just the ground rules here. 
4,LEHRER,roughly 1 minute. we can loosen that up a little bit but go ahead. 
5,GEORGE H.W. BUSH,"well, he doesn’t like trickle down government but i think he’s talking about the reagan-bush years where we created 15 million jobs. the rich are paying a bigger percent of the total tax burden. and what i don’t like is trickle down government. and therein, i think governor clinton keeps talking about trickle down, trickle down, and he’s still talking about spending more and taxing more. government — he says invest government, grow government. government doesn’t create jobs. if they do, they’re make-work jobs. it’s the private sector that creates jobs. and yes, we’ve got too many taxes on the american people and we’re spending too much. and that’s why i want to get the deficit down by controlling the growth of mandatory spending. it won’t be painless. i think mr. perot put his finger on something there. it won’t be painless but we’ve got to get the job done. but not by raising taxes. mr. and mrs. america, when you hear him say we’re going to tax only the rich, watch your wallet because his figures don’t add up and he’s going to sock it right to the middle class taxpayer and lower, if he’s going to pay for all the spending programs he proposes. so we have a big difference on this trickle down theory. i do not want any more trickle down government. it’s gotten too big. i want to do something about that. "
6,LEHRER,"mr. perot, what do you think of the governor’s approach, what he just laid out? "
7,PEROT,"the basic problem with it, it doesn’t balance the budget. if you forecast it out, we still have a significant deficit under each of their plans, as i understand them. our challenge is to stop the financial bleeding. if you take a patient into the hospital that’s bleeding arterially, step one is to stop the bleeding. and we are bleeding arterially. there’s only one way out of this, and that is to stop the deterioration of our job base, to have a growing, expanding job base, to give us the tax base — see, balancing the budget is not nearly as difficult as paying off the $4 trillion debt and leaving our children the american dream intact. we have spent their money. we’ve got to pay it back. this is going to take fair, shared sacrifice. my plan balances the budget within 6 years. we didn’t do it faster than that because we didn’t want to disrupt the economy. we gave it off to a slow start and a fast finish to give the economy time to recover. but we faced it and we did it, and we believe it’s fair, shared sacrifice. the one thing i have done is lay it squarely on the table in front of the american people. you’ve had a number of occasions to see in detail what the plan is, and at least you’ll understand it. i think that’s fundamental in our country, that you know what you’re getting into. "
8,LEHRER,"governor, the word “pain” — one of the other leadership things that’s put on you is that you don’t speak of pain, that you speak of all things — nobody’s going to really have to suffer under your plan. you’ve heard what mr. perot has said. he’s said it’s got — to do the things that you want to do, you can’t do it by just taking the money from the rich. that’s what the president says as well. how do you respond to that? they said the numbers don’t add up. "
9,BILL CLINTON,"i disagree with both of them. for one thing, let me just follow up here. i disagree with mr. perot that the answer is to raise — put a 50-cent gas tax on the middle class and raise more taxes on the middle class and the working poor than on the wealthy. his own analysis says that unemployment will be slightly higher in 1995 under his plan than it is today. and as far as what mr. bush says, he is the person who raised taxes on the middle class after saying he wouldn’t. and just this year, mr. bush vetoed a tax increase on the wealthy that gave middle class tax relief. he vetoed middle class tax relief this year. and furthermore, under this administration, spending has increased more than it has in the last 20 years and he asked congress to spend more money than it actually spent. now, it’s hard to out-spend congress but he tried to for the last 3 years. so my view is the middle class is the — they’ve been suffering, jim. now, should people pay more for medicare if they can? yes. should they pay more for social security if they get more out of it than they paid in, they’re upper income people? yes. but look what’s happened to the middle class. middle class americans are working harder for less money than they were making ten years ago and they’re paying higher taxes. the tax burden on them has not gone down. it has gone up. i don’t think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector. the answer is to invest and grow this economy. that’s what works in other countries and that’s what’ll work here. "
10,LEHRER,"as a practical matter, mr. president, do you agree with the governor when he says that the middle class, the taxes on the middle class — do your numbers agree that the taxes on the middle class have gone up during the last — "
11,GEORGE H.W. BUSH,"i think everybody’s paying too much taxes. he refers to one tax increase. let me remind you it was a democratic tax increase, and i didn’t want to do it and i went along with it. and i said i make a mistake. if i make a mistake, i admit it. that’s quite different than some. but i think that’s the american way. i think everyone’s paying too much, but i think this idea that you can go out and — then he hits me for vetoing a tax bill. yes, i did. and the american taxpayer ought to be glad they have a president to stand up to a spending congress. we remember what it was like when we had a spending president and a spending congress, and interest rates — who remembers that? they were at 21.5% under jimmy carter, and inflation was 15. we don’t want to go back to that. and so yes, everybody’s taxed too much and i want to get the taxes down, but not by signing a tax bill that’s gonna raise taxes on people. "
12,LEHRER,"mr. president, when you said just then that you admit your mistakes and you looked at governor clinton and said — what mistake is it that you want him to admit to? "
13,GEORGE H.W. BUSH,"well, the record in arkansas. i mean, look at it, and that’s what we’re asking america to have? now look, he says arkansas’s a poor state. they are. but in almost every category they’re lagging. i’ll give you an example. he talks about all the jobs he’s created in one or 2 years. over the last ten years since he’s been governor, they’re 30% behind, 30% — they’re 30% of the national average. on pay for teachers, on all these categories, arkansas is right near the very bottom. you haven’t heard me mention this before, but we’re getting close now and i think it’s about time i start putting things in perspective. and i’m going to do that. it’s not dirty campaigning because he’s been talking about my record for a half a year here, 11 months here. so we’ve got to do that. i gotta get it in perspective. what’s his mistake? admit it, that arkansas is doing very, very badly against any standard — environment, support for police officers, whatever it is. "
14,LEHRER,"governor, is that true? "
15,BILL CLINTON,"mr. bush’s bureau of labor statistics says that arkansas ranks first in the country in the growth of new jobs this year, first. "
16,GEORGE H.W. BUSH,this year. 
17,BILL CLINTON,"4th in manufacturing jobs, 4th in the reduction of poverty, 4th in income increase. over the last 10 years we’ve created manufacturing jobs much more rapidly than the national average. over the last 5 years our income has grown more rapidly than the national average. we are 2nd in tax burden, the 2nd lowest tax burden in the country. we have the lowest per capita state and local spending in the country. we’re low spending, low tax burden. we dramatically increased investment and our jobs are growing. i wish america had that kind of record and i think most people looking at us tonight would like it if we had more jobs and a lower spending burden on the government. "
18,LEHRER,"mr. perot, if you were sitting at home now and just heard this exchange about arkansas, who would you believe? "
19,PEROT,"i grew up 5 blocks from arkansas. let’s put it in perspective. it’s a beautiful state. it’s a fairly rural state. it has a population less than chicago or los angeles, about the size of dallas and forth worth combined. so i think probably we’re making a mistake night after night after night to cast the nation’s future on a unit that small. "
20,LEHRER,why is that a mistake? 
21,PEROT,it’s irrelevant. (laughter) 
22,LEHRER,what he did as governor of arkansas is irrelevant? 
23,PEROT,"no, no, no, but i could say, you know, that i ran a small grocery store on the corner, therefore i extrapolate that into the fact that i can run wal-mart. that’s not true. (laughter) i can’t protect an arkansas company, you notice there, governor. "
24,LEHRER,governor? 
25,BILL CLINTON,"mr. perot, with all respect, i think it is highly relevant, and i think that a 4-billion dollar budget of state and federal funds is not all that small, and i think the fact that i took a state that was one of the poorest states in the country and had been for 153 years and tried my best to modernize its economy and to make the kind of changes that have generated support from people like the presidents of apple computer and hewlett-packard and some of the biggest companies in this country, 24 retired generals and admirals and hundreds of business executives, are highly relevant. and, you know, i’m frankly amazed that since you grew up 5 blocks from there you would think that what goes on in that state is irrelevant. i think it’s been pretty impressive. "
26,PEROT,it’s not — 
27,BILL CLINTON,and the people who have jobs — (applause) the people who have jobs and educations and opportunities that didn’t have them 10 years ago don’t think it’s irrelevant at all; they think it’s highly relevant and they wish the rest of the country had them. 
28,GEORGE H.W. BUSH,"i don’t have a dog in this fight, but i’d like to get in on this. "
29,BILL CLINTON,"well, you think it’s relevant. (laughter) "
30,GEORGE H.W. BUSH,"governor clinton has to operate under a balanced budget amendment — he has to do it, that is the law. i’d like to see a balanced budget amendment for america, to protect the american taxpayers, and then that would discipline not only the executive branch but the spending congress, the congress that’s been in control of one party, his party, for 38 years. and we almost had it done. and that institution, the house of representatives — everyone is yelling “clean house!” one of the reasons is we almost had it done, and the speaker — a very, able, decent fellow, i might add — but he twisted the arms of some of the sponsors of that legislation and had them change their vote. what’s relevant here is that tool, that discipline, that he has to live by in arkansas, and i’d like it for the american people. i want the line-item veto. i want a check-off, so if the congress can’t do it, let people check off their income tax, 10% of it, to compel the government to cut spending. and if they can’t do it, if the congress can’t do it, let them then have to do it across the board. that’s what we call a sequester. that’s the discipline we need, and i’m working for that — to protect the american taxpayer against the big spenders. "
31,LEHRER,"mr. president, let’s move to some of the leadership concerns that have been voiced about you. and they relate to something you said in your closing statement in richmond the other night about the president being the manager of crises. and that relates to an earlier criticism, that you began to focus on the economy, on health care, on racial divisions in this country, only after they became crises. is that a fair criticism? "
32,GEORGE H.W. BUSH,"jim, i don’t think that’s a fair shot. i hear it — i hear it echoed by political opponents. but i don’t think it’s fair. i think we’ve been fighting from day one to do something about the inner cities. i’m for enterprise zones. i have had it in every single proposal i’ve sent to the congress. and now we hear a lot of talk, oh, well, we all want enterprise zones, and yet the house and the senate can’t send it down without loading it up with a lot of, you know, these christmas tree ornaments they put on the legislation. i don’t think in racial harmony that i’m a laggard on that. i’ve been speaking out since day 1. we’ve gotten the americans for disabilities act, which i think is one of the foremost pieces of civil rights legislation. and yes, it took me to veto 2 civil rights quota bills because i don’t believe in quotas, and i don’t think the american people believe in quotas. and i beat back the congress on that, and then we passed a decent civil rights bill that offers guarantees against discrimination in employment. and that is good. i’ve spoken out over and over again against antisemitism and racism, and i think my record as a member of congress speaks for itself on that. what was the other part of it? "
33,LEHRER,"well, it’s just that — you’ve spoken to it. i mean, but the idea, not so much in specifics, but that it has to be a crisis before it gets your attention. "
34,GEORGE H.W. BUSH,"i don’t think that’s true at all. i don’t think that’s true, but you know, let others fire away on it. "
35,LEHRER,"do you think that’s true, mr. perot? "
36,PEROT,"i’d like to just talk about issues, and so — "
37,LEHRER,you don’t think this is an issue? 
38,PEROT,"well, no, but the point is that’s a subjective thing. see, the subjective thing is when does president bush react? and it would be very difficult for me to answer that in any short period of time. "
39,LEHRER,"well, then, let’s phrase — i’ll phrase it differently, then. he said the other night in his closing words in richmond that one of the key things that he believes the american people should decide between — among the 3 of you is who they want in charge if this country gets to a crisis. now, that’s what he said, and the rap on the president is that it’s only crisis time that he focuses on some of these things. so my question to you — we’re going to talk about you in a minute — (laughter) — my question to you — "
40,PEROT,i thought you’d forgotten i was here. 
41,LEHRER,"no, no, no, no, no. (laughter) but my question to you is, so — if you have nothing to say about it, fine, i’ll go to governor clinton, but — "
42,PEROT,i will let the american people decide that. i would rather not critique the 2 candidates. 
43,LEHRER,"all right. governor, what do you think? "
