,Speaker,Response
0,MODERATOR,"good evening from the field house at washington university in st. louis. i’m jim lehrer of the newshour on pbs. and i welcome you to this third and final campaign 2000 debate between the democratic candidate for president, vice president al gore, and the republican candidate, governor george w. bush of texas. let’s welcome the candidates now. [applause] before proceeding tonight we would like to observe a moment of silence in memory of governor mel carnahan of missouri, who along with his son and his former chief of staff, died in a private plane crash last night near st. louis. a reminder, as we continue now, that these debates are sponsored by the commission on presidential debates. the formats and the rules were worked out by the commission and the two campaigns. tonight’s questions will be asked by st. louis area voters who were identified as being uncommitted by the gallup organization. earlier today each of them wrote a question on a small card like this. those cards were collected and then given to me this afternoon. my job, under the rules of the evening, was to decide the order the questions will be asked and to call on the questioners accordingly. i also have the option of asking follow-ups which — in order to get to more of the panel’s questions. for the record, i plan to do sparingly and mostly for clarifications. the audience participants are bound by the following rule. they shall not ask follow-up questions or otherwise participate in the extended discussion. and the questioner’s microphone will be turned off after he or she completes asking the question. those are the rules. as in winston-salem last week, no single answer or response from a candidate can exceed two minutes. there is an audience here in the hall and they have promised to remain absolutely quiet, as did their predecessors this year in boston, danville, and winston-salem. before we begin, a correction from last week’s debate. i was wrong when i said vice president gore’s campaign commercials had called governor bush a bumbler. that specific charge was made in a press statement by gore campaign spokesman mark fabiani, not in a tv guide. "
1,GORE,i’m glad you clarified that. 
2,MODERATOR,"now, let’s go to the first question. of over the 130 questions we received from this panel, we will begin with one of the 19 on health issues, and it goes to you, mr. vice president, and it will be asked by james hankins. mr. hankins? "
3,MEMBER OF AUDIENCE,"how do you feel about hmos and insurance companies making the critical decisions that affect people’s lives instead of the medical professionals, and why are the hmos and insurance companies not held accountable for their decisions? "
4,GORE,"mr. hankins, i don’t feel good about it, and i think we ought to have a patient’s bill of rights to take the medical decisions away from the hmos and give them back to the doctors and nurses. i want to come back and tell you why, but if you will forgive me, i would like to say something right now at the beginning of this debate following on the moment of silence for mel carnahan and randy carnahan and chris sifford. tipper and i were good friends with mel and randy, and i know that all of us here want to extend our sympathy and condolences to jean and the family and to the sifford family. and i would just like to say that this debate in a way is a living tribute to mel carnahan because he loved the vigorous discussion of ideas in our democracy. he was a fantastic governor of missouri. this state became one of the top five in the nation for health care coverage for children under his leadership. one of the best in advancing all kinds of benefits for children to grow up healthy and strong. and of course, this debate also takes place at a time when the tragedy of the uss cole is on our minds and hearts and insofar as the memorial service is tomorrow, i would like to also extend sympathy to the families of those who have died and those who are still missing, and the injured. now, mr. hankins, i think that the situation that you describe has gotten completely out of hand. doctors are giving prescriptions, they’re recommending treatments, and then their recommendations are being overruled by hmos and insurance companies. that is unacceptable. i support a strong national patient’s bill of rights. it is actually a disagreement between us, a national law that is pending on this, the dingle-norwood bill, a bipartisan bill, is one that i support and that the governor does not. "
5,MODERATOR,"two minutes response, governor bush. "
6,GEORGE W. BUSH,"i, too, want to extend my prayers and blessings, god’s blessings on the families whose lives were overturned yes — tod — last night. it’s a tragic moment. actually, mr. vice president, it’s not true. i do support a national patient’s bill of rights. as a matter of fact, i brought republicans and democrats together to do just that in the state of texas to get a patient’s bill of rights through. it requires a different kind of leadership style to do it, though. you see, in order to get something done on behalf of the people, you have to put partisanship aside, and that’s what we did in my state. we have one of the most advanced patient’s bill of rights. it says, for example, that a woman doesn’t have to go through a gate keeper to go to her gynecologist. it says that you can’t gag a doctor, doctor can advise you. the hmo, the insurance company, can’t gag that doctor from giving you full advice. and this particular bill, it allows patients to choose a doctor, their own doctor if they want to. but we did something else that was interesting. we’re one of the first states that said you can sue an hmo for denying you proper coverage. now there’s what’s called an independent review organization that you have to go through first. it says if youâ€™ve got a complaint with your insurance company, you can take your complaint to an objective body. if the objective body rules on your behalf, the insurance company must follow those rules. however, if the insurance company doesn’t follow the findings of the iro, then that becomes a cause of action in a court of law. it’s time for our nation to come together and do what’s right for the people, and i think this is right for the people. you know, i support a national patient’s bill of rights, mr. vice president, and i want all people covered. i don’t want the law to supersede good law like we’ve got in texas. i think — "
7,MODERATOR,"governor, time is up, sir. "
8,GORE,"jim, we have a direct disagreement on this. "
9,MODERATOR,"just a minute, mr. vice president. i want to — the way the rules go here now, two minutes, two minutes, and then i’ll decide whether we go on. okay. so what i want to make sure is we understand here is before we go on to another question in the health area, would you agree that you two agree on a national patient’s bill of rights? "
10,GORE,"absolutely not. i referred to the dingle-norwood bill. it is the bipartisan bill that is now pending in the congress. the hmos and the insurance companies support the other bill that’s pending, the one that the republican majority has put forward. they like it because it doesn’t accomplish what i think really needs to be accomplished to give the decisions back to the doctors and nurses and give you a right of appeal to somebody other than the hmo or insurance company, let you go to the nearest emergency room without having to call an hmo before you call 911, to let you see a specialist if you need to, and it has strong bipartisan support. it is being blocked by the republican leadership in the congress. "
11,MODERATOR,sir. 
12,GORE,"and i specifically would like to know whether governor bush will support the dingle-norwood bill, which is the main one pending. "
13,MODERATOR,"governor bush, you may answer that if you’d like. but also i’d like to know how you see the differences between the two of you, and we need to move on. "
14,GEORGE W. BUSH,"well, the difference is is that i can get it done. that i can get something positive done on behalf of the people. that’s what the question in this campaign is about. it’s not only what’s your philosophy and what’s your position on issues, but can you get things done? and i believe i can. "
15,GORE,what about the dingle-norwood bill? 
16,MODERATOR,all right. we’re going to go now to another — all right. yes. 
17,GEORGE W. BUSH,"i’m not quite through. let me finish. i talked about the principles and the issues that i think are important in a patient’s bill of rights. it’s kind of washington, d.c. focus. well, it’s in this committee or it’s got this sponsor. if i’m the president, we’re going to have emergency room care, we’re going have gag orders, we’re going to have direct access to ob/gyn. people will be able to take their hmo insurance company to court. that’s what i’ve done in texas and that’s the kind of leadership style i’ll bring to washington. "
18,MODERATOR,"all right. another — the next question also on health issue is from — it will be asked by marie payne kloepy, and it goes to governor bush. "
19,MEMBER OF AUDIENCE,"are either of you concerned with — are either of you concerned with finding some feasible way to lower the price of pharmaceutical drugs such as education on minimizing intake, revamp of the fda process or streamlining the drug companies’ procedures instead of just finding more money to pay for them? "
20,GEORGE W. BUSH,"well, that’s a great question. i think one of the problems we have, particularly for seniors, is there is no prescription drug coverage in medicare. and therefore, when they have to try to purchase drugs they do so on their own, there’s no kind of collective bargaining, no power of purchasing among seniors. so i think step one to make sure prescription drugs is more affordable for seniors, and those are the folks who really rely upon prescription drugs a lot these days, is to reform the medicare system, is to have prescription drugs as an integral part of medicare once and for all. the problem we have today is like the patient’s bill of rights, particularly with health care, there’s a lot of bickering in washington, d.c. it’s kind of like a political issue as opposed to a people issue. so what i want to do is i want to call upon republicans and democrats to forget all the arguing and finger pointing, and come together and take care of our seniors’ prescription drug program, that says we’ll pay for the poor seniors, we’ll help all seniors with prescription drugs. in the meantime, i think it’s important to have what’s called immediate helping hand, which is direct money to states so that seniors, poor seniors, don’t have to choose between food and medicine. that’s part of an overall overhaul. the purchasing powers. and i’m against price controls. i think price controls would hurt our ability to continue important research and development. drug therapies are replacing a lot of medicines as we used to know it. one of the most important things is to continue the research and development component. and so i’m against price controls. expediting drugs through the fda makes sense, of course. allowing the new bill that was passed in the congress made sense to allow for, you know, drugs that were sold overseas to come back and other countries to come back into the united states. that makes sense. but the best thing to do is to reform medicare. "
21,MODERATOR,"vice president gore, two minutes. "
22,GORE,"all right, here we go again. now look, if you want someone who will spend a lot of words describing a whole convoluted process and then end up supporting legislation that is supported by the big drug companies, this is your man. if you want someone who will fight for you and who will fight for the middle-class families and working men and women, who are sick and tired of having their parents and grandparents pay higher prices for prescription drugs than anybody else, then i want to fight for you. and you asked a great question because it’s not only seniors. listen, for 24 years i have never been afraid to take on the big drug companies. they do some great things. they discover great new cures and that’s great. we want them to continue that. but they are now spending more money on advertising and promotion. you see all these ads? than they are on research and development. and they are trying artificially extend the monopoly patent protection so they can keep charging these very high prices. i want to streamline the approval of the competing generic drugs and the new kinds of treatments that can compete with them so we bring the price down for everybody. now, briefly, let me tell you how my prescription drug plan works. the governor talked about medicare. i propose a real prescription drug benefit under medicare for all seniors, all seniors, and here’s how it works. you pick your own doctor, and nobody can take that away from you. the doctor chooses the prescription that you need and nobody can overrule your doctor. you go to your own pharmacy and then medicare pays half the price. if you’re poor, they pay all of it. if you have extraordinarily high cost, then they pay all over $4,000 out-of-pocket. and i’ll bring new competition to bring the price down. and if you pass the big drug companies’ bill, nothing will happen. "
23,MODERATOR,"all right. another health question, it comes from vickie french, and it’s for you, vice president gore. vickie french, where are you? oh, there she is. "
24,MEMBER OF AUDIENCE,"we spend billions of dollars every year on taxes, or pay billions of dollars in taxes. would you be open to the idea of a national health care plan for everybody? and if not, why? if so, is this something you would try to implement if you are elected into office and what would you do to implement this plan? "
25,GORE,"i think that we should move step-by-step toward universal health coverage, but i am not in favor of government doing it all. we’ve spent 65 years now on the development of a hybrid system, partly private, partly public, and 85% of our people have health insurance, 15% don’t. that adds up to 44 million people. that is a national outrage. we have got to get health coverage for those who do not have it and we’ve got to improve the quality for those who do with a patient’s bill of rights that’s real and that works, the dingle-norwood bill, and we have got to fill in the gaps in coverage by finally bringing parity for the treatment of mental illness, because that’s been left out. we have got to deal with long-term care. now, here are the steps that i would take, first of all. i will make a commitment to bring health care coverage of high quality that is affordable to every single child in america within four years. and then we’ll fill other gaps by covering the parents of those children when the family is poor or up to two and a half times the poverty rate. i want to give a tax credit for the purchase of individual health insurance plans. i want to give small business employers a tax credit, 25%, to encourage the providing of health insurance for the employees in small businesses. i want to give seniors who are, well, the near elderly, i don’t like that term because i am just about in that category, but those 55 to 65 ought to be able to buy into medicare for premiums that are reasonable and fair and significantly below what they have to get now. now, we have a big difference on this. and you need to know the record here. under governor bush, texas has sunk to be 50th out of 50 in health care — in health insurance for their citizens. last week he said that they were spending 3.7 billion dollars, or 4.7 billion dollars on this. "
26,MODERATOR,mr. vice president. 
27,GORE,okay. 
28,MODERATOR,"time is up. governor bush, two minutes. "
29,GEORGE W. BUSH,"i’m absolutely opposed to a national health care plan. i don’t want the federal government making decisions for consumers or for providers. i remember what the administration tried to do in 1993. they tried to have a national health care plan. and fortunately, it failed. i trust people, i don’t trust the federal government. it’s going to be one of the themes you hear tonight. i don’t want the federal government making decisions on behalf of everybody. there is an issue with the uninsured, there sure is. and we have uninsured people in my state. ours is a big state, a fast-growing state. we share a common border with another nation. but we’re providing health care for our people. one thing about insurance, that’s a washington term. the question is, are people getting health care, and we have a strong safety net, and there needs to be a safety net in america. there needs to be more community health clinics where the poor can go get health care. we need a program for the uninsured. they’ve been talking about it in washington, d.c. the number of uninsured has now gone up for the past seven years. we need a $2,000 credit, rebate for people, working people that don’t have insurance, they can get in the marketplace and start purchasing insurance. we need to have — allow small businesses to write insurance across jurisdictional lines so small business can afford health care, small restaurants can afford health care. so health care needs to be affordable and available. we have to trust people to make decisions with their lives. in the medicare reform i talk about it says if you are a senior, you can stay in medicare if you like it, and that’s fine, but we’re going to give you other choices to choose if you want to do so, just like they do the federal employees. the people that work in washington, d.c. for the u.s. congress or the united states senate. get a variety of choices to make in their lives. and that’s what we ought to do for all people in america. "
30,MODERATOR,"yes, sir, sorry. "
31,GORE,follow-up? 
32,GEORGE W. BUSH,trying to find my light. 
33,MODERATOR,"not right now. education. these folks submitted 18 questions on education, and the first one is that will be asked on education will go to you, governor, and asked by angie pettig. angie pettig, where are you? there she is, governor, right there. "
34,MEMBER OF AUDIENCE,"i’ve heard a lot about education and the need to hold teachers and schools accountable, and i certainly agree with that. but as an individual with an educational background, and also a parent, i have seen a lot of instances where the parents are unresponsive to the teachers or flat out uninvolved in their child’s education. how do you intend to not only hold the teachers and schools accountable but also hold parents accountable? "
35,GEORGE W. BUSH,"well, you know, it’s hard to make people love one another. i wish i knew the law because i would darn sure sign it. i wish i knew the law that said all of us would be good parents. one of the things the next president must do is to remind people that if we are going to have a responsible period in america, that each of us must love our children with all our heart and all our soul. i happened to believe strong accountability encourages parental involvement, though. i think when you measure and post results on the internet or in the town newspapers, most parents say wait a minute, my child’s school isn’t doing what i want it to do and, therefore, become involved in education. i recognize there are some who just don’t seem to care. but there are a lot of parents who feel like everything is going well in their child’s school, and all of a sudden they wake up and realize that wait a minute, standards aren’t being met. that’s why i’m so strong for accountability. i believe we ought to measure a lot, three, four, five, six, seven, eighth grade. we do so in my state of texas. one of the good things we’ve gone in texas is we have strong accountability because you can’t cure unless you know. you can’t solve a problem unless you diagnose it. i strongly believe that one of the best things to encourage parental involvement also is to know that the classrooms will be safe and secure. that’s why i support a teacher liability act at the federal level, that says if a teacher or principal upholds reasonable standards of classroom discipline they can’t be sued. they can’t be sued. i think parents will be more involved with education when they know their children’s classrooms are safe and secure as well. i also believe that we need to say to people that if you cannot meet standards, there has to be a consequence. instead of just comes the soft bigotry of low expectations, that there has to be a consequence. we can’t continue to shuffle children through school. and one of the consequences to allow parents to have different choices. "
36,MODERATOR,governor. vice president gore. 
