,Speaker,Response
0,MR. KENNEDY,"good evening, mr. shadel. "
1,MR. SHADEL,"and good evening to you, vice president nixon. "
2,MR. NIXON,"good evening, mr. shadel. "
3,MR. SHADEL,"and now to meet the panel of correspondents. frank mcgee, nbc news; charles van fremd, cbs news; douglass cater, reporter magazine; roscoe drummond, new york herald tribune. now, as you’ve probably noted, the four reporters include a newspaper man and a magazine reporter; these two selected by lot by the press secretaries of the candidates from among the reporters traveling with the candidates. the broadcasting representatives were chosen by their companies. the rules for this evening have been agreed upon by the representatives of both candidates and the radio and television networks and i should like to read them. there will be no opening statements by the candidates nor any closing summation. the entire hour will be devoted to answering questions from the reporters. each candidate to be questioned in turn with opportunity for comment by the other. each answer will be limited to two and one-half minutes, each comment to one and a half minutes. the reporters are free to ask any question they choose on any subject. neither candidate knows what questions will be asked. time alone will dete- determine who will be asked the final question. now the first question is from mr. mcgee and is for senator kennedy. mr. mcgee: senator kennedy, yesterday you used the words “trigger-happy” in referring to vice president richard nixon’s stand on defending the islands of quemoy and matsu. last week on a program like this one, you said the next president would come face to face with a serious crisis in berlin. so the question is: would you take military action to defend berlin? "
4,MR. KENNEDY,"mr. mcgee, we have a contractual right to be in berlin coming out of the conversations at potsdam and of world war ii. that has been reinforced by direct commitments of the president of the united states; it’s been reinforced by a number of other nations under nato. i’ve stated on many occasions that the united states must meet its commitment on berlin. it is a commitment that we have to meet if we’re going to protect the security of western europe. and therefore on this question i don’t think that there is any doubt in the mind of any american; i hope there is not any doubt in the mind of any member of the community of west berlin; i’m sure there isn’t any doubt in the mind of the russians. we will meet our commitments to maintain the freedom and independence of west berlin. "
5,MR. SHADEL,"mr. vice president, do you wish to comment? "
6,MR. NIXON,"yes. as a matter of fact, the statement that senator kennedy made was that – to the effect that there were trigger-happy republicans, that my stand on quemoy and matsu was an indication of trigger-happy republicans. i resent that comment. i resent it because th- it’s an implication that republicans have been trigger-happy and, therefore, would lead this nation into war. i would remind senator kennedy of the past fifty years. i would ask him to name one republican president who led this nation into war. there were three democratic presidents who led us into war. i do not mean by that that one party is a war party and the other party is a peace party. but i do say that any statement to the effect that the republican party is trigger-happy is belied by the record. we had a war when we came into power in 1953. we got rid of that; we’ve kept out of other wars; and certainly that doesn’t indicate that we’re trigger-happy. we’ve been strong, but we haven’t been trigger-happy. as far as berlin is concerned, there isn’t any question about the necessity of defending berlin; the rights of people there to be free; and there isn’t any question about what the united american people – republicans and democrats alike – would do in the event there were an attempt by the communists to take over berlin. "
7,MR. SHADEL,the next question is by mr. von fremd for vice president nixon. 
8,MR. VON FREMD,"mr. vice president, a two-part question concerning the offshore islands in the formosa straits. if you were president and the chinese communists tomorrow began an invasion of quemoy and matsu, would you launch the uh – united states into a war by sending the seventh fleet and other military forces to resist this aggression; and secondly, if the uh – regular conventional forces failed to halt such uh – such an invasion, would you authorize the use of nuclear weapons? "
9,MR. NIXON,"mr. von fremd, it would be completely irresponsible for a candidate for the presidency, or for a president himself, to indicate the course of action and the weapons he would use in the event of such an attack. i will say this: in the event that such an attack occurred and in the event the attack was a prelude to an attack on formosa – which would be the indication today because the chinese communists say over and over again that their objective is not the offshore islands, that they consider them only steppingstones to taking formosa – in the event that their attack then were a prelude to an attack on formosa, there isn’t any question but that the united states would then again, as in the case of berlin, honor our treaty obligations and stand by our ally of formosa. but to indicate in advance how we would respond, to indicate the nature of this response would be incorrect; it would certainly be inappropriate; it would not be in the best interests of the united states. i will only say this, however, in addition: to do what senator kennedy has suggested – to suggest that we will surrender these islands or force our chinese nationalist allies to surrender them in advance – is not something that would lead to peace; it is something that would lead, in my opinion, to war. this is the history of dealing with dictators. this is something that senator kennedy and all americans must know. we tried this with hitler. it didn’t work. he wanted first uh – we know, austria, and then he went on to the sudetenland and then danzig, and each time it was thought this is all that he wanted. now what do the chinese communists want? they don’t want just quemoy and matsu; they don’t want just formosa; they want the world. and the question is if you surrender or indicate in advance that you’re not going to defend any part of the free world, and you figure that’s going to satisfy them, it doesn’t satisfy them. it only whets their appetite; and then the question comes, when do you stop them? i’ve often heard president eisenhower in discussing this question, make the statement that if we once start the process of indicating that this point or that point is not the place to stop those who threaten the peace and freedom of the world, where do we stop them? and i say that those of us who stand against surrender of territory – this or any others – in the face of blackmail, in the s- face of force by the communists are standing for the course that will lead to peace. "
