,Speaker,Response
0,SCHIEFFER,"good evening. and welcome to the third and last presidential debate of 2008, sponsored by the commission on presidential debates. i’m bob schieffer of cbs news. the rules tonight are simple. the subject is domestic policy. i will divide the next hour-and-a-half into nine-minute segments. i will ask a question at the beginning of each segment. each candidate will then have two minutes to respond, and then we’ll have a discussion. i’ll encourage them to ask follow-up questions of each other. if they do not, i will. the audience behind me has promised to be quiet, except at this moment, when we welcome barack obama and john mccain. (applause) gentlemen, welcome. by now, we’ve heard all the talking points, so let’s try to tell the people tonight some things that they — they haven’t heard. let’s get to it. another very bad day on wall street, as both of you know. both of you proposed new plans this week to address the economic crisis. senator mccain, you proposed a $52 billion plan that includes new tax cuts on capital gains, tax breaks for seniors, write-offs for stock losses, among other things. senator obama, you proposed $60 billion in tax cuts for middle- income and lower-income people, more tax breaks to create jobs, new spending for public works projects to create jobs. i will ask both of you: why is your plan better than his? senator mccain, you go first. "
1,MCCAIN,"well, let — let me say, bob, thank you. and thanks to hofstra. and, by the way, our beloved nancy reagan is in the hospital tonight, so our thoughts and prayers are going with you. it’s good to see you again, senator obama. americans are hurting right now, and they’re angry. they’re hurting, and they’re angry. they’re innocent victims of greed and excess on wall street and as well as washington, d.c. and they’re angry, and they have every reason to be angry. and they want this country to go in a new direction. and there are elements of my proposal that you just outlined which i won’t repeat. but we also have to have a short-term fix, in my view, and long- term fixes. let me just talk to you about one of the short-term fixes. the catalyst for this housing crisis was the fannie and freddie mae that caused subprime lending situation that now caused the housing market in america to collapse. i am convinced that, until we reverse this continued decline in home ownership and put a floor under it, and so that people have not only the hope and belief they can stay in their homes and realize the american dream, but that value will come up. now, we have allocated $750 billion. let’s take 300 of that billion and go in and buy those home loan mortgages and negotiate with those people in their homes, 11 million homes or more, so that they can afford to pay the mortgage, stay in their home. now, i know the criticism of this. "
2,MCCAIN,"well, what about the citizen that stayed in their homes? that paid their mortgage payments? it doesn’t help that person in their home if the next door neighbor’s house is abandoned. and so we’ve got to reverse this. we ought to put the homeowners first. and i am disappointed that secretary paulson and others have not made that their first priority. "
3,SCHIEFFER,all right. senator obama? 
4,OBAMA,"well, first of all, i want to thank hofstra university and the people of new york for hosting us tonight and it’s wonderful to join senator mccain again, and thank you, bob. i think everybody understands at this point that we are experiencing the worst financial crisis since the great depression. and the financial rescue plan that senator mccain and i supported is an important first step. and i pushed for some core principles: making sure that taxpayer can get their money back if they’re putting money up. making sure that ceos are not enriching themselves through this process. and i think that it’s going to take some time to work itself out. but what we haven’t yet seen is a rescue package for the middle class. because the fundamentals of the economy were weak even before this latest crisis. so i’ve proposed four specific things that i think can help. number one, let’s focus on jobs. i want to end the tax breaks for companies that are shipping jobs overseas and provide a tax credit for every company that’s creating a job right here in america. number two, let’s help families right away by providing them a tax cut — a middle-class tax cut for people making less than $200,000, and let’s allow them to access their ira accounts without penalty if they’re experiencing a crisis. now senator mccain and i agree with your idea that we’ve got to help homeowners. that’s why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages. i disagree with senator mccain in how to do it, because the way senator mccain has designed his plan, it could be a giveaway to banks if we’re buying full price for mortgages that now are worth a lot less. and we don’t want to waste taxpayer money. and we’ve got to get the financial package working much quicker than it has been working. last point i want to make, though. we’ve got some long-term challenges in this economy that have to be dealt with. we’ve got to fix our energy policy that’s giving our wealth away. we’ve got to fix our health care system and we’ve got to invest in our education system for every young person to be able to learn. "
5,SCHIEFFER,all right. would you like to ask him a question? 
6,MCCAIN,"no. i would like to mention that a couple days ago senator obama was out in ohio and he had an encounter with a guy who’s a plumber, his name is joe wurzelbacher. joe wants to buy the business that he has been in for all of these years, worked 10, 12 hours a day. and he wanted to buy the business but he looked at your tax plan and he saw that he was going to pay much higher taxes. you were going to put him in a higher tax bracket which was going to increase his taxes, which was going to cause him not to be able to employ people, which joe was trying to realize the american dream. now senator obama talks about the very, very rich. joe, i want to tell you, i’ll not only help you buy that business that you worked your whole life for and be able — and i’ll keep your taxes low and i’ll provide available and affordable health care for you and your employees. and i will not have — i will not stand for a tax increase on small business income. fifty percent of small business income taxes are paid by small businesses. that’s 16 million jobs in america. and what you want to do to joe the plumber and millions more like him is have their taxes increased and not be able to realize the american dream of owning their own business. "
7,SCHIEFFER,is that what you want to do? 
8,MCCAIN,that’s what joe believes. 
9,OBAMA,"he has been watching ads of senator mccain’s. let me tell you what i’m actually going to do. i think tax policy is a major difference between senator mccain and myself. and we both want to cut taxes, the difference is who we want to cut taxes for. now, senator mccain, the centerpiece of his economic proposal is to provide $200 billion in additional tax breaks to some of the wealthiest corporations in america. exxon mobil, and other oil companies, for example, would get an additional $4 billion in tax breaks. what i’ve said is i want to provide a tax cut for 95 percent of working americans, 95 percent. if you make more — if you make less than a quarter million dollars a year, then you will not see your income tax go up, your capital gains tax go up, your payroll tax. not one dime. and 95 percent of working families, 95 percent of you out there, will get a tax cut. in fact, independent studies have looked at our respective plans and have concluded that i provide three times the amount of tax relief to middle-class families than senator mccain does. "
