,Speaker,Response
0,SCHIEFFER,"good evening from the campus of lynn university here in boca raton, florida. this is the fourth and last debate of the 2012 campaign, brought to you by the commission on presidential debates. this one’s on foreign policy. i’m bob schieffer of cbs news. the questions are mine, and i have not shared them with the candidates or their aides. "
1,SCHIEFFER,"the audience has taken a vow of silence — no applause, no reaction of any kind, except right now when we welcome president barack obama and governor mitt romney. (applause) gentlemen, your campaigns have agreed to certain rules and they are simple. they’ve asked me to divide the evening into segments. i’ll pose a question at the beginning of each segment. you will each have two minutes to respond and then we will have a general discussion until we move to the next segment. tonight’s debate, as both of you know, comes on the 50th anniversary of the night that president kennedy told the world that the soviet union had installed nuclear missiles in cuba, perhaps the closest we’ve ever come to nuclear war. and it is a sobering reminder that every president faces at some point an unexpected threat to our national security from abroad. so let’s begin. "
2,SCHIEFFER,"the first segment is the challenge of a changing middle east and the new face of terrorism. i’m going to put this into two segments so you’ll have two topic questions within this one segment on the subject. the first question, and it concerns libya. the controversy over what happened there continues. four americans are dead, including an american ambassador. questions remain. what happened? what caused it? was it spontaneous? was it an intelligence failure? was it a policy failure? was there an attempt to mislead people about what really happened? governor romney, you said this was an example of an american policy in the middle east that is unraveling before our very eyes. "
3,SCHIEFFER,"i’d like to hear each of you give your thoughts on that. governor romney, you won the toss. you go first. "
4,ROMNEY,"thank you, bob. and thank you for agreeing to moderate this debate this evening. thank you to lynn university for welcoming us here. and mr. president, it’s good to be with you again. we were together at a humorous event a little earlier, and it’s nice to maybe funny this time, not on purpose. we’ll see what happens. this is obviously an area of great concern to the entire world, and to america in particular, which is to see a — a complete change in the — the structure and the — the environment in the middle east. with the arab spring, came a great deal of hope that there would be a change towards more moderation, and opportunity for greater participation on the part of women in public life, and in economic life in the middle east. but instead, we’ve seen in nation after nation, a number of disturbing events. of course we see in syria, 30,000 civilians having been killed by the military there. we see in — in libya, an attack apparently by, i think we know now, by terrorists of some kind against — against our people there, four people dead. our hearts and — and minds go out to them. mali has been taken over, the northern part of mali by al-qaeda type individuals. we have in — in egypt, a muslim brotherhood president. and so what we’re seeing is a pretty dramatic reversal in the kind of hopes we had for that region. of course the greatest threat of all is iran, four years closer to a nuclear weapon. and — and we’re going to have to recognize that we have to do as the president has done. i congratulate him on — on taking out osama bin laden and going after the leadership in al-qaeda. but we can’t kill our way out of this mess. we’re going to have to put in place a very comprehensive and robust strategy to help the — the world of islam and other parts of the world, reject this radical violent extremism, which is — it’s certainly not on the run. "
5,ROMNEY,"it’s certainly not hiding. this is a group that is now involved in 10 or 12 countries, and it presents an enormous threat to our friends, to the world, to america, long term, and we must have a comprehensive strategy to help reject this kind of extremism. "
6,SCHIEFFER,mr. president? 
7,OBAMA,"well, my first job as commander in chief, bob, is to keep the american people safe. and that’s what we’ve done over the last four years. we ended the war in iraq, refocused our attention on those who actually killed us on 9/11. and as a consequence, al qaeda’s core leadership has been decimated. in addition, we’re now able to transition out of afghanistan in a responsible way, making sure that afghans take responsibility for their own security. and that allows us also to rebuild alliances and make friends around the world to combat future threats. now with respect to libya, as i indicated in the last debate, when we received that phone call, i immediately made sure that, number one, that we did everything we could to secure those americans who were still in harm’s way; number two, that we would investigate exactly what happened, and number three, most importantly, that we would go after those who killed americans and we would bring them to justice. and that’s exactly what we’re going to do. but i think it’s important to step back and think about what happened in libya. keep in mind that i and americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in iraq, liberate a country that had been under the yoke of dictatorship for 40 years. got rid of a despot who had killed americans and as a consequence, despite this tragedy, you had tens of thousands of libyans after the events in benghazi marching and saying america is our friend. we stand with them. "
8,OBAMA,"now that represents the opportunity we have to take advantage of. and, you know, governor romney, i’m glad that you agree that we have been successful in going after al qaida, but i have to tell you that, you know, your strategy previously has been one that has been all over the map and is not designed to keep americans safe or to build on the opportunities that exist in the middle east. "
9,ROMNEY,"well, my strategy is pretty straightforward, which is to go after the bad guys, to make sure we do our very best to interrupt them, to — to kill them, to take them out of the picture. but my strategy is broader than that. that’s — that’s important, of course. but the key that we’re going to have to pursue is a — is a pathway to get the muslim world to be able to reject extremism on its own. we don’t want another iraq, we don’t want another afghanistan. that’s not the right course for us. the right course for us is to make sure that we go after the — the people who are leaders of these various anti-american groups and these — these jihadists, but also help the muslim world. and how do we do that? a group of arab scholars came together, organized by the u.n., to look at how we can help the — the world reject these — these terrorists. and the answer they came up with was this: one, more economic development. we should key our foreign aid, our direct foreign investment, and that of our friends, we should coordinate it to make sure that we — we push back and give them more economic development. number two, better education. number three, gender equality. number four, the rule of law. we have to help these nations create civil societies. but what’s been happening over the last couple of years is, as we’ve watched this tumult in the middle east, this rising tide of chaos occur, you see al qaida rushing in, you see other jihadist groups rushing in. and — and they’re throughout many nations in the middle east. "
10,ROMNEY,"it’s wonderful that libya seems to be making some progress, despite this terrible tragedy. but next door, of course, we have egypt. libya’s 6 million population; egypt, 80 million population. we want — we want to make sure that we’re seeing progress throughout the middle east. with mali now having north mali taken over by al qaida; with syria having assad continuing to — to kill, to murder his own people, this is a region in tumult. and, of course, iran on the path to a nuclear weapon, we’ve got real (inaudible). "
11,SCHIEFFER,"we’ll get to that, but let’s give the president a chance. "
12,OBAMA,"governor romney, i’m glad that you recognize that al qaida is a threat, because a few months ago when you were asked what’s the biggest geopolitical threat facing america, you said russia, not al qaida; you said russia, in the 1980s, they’re now calling to ask for their foreign policy back because, you know, the cold war’s been over for 20 years. but governor, when it comes to our foreign policy, you seem to want to import the foreign policies of the 1980s, just like the social policies of the 1950s and the economic policies of the 1920s. you say that you’re not interested in duplicating what happened in iraq. but just a few weeks ago, you said you think we should have more troops in iraq right now. and the — the challenge we have — i know you haven’t been in a position to actually execute foreign policy — but every time you’ve offered an opinion, you’ve been wrong. you said we should have gone into iraq, despite that fact that there were no weapons of mass destruction. you said that we should still have troops in iraq to this day. you indicated that we shouldn’t be passing nuclear treaties with russia despite the fact that 71 senators, democrats and republicans, voted for it. you said that, first, we should not have a timeline in afghanistan. then you said we should. now you say maybe or it depends, which means not only were you wrong, but you were also confusing in sending mixed messages both to our troops and our allies. "
13,OBAMA,"so, what — what we need to do with respect to the middle east is strong, steady leadership, not wrong and reckless leadership that is all over the map. and unfortunately, that’s the kind of opinions that you’ve offered throughout this campaign, and it is not a recipe for american strength, or keeping america safe over the long haul. "
14,SCHIEFFER,i’m going to add a couple of minutes here to give you a chance to respond. 
15,ROMNEY,"well, of course i don’t concur with what the president said about my own record and the things that i’ve said. they don’t happen to be accurate. but — but i can say this, that we’re talking about the middle east and how to help the middle east reject the kind of terrorism we’re seeing, and the rising tide of tumult and — and confusion. and — and attacking me is not an agenda. attacking me is not talking about how we’re going to deal with the challenges that exist in the middle east, and take advantage of the opportunity there, and stem the tide of this violence. but i’ll respond to a couple of things that you mentioned. first of all, russia i indicated is a geopolitical foe. not… (crosstalk) "
16,ROMNEY,"excuse me. it’s a geopolitical foe, and i said in the same — in the same paragraph i said, and iran is the greatest national security threat we face. russia does continue to battle us in the u.n. time and time again. i have clear eyes on this. i’m not going to wear rose-colored glasses when it comes to russia, or mr. putin. and i’m certainly not going to say to him, i’ll give you more flexibility after the election. after the election, he’ll get more backbone. number two, with regards to iraq, you and i agreed i believe that there should be a status of forces agreement. (crosstalk) "
17,ROMNEY,oh you didn’t? you didn’t want a status of… 
18,OBAMA,"what i would not have had done was left 10,000 troops in iraq that would tie us down. and that certainly would not help us in the middle east. "
19,ROMNEY,"i’m sorry, you actually — there was a — there was an effort on the part of the president to have a status of forces agreement, and i concurred in that, and said that we should have some number of troops that stayed on. that was something i concurred with… (crosstalk) "
20,OBAMA,governor… (crosstalk) 
21,ROMNEY,"…that your posture. that was my posture as well. you thought it should have been 5,000 troops… (crosstalk) "
22,OBAMA,governor? 
23,ROMNEY,"… i thought there should have been more troops, but you know what? the answer was we got… (crosstalk) "
24,ROMNEY,… no troops through whatsoever. 
25,OBAMA,this was just a few weeks ago that you indicated that we should still have troops in iraq. 
26,ROMNEY,"no, i… (crosstalk) "
27,ROMNEY,…i’m sorry that’s a… (crosstalk) 
28,OBAMA,you — you… 
29,ROMNEY,…that’s a — i indicated… (crosstalk) 
30,OBAMA,…major speech. (crosstalk) 
31,ROMNEY,…i indicated that you failed to put in place a status… (crosstalk) 
32,OBAMA,governor? (crosstalk) 
33,ROMNEY,…of forces agreement at the end of the conflict that existed. 
34,OBAMA,governor — here — here’s — here’s one thing… (crosstalk) 
35,OBAMA,…here’s one thing i’ve learned as commander in chief. (crosstalk) 
36,SCHIEFFER,let him answer… 
37,OBAMA,"you’ve got to be clear, both to our allies and our enemies, about where you stand and what you mean. you just gave a speech a few weeks ago in which you said we should still have troops in iraq. that is not a recipe for making sure that we are taking advantage of the opportunities and meeting the challenges of the middle east. now, it is absolutely true that we cannot just meet these challenges militarily. and so what i’ve done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts. number two, make sure that they are standing by our interests in israel’s security, because it is a true friend and our greatest ally in the region. number three, we do have to make sure that we’re protecting religious minorities and women because these countries can’t develop unless all the population, not just half of it, is developing. number four, we do have to develop their economic — their economic capabilities. but number five, the other thing that we have to do is recognize that we can’t continue to do nation building in these regions. part of american leadership is making sure that we’re doing nation building here at home. that will help us maintain the kind of american leadership that we need. "
38,SCHIEFFER,"let me interject the second topic question in this segment about the middle east and so on, and that is, you both mentioned — alluded to this, and that is syria. the war in syria has now spilled over into lebanon. we have, what, more than 100 people that were killed there in a bomb. there were demonstrations there, eight people dead. mr. president, it’s been more than a year since you saw — you told assad he had to go. since then, 30,000 syrians have died. we’ve had 300,000 refugees. the war goes on. he’s still there. should we reassess our policy and see if we can find a better way to influence events there? or is that even possible? and you go first, sir. "
39,OBAMA,"what we’ve done is organize the international community, saying assad has to go. we’ve mobilized sanctions against that government. we have made sure that they are isolated. we have provided humanitarian assistance and we are helping the opposition organize, and we’re particularly interested in making sure that we’re mobilizing the moderate forces inside of syria. but ultimately, syrians are going to have to determine their own future. and so everything we’re doing, we’re doing in consultation with our partners in the region, including israel which obviously has a huge interest in seeing what happens in syria; coordinating with turkey and other countries in the region that have a great interest in this. this — what we’re seeing taking place in syria is heartbreaking, and that’s why we are going to do everything we can to make sure that we are helping the opposition. but we also have to recognize that, you know, for us to get more entangled militarily in syria is a serious step, and we have to do so making absolutely certain that we know who we are helping; that we’re not putting arms in the hands of folks who eventually could turn them against us or allies in the region. and i am confident that assad’s days are numbered. but what we can’t do is to simply suggest that, as governor romney at times has suggested, that giving heavy weapons, for example, to the syrian opposition is a simple proposition that would lead us to be safer over the long term. "
